,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17001,15.074828,0.0,223.99448,0.0,0.43954575,223.99448,"Adams County, IL"
1,17003,14.363121,0.0,213.41933,0.0,0.5567898,213.41933,"Alexander County, IL"
2,17005,14.74544,0.0,219.10014,0.0,0.4612366,219.10014,"Bond County, IL"
3,17007,14.744825,0.0,219.09102,0.0,0.3959731,219.09102,"Boone County, IL"
4,17009,14.969831,0.0,222.43434,0.0,0.4417277,222.43434,"Brown County, IL"
5,17011,15.775711,0.0,234.40878,0.0,0.38186345,234.40878,"Bureau County, IL"
6,17013,13.853346,0.0,205.84467,0.0,0.4662002,205.84467,"Calhoun County, IL"
7,17015,15.513063,0.0,230.50615,0.0,0.38181862,230.50615,"Carroll County, IL"
8,17017,15.364008,0.0,228.29135,0.0,0.43080124,228.29135,"Cass County, IL"
9,17019,15.651484,0.0,232.56291,0.0,0.46061563,232.56291,"Champaign County, IL"
10,17021,15.484593,0.0,230.08311,0.0,0.42356765,230.08311,"Christian County, IL"
11,17023,14.92128,0.0,221.71292,0.0,0.4563168,221.71292,"Clark County, IL"
12,17025,14.493029,0.0,215.34961,0.0,0.4933252,215.34961,"Clay County, IL"
13,17027,14.2453575,0.0,211.66951,0.0,0.4948801,211.66951,"Clinton County, IL"
14,17029,15.389825,0.0,228.67496,0.0,0.4229039,228.67496,"Coles County, IL"
15,17031,13.526351,0.0,200.9859,0.0,0.7375753,200.9859,"Cook County, IL"
16,17033,14.862947,0.0,220.84618,0.0,0.48004633,220.84618,"Crawford County, IL"
17,17035,14.905992,0.0,221.48576,0.0,0.44748414,221.48576,"Cumberland County, IL"
18,17037,15.087288,0.0,224.17961,0.0,0.4027064,224.17961,"DeKalb County, IL"
19,17039,15.614626,0.0,232.01524,0.0,0.42530572,232.01524,"De Witt County, IL"
20,17041,15.492524,0.0,230.20096,0.0,0.44322434,230.20096,"Douglas County, IL"
21,17043,14.369565,0.0,213.51509,0.0,0.6454239,213.51509,"DuPage County, IL"
22,17045,15.226348,0.0,226.24588,0.0,0.4670188,226.24588,"Edgar County, IL"
23,17047,14.65876,0.0,217.8122,0.0,0.5371836,217.8122,"Edwards County, IL"
24,17049,14.765739,0.0,219.40178,0.0,0.4540174,219.40178,"Effingham County, IL"
25,17051,14.074246,0.0,209.127,0.0,0.49333507,209.127,"Fayette County, IL"
26,17053,15.261465,0.0,226.76768,0.0,0.45292056,226.76768,"Ford County, IL"
27,17055,14.6283045,0.0,217.35965,0.0,0.56987035,217.35965,"Franklin County, IL"
28,17057,15.421645,0.0,229.14778,0.0,0.43094596,229.14778,"Fulton County, IL"
29,17059,14.233883,0.0,211.49901,0.0,0.56611747,211.49901,"Gallatin County, IL"
30,17061,14.914199,0.0,221.60771,0.0,0.42356205,221.60771,"Greene County, IL"
31,17063,15.301745,0.0,227.36621,0.0,0.44392708,227.36621,"Grundy County, IL"
32,17065,14.196957,0.0,210.95032,0.0,0.57427156,210.95032,"Hamilton County, IL"
33,17067,15.946234,0.0,236.94255,0.0,0.39930165,236.94255,"Hancock County, IL"
34,17069,14.13666,0.0,210.05438,0.0,0.582492,210.05438,"Hardin County, IL"
35,17071,16.161402,0.0,240.1397,0.0,0.352544,240.1397,"Henderson County, IL"
36,17073,15.686577,0.0,233.08435,0.0,0.3770427,233.08435,"Henry County, IL"
37,17075,15.176983,0.0,225.51237,0.0,0.44574887,225.51237,"Iroquois County, IL"
38,17077,13.740882,0.0,204.17358,0.0,0.5699078,204.17358,"Jackson County, IL"
39,17079,14.487048,0.0,215.26074,0.0,0.47628838,215.26074,"Jasper County, IL"
40,17081,13.906786,0.0,206.63872,0.0,0.5652931,206.63872,"Jefferson County, IL"
41,17083,14.092156,0.0,209.39311,0.0,0.4535483,209.39311,"Jersey County, IL"
42,17085,15.128757,0.0,224.7958,0.0,0.37865716,224.7958,"Jo Daviess County, IL"
43,17087,13.934187,0.0,207.04587,0.0,0.6012845,207.04587,"Johnson County, IL"
44,17089,14.903835,0.0,221.45372,0.0,0.44390243,221.45372,"Kane County, IL"
45,17091,15.114899,0.0,224.58987,0.0,0.47707585,224.58987,"Kankakee County, IL"
46,17093,15.408602,0.0,228.95396,0.0,0.42985636,228.95396,"Kendall County, IL"
47,17095,15.933563,0.0,236.75429,0.0,0.38028675,236.75429,"Knox County, IL"
48,17097,13.467707,0.0,200.11452,0.0,0.53214186,200.11452,"Lake County, IL"
49,17099,15.334704,0.0,227.85594,0.0,0.4059653,227.85594,"LaSalle County, IL"
50,17101,14.489022,0.0,215.29008,0.0,0.4973737,215.29008,"Lawrence County, IL"
51,17103,15.023501,0.0,223.23183,0.0,0.3987917,223.23183,"Lee County, IL"
52,17105,15.5234995,0.0,230.66121,0.0,0.4282515,230.66121,"Livingston County, IL"
53,17107,16.13872,0.0,239.80267,0.0,0.39471078,239.80267,"Logan County, IL"
54,17109,15.964478,0.0,237.21364,0.0,0.40049383,237.21364,"McDonough County, IL"
55,17111,14.24793,0.0,211.70772,0.0,0.4323928,211.70772,"McHenry County, IL"
56,17113,16.217344,0.0,240.97095,0.0,0.4125312,240.97095,"McLean County, IL"
57,17115,15.855091,0.0,235.58829,0.0,0.4075749,235.58829,"Macon County, IL"
