,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17001,12.763939,12.99563,189.65733,193.1,0.52010024,-3.4426727
1,17003,10.382583,8.84995,154.27315,131.5,0.9224964,22.773148
2,17007,13.778502,13.29175,204.73257,197.5,0.43384266,7.2325745
3,17009,12.726779,12.26879,189.1052,182.3,0.55318636,6.805191
4,17011,14.466404,13.72247,214.954,203.90001,0.39802986,11.053986
5,17015,14.488532,15.60687,215.28279,231.9,0.41517052,-16.617203
6,17017,13.184095,13.61479,195.90038,202.3,0.5141704,-6.3996277
7,17019,14.232219,14.14646,211.47427,210.2,0.3868937,1.2742767
8,17021,14.178336,13.67536,210.67365,203.2,0.40746427,7.473648
9,17025,11.661891,10.37766,173.28218,154.2,0.4932524,19.082184
10,17027,11.052052,10.42477,164.22067,154.90001,0.65972984,9.320663
11,17031,10.81932,11.441,160.76256,170.0,1.0788169,-9.237442
12,17035,12.736018,12.00632,189.24248,178.40001,0.41416946,10.842468
13,17037,14.086684,14.50988,209.3118,215.6,0.39572048,-6.288208
14,17039,14.016175,14.43585,208.26413,214.5,0.38600746,-6.2358704
15,17041,13.966308,14.03878,207.52315,208.6,0.3790334,-1.0768585
16,17045,13.699414,13.01582,203.55742,193.4,0.37935415,10.157425
17,17047,10.931206,9.52968,162.42505,141.6,0.5295743,20.825043
18,17049,12.26638,10.91606,182.26419,162.20001,0.45329395,20.064178
19,17051,11.789018,10.9699,175.17114,163.0,0.50505966,12.171143
20,17053,13.673345,13.7292,203.17006,204.0,0.3863965,-0.8299408
21,17055,9.983544,7.77988,148.3439,115.6,0.7418804,32.743904
22,17057,13.19742,13.13023,196.09837,195.1,0.5026954,0.9983673
23,17059,11.199281,10.72762,166.40834,159.40001,0.6368172,7.0083313
24,17061,13.120506,12.57837,194.95552,186.90001,0.48683232,8.055511
25,17063,13.685872,14.29452,203.3562,212.40001,0.4204274,-9.043808
26,17065,10.271689,8.31155,152.6254,123.5,0.6088756,29.125397
27,17067,13.764506,13.97148,204.52461,207.6,0.47798347,-3.0753937
28,17071,13.789069,13.9311,204.88959,207.0,0.45317322,-2.1104126
29,17073,14.374631,13.99167,213.59036,207.9,0.39787942,5.6903687
30,17075,13.448763,13.02928,199.83304,193.59999,0.42415792,6.2330475
31,17077,9.59678,9.19991,142.59703,136.7,0.7867087,5.8970337
32,17079,12.114724,11.12469,180.01076,165.3,0.4416038,14.710754
33,17081,10.223525,8.19714,151.90973,121.799995,0.67922366,30.109734
34,17083,12.93334,11.81788,192.17444,175.59999,0.49008152,16.574448
35,17085,13.616227,13.78977,202.32135,204.90001,0.50022316,-2.578659
36,17087,9.707198,6.31947,144.23772,93.9,0.96655166,50.337715
37,17089,13.223071,14.18684,196.4795,210.8,0.56398827,-14.320496
38,17091,13.080815,13.15715,194.36575,195.5,0.4769747,-1.1342468
39,17093,13.484271,13.91764,200.36064,206.8,0.44122028,-6.4393616
40,17095,14.319423,15.02809,212.77003,223.29999,0.42142227,-10.529953
41,17097,10.744962,10.41804,159.65768,154.8,1.1184036,4.8576813
42,17099,14.040259,13.83688,208.62198,205.59999,0.39699176,3.021988
43,17103,13.823691,13.52057,205.40404,200.9,0.41787884,4.5040436
44,17105,13.624577,14.44931,202.44542,214.70001,0.41473448,-12.254593
45,17107,13.90194,14.76562,206.56673,219.40001,0.42810076,-12.833282
46,17109,14.121631,14.28106,209.83107,212.20001,0.44153962,-2.3689423
47,17111,12.7100935,13.44654,188.85725,199.8,0.56582224,-10.942749
48,17113,14.03748,14.67813,208.58069,218.1,0.38078323,-9.519318
49,17115,13.915465,14.46277,206.76768,214.90001,0.39693108,-8.132324
50,17117,13.142934,13.40616,195.28877,199.20001,0.45139503,-3.9112396
51,17119,12.035485,11.5756,178.83336,172.0,0.6058289,6.833359
52,17121,11.192758,9.74504,166.3114,144.8,0.5326909,21.511398
53,17123,14.660869,14.50988,217.84352,215.6,0.3879392,2.243515
54,17125,12.792899,13.36578,190.08766,198.6,0.52732956,-8.512344
55,17127,10.408973,9.33451,154.66527,138.7,0.9128027,15.965271
56,17129,13.810624,14.08589,205.20987,209.3,0.46528998,-4.0901337
57,17131,13.955789,14.36855,207.36685,213.5,0.4484506,-6.133148
58,17133,10.950977,10.04116,162.71883,149.2,0.7170125,13.518829
59,17135,12.836307,13.25137,190.73264,196.90001,0.45254016,-6.1673737
60,17137,13.587632,13.83688,201.89647,205.59999,0.45395288,-3.7035217
61,17139,13.674024,13.99167,203.18015,207.9,0.39976388,-4.7198486
62,17141,14.25936,15.20307,211.87756,225.9,0.40738365,-14.02243
63,17143,13.941503,14.44258,207.15457,214.6,0.46883917,-7.4454346
64,17145,9.414081,7.57798,139.88232,112.6,0.73785484,27.282326
65,17147,14.473774,14.71851,215.0635,218.7,0.3617834,-3.6364899
66,17149,12.698557,12.22841,188.68584,181.7,0.53508925,6.98584
67,17151,9.70018,8.56729,144.13344,127.3,0.9988992,16.833435
68,17153,10.44308,9.52295,155.17207,141.5,0.8076832,13.672073
69,17155,14.35348,14.67813,213.27608,218.1,0.4392576,-4.823929
70,17157,9.810937,9.09223,145.77916,135.1,0.74601644,10.679153
71,17159,11.68357,9.8931,173.60431,147.0,0.48595664,26.60431
72,17161,13.855521,14.18684,205.87698,210.8,0.49701422,-4.9230194
73,17163,11.444726,10.71416,170.05536,159.2,0.6561861,10.855362
74,17165,10.546675,9.19318,156.71136,136.6,0.7114879,20.111359
75,17167,13.964455,14.94733,207.49562,222.1,0.4551153,-14.604385
