,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17003,3.8402805,3.93705,57.06212,58.500004,0.20970663,-1.4378853,"Alexander County, IL"
1,17005,4.3216386,4.3745,64.21454,65.0,0.17407951,-0.7854614,"Bond County, IL"
2,17007,4.0831227,4.65716,60.67047,69.2,0.17916003,-8.529526,"Boone County, IL"
3,17009,3.8065486,3.99762,56.5609,59.4,0.174255,-2.8391,"Brown County, IL"
4,17011,4.503212,4.46872,66.91251,66.4,0.14457218,0.5125122,"Bureau County, IL"
5,17015,4.505975,4.61678,66.95356,68.6,0.14691147,-1.6464386,"Carroll County, IL"
6,17017,4.3804197,4.60332,65.08796,68.4,0.1599094,-3.3120422,"Cass County, IL"
7,17019,4.5923567,5.06769,68.2371,75.299995,0.15684357,-7.0628967,"Champaign County, IL"
8,17021,4.617216,4.79176,68.60648,71.2,0.14840406,-2.5935135,"Christian County, IL"
9,17023,4.194462,4.40815,62.32484,65.5,0.19235395,-3.1751595,"Clark County, IL"
10,17025,4.124761,3.98416,61.28917,59.2,0.19292969,2.0891685,"Clay County, IL"
11,17027,4.2399406,4.28028,63.000603,63.600002,0.18173088,-0.59939957,"Clinton County, IL"
12,17031,3.1858988,3.08234,47.338764,45.8,0.2727668,1.538765,"Cook County, IL"
13,17033,4.16435,4.3745,61.877415,65.0,0.19651501,-3.1225853,"Crawford County, IL"
14,17037,4.4197493,4.30047,65.672356,63.899998,0.14909965,1.772358,"DeKalb County, IL"
15,17039,4.6257706,4.75811,68.73359,70.700005,0.14440213,-1.9664154,"De Witt County, IL"
16,17045,4.424225,4.76484,65.73885,70.8,0.17294593,-5.0611496,"Edgar County, IL"
17,17047,4.1244874,4.24663,61.285103,63.100002,0.19180703,-1.8148994,"Edwards County, IL"
18,17049,4.2566714,4.35431,63.249207,64.700005,0.17559731,-1.450798,"Effingham County, IL"
19,17051,4.161168,4.27355,61.830135,63.5,0.1789785,-1.6698647,"Fayette County, IL"
20,17053,4.156911,4.48891,61.76688,66.700005,0.15766564,-4.9331245,"Ford County, IL"
21,17055,3.5907803,3.58709,53.35483,53.3,0.2136385,0.05483246,"Franklin County, IL"
22,17057,4.0508223,4.40815,60.190525,65.5,0.17405666,-5.309475,"Fulton County, IL"
23,17059,4.2875204,4.20625,63.707584,62.500004,0.216788,1.2075806,"Gallatin County, IL"
24,17063,4.140701,4.00435,61.526016,59.500004,0.16023211,2.0260124,"Grundy County, IL"
25,17067,4.257819,4.52929,63.26626,67.3,0.14891234,-4.033745,"Hancock County, IL"
26,17069,3.6994429,3.40538,54.969433,50.600002,0.23508684,4.3694305,"Hardin County, IL"
27,17071,4.157197,4.48218,61.77113,66.600006,0.1428917,-4.8288765,"Henderson County, IL"
28,17073,4.356552,4.58313,64.733315,68.1,0.13956562,-3.366684,"Henry County, IL"
29,17075,4.0810356,3.89667,60.63946,57.9,0.15504555,2.73946,"Iroquois County, IL"
30,17077,3.9639187,3.35827,58.89924,49.899998,0.20550579,8.999241,"Jackson County, IL"
31,17081,3.6648936,3.21021,54.456074,47.7,0.20542905,6.756073,"Jefferson County, IL"
32,17085,4.0349703,3.95051,59.954983,58.7,0.17356062,1.254982,"Jo Daviess County, IL"
33,17087,3.5643091,2.94774,52.961502,43.800003,0.26776102,9.161499,"Johnson County, IL"
34,17089,4.1600456,4.55621,61.813457,67.700005,0.16054109,-5.886547,"Kane County, IL"
35,17091,3.9685287,4.15241,58.96774,61.7,0.16796531,-2.7322617,"Kankakee County, IL"
36,17093,4.2717037,4.46199,63.47257,66.299995,0.15387629,-2.827427,"Kendall County, IL"
37,17095,4.229616,4.60332,62.847195,68.4,0.15227078,-5.552807,"Knox County, IL"
38,17097,3.4632645,3.38519,51.4601,50.3,0.24624267,1.160099,"Lake County, IL"
39,17101,4.1675096,4.06492,61.924362,60.4,0.20123364,1.5243607,"Lawrence County, IL"
40,17103,4.503482,4.54948,66.91652,67.6,0.15981376,-0.6834793,"Lee County, IL"
41,17105,4.2894697,4.4418,63.73655,66.0,0.16608724,-2.2634506,"Livingston County, IL"
