,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,17005,13.970092,206.7,5.3693843
1,17007,21.481916,200.0,5.772975
2,17009,18.665133,179.0,5.3880205
3,17011,22.965908,203.5,5.6029687
4,17013,12.999969,181.3,4.954179
5,17015,24.565365,205.0,5.6900625
6,17017,22.427092,211.0,5.4848113
7,17019,21.116913,222.4,5.713841
8,17021,19.853067,218.6,5.318199
9,17023,18.990713,205.2,5.583955
10,17025,12.937392,210.0,5.383796
11,17027,12.534939,208.4,5.379938
12,17029,19.818998,220.0,5.688368
13,17031,20.765343,170.3,5.41537
14,17033,15.646103,203.0,5.6537347
15,17037,21.785494,202.7,5.877495
16,17039,22.698717,209.2,5.657469
17,17045,20.112091,207.9,5.600268
18,17047,14.906599,186.8,5.843899
19,17049,16.278667,212.8,5.508317
20,17051,13.892339,207.2,5.2892036
21,17053,20.89451,199.0,5.8557296
22,17055,12.370719,177.7,5.6259885
23,17057,19.9185,193.1,5.3887434
24,17059,16.645418,191.7,6.037257
25,17061,19.538713,196.4,5.4352627
26,17063,21.23871,201.4,5.665373
27,17067,21.869808,200.9,5.3713937
28,17069,2.570239,175.9,4.339917
29,17073,22.819693,202.5,5.5393558
30,17075,19.563082,194.2,5.6824107
31,17077,12.456397,181.2,5.7232294
32,17081,11.67291,174.0,5.4418006
33,17085,20.40487,199.9,5.593033
34,17089,20.723373,206.5,5.7464733
35,17091,21.517548,191.0,5.728497
36,17093,21.227186,211.6,5.7801714
37,17095,22.755423,198.1,5.49708
38,17097,16.287699,164.2,5.330958
39,17101,14.801447,191.1,5.8105035
40,17103,22.49984,198.4,5.87038
41,17105,21.337606,208.5,5.8232064
42,17107,21.254564,209.5,5.4047346
43,17113,23.818293,205.7,5.765695
44,17115,22.75013,221.1,5.63807
45,17117,17.263815,197.2,5.321086
46,17119,15.025193,207.8,5.242364
47,17121,13.448197,201.6,5.452334
48,17123,23.787603,214.5,5.430448
49,17125,20.689829,197.4,5.6916656
50,17129,21.857012,201.0,5.4379425
51,17133,12.013722,185.0,5.2724094
52,17135,16.866066,212.2,5.2158103
53,17139,20.552843,221.8,5.594202
54,17141,21.540976,196.2,5.7323227
55,17143,23.446682,215.0,5.5258503
56,17147,22.803036,212.8,5.7067237
57,17153,13.314823,188.4,5.7109675
58,17155,21.999674,200.3,5.4425664
59,17157,11.575252,185.7,5.3533387
60,17161,21.983667,206.3,5.7031507
61,17163,12.8383465,199.0,5.170093
62,17165,13.875152,191.8,5.7651753
63,17167,21.404219,215.6,5.461829
64,17169,18.600225,181.9,5.354913
65,17171,20.30434,189.7,5.435678
66,17173,17.672258,208.0,5.481739
67,17175,25.601685,217.2,5.3737845
68,17177,22.533966,202.9,5.7321477
69,17179,22.883036,204.8,5.566162
70,17181,10.598944,163.7,5.548934
71,17183,20.067957,196.9,5.631612
72,17185,15.317197,187.9,5.765208
73,17189,11.637343,203.5,5.339741
74,17193,16.608295,193.2,6.0534487
75,17195,22.579393,202.6,5.8470235
76,17197,20.746948,187.6,5.848536
77,17201,19.790648,195.8,5.6735854
78,17203,22.560017,220.2,5.5927496
79,18003,16.050877,197.4,5.5612216
80,18005,15.768817,200.0,5.8370605
81,18007,21.923079,190.0,5.7535124
82,18009,17.658392,205.9,5.781559
83,18011,18.545832,209.8,5.5096135
84,18013,0.44533116,177.9,3.9209812
85,18019,12.021513,180.8,5.7024574
86,18021,17.6293,194.7,5.6904197
87,18023,19.570541,210.3,5.5517225
88,18027,17.679262,216.4,6.1099076
89,18029,12.452651,156.7,5.6351233
90,18031,18.464237,186.3,5.945464
91,18033,14.895207,178.9,5.533677
92,18035,15.59224,200.2,5.4899273
93,18037,16.358715,191.2,6.322798
94,18039,16.151255,179.0,5.6271715
95,18041,17.9252,197.9,5.727765
96,18043,11.372517,176.9,5.5194783
97,18047,15.826993,174.4,5.8324423
98,18049,19.657045,185.0,5.5994277
99,18053,17.893705,210.3,5.59373
100,18055,14.270785,198.8,5.698871
101,18057,16.61016,216.0,5.4299874
102,18059,16.436323,190.2,5.670173
103,18061,12.597603,188.4,5.838589
104,18063,17.446367,208.3,5.6632357
105,18065,19.209044,204.2,5.8529716
106,18067,19.194706,227.0,5.61735
107,18069,16.732119,205.9,5.627372
108,18077,13.058338,170.6,5.747236
109,18079,14.956226,171.9,5.7541614
110,18081,14.392919,171.9,5.646046
111,18083,16.6895,202.9,6.0350256
112,18085,16.989672,188.9,5.446373
113,18087,12.875704,161.0,5.2684565
114,18091,16.932093,170.0,5.690799
115,18093,13.291071,192.4,5.713179
116,18095,17.087769,216.3,5.5562396
117,18097,15.985919,181.9,5.419755
118,18099,18.560331,185.5,5.4933157
119,18101,14.142106,208.2,5.8850217
120,18105,9.265663,182.8,5.2702737
121,18107,19.773481,217.9,5.505384
