,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,39083,52.398014,49.1,2.6007042
2,17075,54.05923,57.1,1.8704472
3,26115,48.039745,45.2,2.6200693
4,20167,31.133465,25.2,5.507883
6,18037,51.6253,63.6,2.9778497
7,39095,50.027958,46.3,2.6782746
9,46015,42.101444,36.9,4.244328
10,55055,51.472366,46.1,2.6692011
11,19023,55.85803,55.9,1.9771475
12,17171,55.73173,62.9,2.522988
13,17119,55.90992,56.7,2.6362493
14,18065,52.985367,49.2,2.2223568
15,39123,44.998035,42.3,2.5560777
16,31129,60.807648,59.5,3.4821627
17,46043,47.362156,42.7,3.6543424
18,55083,47.142242,42.8,3.036398
19,29007,54.718266,54.4,2.509824
20,19051,37.865852,37.6,3.276359
21,17147,60.730278,69.4,2.090358
22,20013,53.681126,49.4,2.8928704
24,18109,51.681015,49.0,2.4838114
25,39167,52.764782,49.6,4.2697315
26,27149,51.52204,46.4,2.0027146
27,31141,64.24796,60.7,2.6920092
28,55095,46.281956,41.8,2.7215407
29,26057,48.589836,42.5,2.552755
30,19063,57.284477,58.9,1.8835831
31,55027,54.062283,53.0,2.5127928
32,27011,51.175316,45.5,2.207586
33,20041,32.22136,28.8,4.6300216
34,18137,51.076447,57.4,2.6304798
35,31169,59.463375,56.2,3.403324
36,55123,49.186787,44.8,2.5032039
37,29047,52.708645,50.2,3.36087
38,19091,55.646496,58.0,1.8832577
39,38019,31.057837,31.8,2.378384
40,27055,51.49882,53.4,2.2487996
41,18149,50.173786,48.9,2.2966535
42,29075,43.779037,45.1,2.9181924
43,19135,45.894016,51.0,3.3390763
44,17005,55.09578,54.5,2.3837314
45,38063,34.600655,33.7,2.1872258
46,27083,56.019215,50.3,2.2372813
47,20081,67.22034,59.7,4.665978
48,39009,52.09415,44.3,4.6593113
50,31023,63.313797,56.8,2.7997634
51,29119,50.320255,51.5,4.050299
52,19163,59.850132,63.4,2.1818259
53,17033,52.717228,52.7,2.4693084
54,38091,40.169514,37.3,1.9148896
55,27095,42.81426,36.4,2.7460763
56,20125,37.852947,37.0,3.3923154
58,31051,58.051624,55.8,2.3868587
59,29147,57.77064,51.2,2.615991
60,19175,45.373478,44.5,3.075684
61,17045,60.575428,64.7,2.0682845
62,38103,33.221497,35.3,2.8391378
64,18031,58.625523,59.5,2.2138362
66,29159,50.621708,50.9,2.8201532
67,17073,61.11803,58.9,2.0447478
68,18059,51.07645,48.9,2.1924264
69,39093,47.342022,41.7,2.7916832
71,46013,45.90253,38.1,2.8338223
72,55053,48.088726,48.0,2.7364886
73,19021,56.223087,56.5,2.080686
74,17169,56.0637,58.6,2.7336733
75,17117,58.906628,61.3,2.3539793
76,26157,48.2061,47.5,2.5904171
77,18071,49.493916,50.5,2.7530956
78,55081,44.961353,41.4,2.843122
79,29005,61.46007,54.2,2.457568
80,19049,54.661484,54.6,2.6000717
81,17145,44.651966,42.7,2.6501594
82,20003,42.7114,47.1,3.0267737
84,18099,54.47985,52.0,2.2210274
85,39165,50.96007,48.6,2.6773913
86,27139,55.48469,52.7,2.3774693
87,31163,62.73425,61.4,3.6750374
88,55093,52.389027,50.4,2.5886993
89,29033,52.65714,46.8,2.6898775
90,26063,51.06457,52.3,2.5260541
91,19061,58.550518,59.6,2.1987388
92,55025,53.1814,52.2,2.5894358
93,27009,44.46059,40.6,2.5625186
94,20047,53.870403,53.4,4.400218
96,18143,49.32063,50.6,3.2016487
97,55121,48.562153,46.9,2.6957424
98,46111,52.775303,52.5,3.3943949
99,26091,49.02475,46.3,2.4820602
100,19089,54.083668,51.6,1.7351793
101,38017,42.15916,37.6,2.1760318
102,27053,51.767376,45.7,3.0871952
103,39003,50.980755,49.3,2.1608937
104,18171,58.79916,64.9,2.0238845
105,29073,45.763706,45.3,3.9764116
106,19133,60.617077,57.1,2.572958
107,38061,26.364433,29.9,3.7014956
108,27081,52.151028,47.6,2.1837888
109,20087,51.369553,52.8,3.0509338
110,39015,50.760765,49.9,2.3682435
111,31021,60.730938,55.6,2.4987283
112,29117,48.73161,45.6,2.8349438
113,19161,57.171352,57.8,2.1332116
114,17039,59.69186,65.9,2.041409
115,27093,50.26065,46.5,1.9735637
116,20115,30.385403,25.7,4.142168
117,29145,44.402664,58.0,4.021597
118,19173,52.51096,52.8,2.6160827
119,17067,62.179043,66.1,2.4834325
120,38101,26.590403,26.5,3.522665
121,27121,51.223404,46.1,2.1368086
122,20159,34.54217,29.3,4.7478642
124,18029,47.995956,47.9,3.2578115
126,29157,45.513073,48.5,3.110207
127,17163,51.655098,50.9,2.7474082
128,17079,53.372036,54.6,2.2970405
129,26119,36.585224,41.8,3.9722617
131,18057,50.136913,58.5,2.3319652
132,39115,51.08388,44.4,4.409282
133,31089,62.662365,61.5,3.1256
134,55043,54.355686,56.2,2.4759538
135,19011,57.41963,57.6,2.0543628
136,17175,62.657772,64.6,1.9609382
137,17107,60.92417,64.7,2.0952163
138,26147,45.15302,40.6,2.884257
140,18069,52.83211,51.4,2.1642265
141,39127,53.622677,54.1,3.0454707
142,31133,43.609844,36.5,3.2742674
143,55087,50.074852,46.8,2.6161907
144,26017,48.103367,45.7,2.5295596
145,19055,57.82462,63.0,2.0028977
146,17203,58.758694,60.4,2.0314603
147,55019,46.946766,44.8,2.7319329
148,17151,44.20737,44.6,3.1966105
149,27003,41.433365,35.5,3.2866087
150,20001,39.19459,41.5,3.1386495
152,18097,50.36987,44.0,3.0576704
153,39155,51.265705,42.9,3.5877352
154,55115,51.009365,44.5,2.820138
155,19083,58.36882,59.7,2.0492313
156,27015,56.50768,54.8,1.9692112
157,20045,45.735584,46.3,3.0805495
158,18141,53.433643,49.4,2.2038138
159,55127,49.491302,48.8,2.352286
160,46109,50.038166,44.6,2.4996266
161,19095,57.39158,56.7,2.345613
162,29201,43.403996,47.5,2.7367606
163,27043,59.020653,59.4,1.7874845
164,20073,39.497417,36.4,3.748347
165,39001,50.3035,46.9,3.433028
166,18169,53.772686,49.5,2.184792
167,19123,53.94663,54.4,2.815338
168,38051,35.987957,30.9,3.1368585
169,27087,42.24574,37.4,1.9723396
170,20085,41.66742,42.9,3.5533369
171,31011,63.14749,61.8,2.6980357
172,29107,57.368073,57.5,2.7425456
173,19167,63.838535,65.2,2.2698953
174,17037,55.952457,53.6,1.8706214
175,38095,30.526815,34.5,2.7404222
176,20113,33.461765,29.3,4.611287
177,39041,52.064877,50.7,2.2998998
178,31055,56.107616,54.2,2.957
179,29151,48.586536,54.5,3.637094
180,19195,54.067245,54.8,1.6773992
181,17065,50.160442,51.3,2.4527357
182,27127,58.126873,55.1,2.0311134
183,20157,52.237118,44.8,4.103388
184,18019,49.554585,47.8,3.2969832
186,17161,57.879063,58.6,2.3876498
187,17077,47.317867,50.1,2.7232656
188,26117,44.829315,32.5,3.0274608
190,18063,52.39738,53.7,2.2509003
191,39113,50.902218,51.0,2.4842503
192,31095,51.337757,49.7,3.3903537
193,26011,47.170853,43.7,2.6126723
194,19009,57.762062,57.2,2.2835724
195,17173,56.27189,61.0,2.3378525
196,17105,57.840473,58.8,1.8689084
197,26145,48.6048,43.4,2.7096915
198,20197,45.309128,36.8,3.5567935
200,18091,52.963947,50.8,2.1868625
201,39125,44.65111,42.9,2.4574463
202,46045,41.01473,33.9,3.0563755
203,26023,48.594967,41.2,2.4188323
204,17201,52.55096,47.2,2.2966557
205,55017,47.610065,42.5,2.6567335
206,17149,57.928417,57.7,2.761549
207,27001,32.868908,30.5,2.6677134
208,18103,52.36305,48.9,2.1864192
209,39153,44.30276,27.0,4.040971
