,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,29175,51.718006,44.5,1.8840139
1,20053,24.89176,14.5,2.522927
2,20151,31.785929,37.8,2.6201935
4,18117,64.95423,63.0,2.5063791
5,39065,60.163322,59.4,1.929211
6,19177,53.498684,43.6,1.8400986
7,17177,65.23365,62.3,1.6975675
8,29075,51.810867,42.0,2.0585952
9,55053,53.647697,47.7,1.7431896
10,20081,52.25006,30.5,3.5330186
11,27139,55.157185,54.8,1.4720336
12,39003,61.106956,58.3,1.9743859
14,18145,64.1212,63.6,2.0059845
15,39045,60.973267,59.6,1.9511728
16,19093,65.35661,63.1,1.7090702
17,17115,73.20272,73.8,1.7992132
18,46025,47.894352,42.1,1.5817628
19,17157,54.22894,50.3,1.889351
20,26073,51.480835,44.4,1.7687896
21,55081,54.413895,49.0,1.9401262
22,27085,56.447018,54.3,1.2688416
23,38077,45.28904,38.7,1.1905622
24,18061,58.01648,56.1,2.2680407
25,19031,67.197685,67.0,1.6097568
26,19121,56.056335,55.4,1.899621
27,17095,70.10771,67.0,1.731251
28,31019,56.14583,51.5,2.1076002
29,17185,61.10346,58.1,2.1358776
30,29049,56.53465,48.5,2.11207
31,55019,53.738873,53.0,1.7055143
32,26151,52.452347,52.3,1.6524316
33,38015,34.507656,27.7,1.6055971
34,27113,40.28215,34.5,1.4843947
35,39011,60.603523,60.2,1.9708126
36,18089,59.361168,51.8,1.925904
37,19059,58.991245,58.8,1.3647411
38,17123,70.91293,64.1,1.6837187
39,26081,57.816048,51.8,1.9222937
40,20005,50.741913,44.3,1.9960364
41,27029,45.25119,36.1,1.7301428
42,18027,57.818146,58.6,2.2300832
43,17039,72.722786,68.0,1.670724
44,46013,47.425438,43.1,1.5040317
45,20161,41.890602,35.0,2.134379
46,17067,67.65187,67.6,1.8161161
47,31135,42.940636,61.3,3.3807156
48,26025,56.506287,48.9,1.7581599
49,55135,54.497337,49.5,1.7924267
50,29199,51.496136,42.0,1.8864849
51,20205,19.465147,15.8,1.5694005
52,39127,61.117363,52.5,2.1846557
54,17013,63.193596,57.8,2.0903673
55,31065,35.85709,37.5,2.7291563
56,31163,52.643562,50.9,2.2218633
57,29129,52.07872,46.2,1.9522717
58,29227,53.52596,46.3,2.0344937
59,38095,38.70879,34.9,1.3854959
60,20105,28.802006,12.3,2.6722877
62,39155,58.08397,53.8,2.3828123
64,19139,68.040794,65.5,1.7222925
65,31143,61.87771,51.9,1.9060692
66,29173,54.846558,49.2,1.9262941
67,18171,67.48291,64.7,1.8825696
68,39071,58.15108,49.5,2.0304492
69,19183,60.509674,57.2,1.809992
70,17183,69.04092,67.6,1.7423857
71,29073,46.1401,39.1,2.7938008
72,26141,40.67272,31.9,2.3614416
73,55043,61.5916,65.2,1.7654243
74,20087,48.265648,36.7,1.9778215
75,38039,39.887207,32.1,1.462391
76,39001,58.197845,49.5,2.5583239
77,18151,57.917618,54.2,1.90887
78,39099,55.500305,46.8,2.4030895
79,19083,62.97647,63.4,1.533292
80,17113,71.42856,68.8,1.7030843
81,29011,29.65212,20.6,1.8990896
82,29117,56.40843,51.5,1.9823889
83,55087,56.875072,51.5,1.7736514
84,38067,42.40515,44.7,1.5072771
85,18051,59.20349,62.0,2.1172469
86,19029,55.496193,51.2,1.8241931
87,19127,63.919945,65.0,1.6920948
88,46059,40.906574,31.5,1.7597231
89,17191,57.07599,56.4,2.0247629
90,26107,50.819477,42.1,1.8493096
91,55017,52.716248,47.1,1.685482
92,26149,59.185112,52.3,1.8488116
93,20031,30.762007,27.2,1.8036821
94,27119,43.420677,38.5,1.3678474
95,39009,57.38376,48.7,3.1203609
97,18095,60.784428,56.7,1.9929107
98,19057,66.10459,66.9,1.7253726
99,17121,59.184135,54.3,2.0598066
100,26087,50.637074,39.4,1.7749195
101,27019,57.43696,59.5,1.4120059
103,17037,65.57578,64.9,1.5276889
104,46003,36.755264,31.7,1.7320058
105,27063,56.82995,56.2,1.2805254
107,19001,51.764675,47.5,1.9256657
108,17065,56.908875,50.2,2.0009856
109,31133,42.481407,28.2,2.058092
110,55133,53.19465,52.7,2.0063004
111,29197,49.25599,40.0,1.9572339
112,39125,56.2594,57.3,1.9984697
114,17003,51.652725,51.3,2.092113
115,31071,50.84792,59.5,2.52948
116,29135,50.718918,41.0,2.273269
117,29225,35.84251,30.1,2.4297335
118,38093,41.037144,33.1,1.4453608
