FIPS,yield,pred,error,NAME,NAMELSAD
5001,192.3,175.09775,17.202255,Arkansas,Arkansas County
5003,196.2,177.71428,18.485718,Ashley,Ashley County
5017,182.4,170.31514,12.084854,Chicot,Chicot County
5021,203.4,177.99423,25.405762,Clay,Clay County
5031,185.4,178.33694,7.0630493,Craighead,Craighead County
5035,178.3,164.82805,13.471954,Crittenden,Crittenden County
5041,193.8,176.53474,17.265259,Desha,Desha County
5043,189.2,173.69879,15.501205,Drew,Drew County
5055,186.3,163.75626,22.543747,Greene,Greene County
5063,160.0,137.32875,22.67125,Independence,Independence County
5067,174.2,161.04665,13.153351,Jackson,Jackson County
5069,187.0,173.05672,13.943283,Jefferson,Jefferson County
5071,151.4,121.49912,29.900871,Johnson,Johnson County
5073,165.9,135.2129,30.687088,Lafayette,Lafayette County
5075,170.0,166.60956,3.390442,Lawrence,Lawrence County
5077,184.0,163.00589,20.99411,Lee,Lee County
5079,189.5,169.45781,20.04219,Lincoln,Lincoln County
5085,187.6,174.74806,12.851944,Lonoke,Lonoke County
5093,163.6,169.73381,-6.1338043,Mississippi,Mississippi County
5095,182.1,167.40536,14.694641,Monroe,Monroe County
5107,172.1,172.27113,-0.17112732,Phillips,Phillips County
5111,195.4,172.37811,23.021881,Poinsett,Poinsett County
5121,181.8,150.56543,31.234573,Randolph,Randolph County
5123,183.4,163.99857,19.401428,St. Francis,St. Francis County
5145,203.2,157.48735,45.712646,White,White County
5147,177.4,156.47327,20.926727,Woodruff,Woodruff County
17001,192.2,159.62291,32.577087,Adams,Adams County
17003,159.4,152.94864,6.451355,Alexander,Alexander County
17005,170.7,144.23808,26.461914,Bond,Bond County
17007,189.9,190.2015,-0.30151367,Boone,Boone County
17009,188.7,169.93141,18.768585,Brown,Brown County
17011,215.4,190.31306,25.08693,Bureau,Bureau County
17013,156.0,154.62936,1.370636,Calhoun,Calhoun County
17015,238.0,197.6993,40.300705,Carroll,Carroll County
17017,194.7,177.06679,17.63321,Cass,Cass County
17019,206.8,188.56532,18.23468,Champaign,Champaign County
17021,220.0,186.20415,33.795853,Christian,Christian County
17023,185.9,161.48721,24.41278,Clark,Clark County
17025,119.6,155.70267,-36.10267,Clay,Clay County
17027,157.5,148.9606,8.539398,Clinton,Clinton County
17029,208.3,169.35062,38.949387,Coles,Coles County
17033,172.5,152.1351,20.364899,Crawford,Crawford County
17035,181.2,158.18016,23.019836,Cumberland,Cumberland County
17037,204.1,190.1084,13.991608,DeKalb,DeKalb County
17039,201.1,198.32901,2.770996,De Witt,De Witt County
17041,211.9,188.5465,23.3535,Douglas,Douglas County
17045,206.4,181.64307,24.756927,Edgar,Edgar County
17047,171.4,148.59224,22.807755,Edwards,Edwards County
17049,188.8,154.6875,34.112503,Effingham,Effingham County
17051,170.3,148.14565,22.154358,Fayette,Fayette County
17053,212.4,173.46196,38.938034,Ford,Ford County
17055,157.0,140.44846,16.551544,Franklin,Franklin County
17057,198.6,179.25603,19.343979,Fulton,Fulton County
17059,190.3,169.9509,20.349106,Gallatin,Gallatin County
17061,200.4,164.27612,36.12387,Greene,Greene County
17063,208.7,181.41362,27.286377,Grundy,Grundy County
17065,174.2,141.62685,32.57315,Hamilton,Hamilton County
17067,222.9,178.93517,43.96483,Hancock,Hancock County
17071,223.9,187.67442,36.22557,Henderson,Henderson County
17073,217.6,187.32684,30.273163,Henry,Henry County
17075,199.0,172.82967,26.170334,Iroquois,Iroquois County
17077,166.7,139.20619,27.493805,Jackson,Jackson County
17079,179.4,150.88928,28.510712,Jasper,Jasper County
17081,127.9,147.0056,-19.105598,Jefferson,Jefferson County
17083,172.0,161.4165,10.583496,Jersey,Jersey County
17085,191.3,182.00545,9.294556,Jo Daviess,Jo Daviess County
17087,151.9,139.37236,12.527634,Johnson,Johnson County
17089,176.4,182.30849,-5.908493,Kane,Kane County
17091,195.9,168.79042,27.109573,Kankakee,Kankakee County
17093,209.5,173.60226,35.897736,Kendall,Kendall County
17095,229.5,194.98482,34.515182,Knox,Knox County
17097,144.6,156.79094,-12.190933,Lake,Lake County
17099,210.1,185.91553,24.184479,LaSalle,LaSalle County
17101,165.1,171.19325,-6.0932465,Lawrence,Lawrence County
17103,209.0,185.3275,23.6725,Lee,Lee County
17105,209.9,184.45049,25.449509,Livingston,Livingston County
17107,213.0,194.82396,18.17604,Logan,Logan County
17109,221.8,191.29106,30.508942,McDonough,McDonough County
17111,177.8,180.58478,-2.7847748,McHenry,McHenry County
17113,223.9,194.11925,29.780746,McLean,McLean County
17115,216.5,188.98874,27.511261,Macon,Macon County
17117,190.6,164.9347,25.665314,Macoupin,Macoupin County
17119,177.9,152.28201,25.617981,Madison,Madison County
17121,144.1,145.02603,-0.9260254,Marion,Marion County
17123,230.7,189.64659,41.053406,Marshall,Marshall County
17125,201.8,164.18257,37.61743,Mason,Mason County
17127,178.8,165.56454,13.235458,Massac,Massac County
17129,220.7,182.2429,38.457092,Menard,Menard County
17131,238.7,192.4168,46.283203,Mercer,Mercer County
17133,133.7,147.01363,-13.313629,Monroe,Monroe County
17135,197.0,170.54039,26.45961,Montgomery,Montgomery County
17137,196.9,178.55542,18.344574,Morgan,Morgan County
17139,215.6,182.82219,32.777817,Moultrie,Moultrie County
