,FIPS,y_test_pred,y_test
0,17001,25.538113,185.7
1,17005,21.137903,194.5
2,17007,19.623426,212.7
3,17009,25.347376,192.4
4,17011,23.173717,223.5
5,17013,24.858671,197.4
6,17015,21.909685,229.5
7,17017,28.555826,215.8
8,17019,25.847548,218.2
9,17021,29.518566,216.8
10,17023,27.131063,204.6
11,17025,20.302092,178.3
12,17027,20.790888,156.6
13,17029,27.242586,221.3
14,17033,22.520971,194.3
15,17035,26.459059,206.6
16,17037,20.028687,222.8
17,17041,26.832907,211.6
18,17045,24.633976,208.5
19,17047,18.636744,184.8
20,17049,26.57781,186.0
21,17051,20.869446,172.2
22,17053,23.745783,223.3
23,17055,16.756805,173.7
24,17057,24.621155,201.2
25,17061,28.596485,203.6
26,17067,27.649065,204.2
27,17071,25.275496,229.7
28,17073,24.640997,223.5
29,17075,22.643894,216.5
30,17077,14.158258,165.2
31,17079,22.81539,191.8
32,17081,16.087992,155.7
33,17083,26.133417,201.9
34,17085,20.468039,211.2
35,17087,15.823305,159.6
36,17089,21.622633,209.1
37,17091,24.950968,207.5
38,17093,22.914806,206.2
39,17095,25.166594,219.0
40,17097,21.351274,192.9
41,17099,23.339668,199.7
42,17101,20.945705,186.3
43,17103,21.64217,207.7
44,17105,24.203722,220.1
45,17107,27.444893,211.1
46,17109,25.163595,224.2
47,17113,26.137844,223.3
48,17115,29.486609,225.3
49,17117,25.986984,199.3
50,17119,24.466179,189.3
51,17121,20.925331,157.8
52,17125,27.07545,208.1
53,17127,13.791583,174.9
54,17129,27.05416,214.4
55,17131,27.60071,226.6
56,17133,18.783297,154.0
57,17135,24.9872,202.6
58,17137,28.71598,200.2
59,17139,28.746347,220.5
60,17141,22.194891,216.8
61,17143,26.149042,220.0
62,17145,15.762627,165.2
63,17147,29.150415,223.2
64,17149,27.81106,189.8
65,17151,17.281109,161.3
66,17153,18.531797,161.7
67,17155,25.01495,213.7
68,17157,17.026007,161.7
69,17159,19.144926,192.5
70,17161,27.021994,218.9
71,17163,22.106165,174.0
72,17165,16.94718,170.3
73,17167,28.318033,221.1
74,17169,24.481592,188.8
75,17171,26.156057,196.3
76,17173,26.367155,196.6
77,17175,25.552254,234.1
78,17177,20.948206,217.0
