FIPS,yield,pred,error,NAME,NAMELSAD
5001,58.0,59.231262,-1.2312622,Arkansas,Arkansas County
5003,50.6,57.630306,-7.030308,Ashley,Ashley County
5017,54.1,56.9979,-2.8978996,Chicot,Chicot County
5021,48.0,55.427277,-7.4272766,Clay,Clay County
5031,46.3,56.73932,-10.43932,Craighead,Craighead County
5035,46.1,55.992348,-9.892349,Crittenden,Crittenden County
5037,52.0,57.864674,-5.8646736,Cross,Cross County
5041,59.8,61.355816,-1.5558167,Desha,Desha County
5043,57.5,59.252747,-1.7527466,Drew,Drew County
5055,45.8,52.982132,-7.1821327,Greene,Greene County
5063,40.9,48.79165,-7.8916473,Independence,Independence County
5067,40.3,48.72753,-8.427532,Jackson,Jackson County
5069,54.3,57.84473,-3.5447311,Jefferson,Jefferson County
5075,39.9,47.36679,-7.4667892,Lawrence,Lawrence County
5079,57.2,59.368607,-2.1686058,Lincoln,Lincoln County
5081,30.2,36.570675,-6.370674,Little River,Little River County
5085,48.2,53.091743,-4.8917427,Lonoke,Lonoke County
5093,47.6,59.885723,-12.285725,Mississippi,Mississippi County
5095,47.7,52.75695,-5.0569496,Monroe,Monroe County
5111,51.0,58.761642,-7.7616425,Poinsett,Poinsett County
5117,44.0,56.25379,-12.253792,Prairie,Prairie County
5121,42.5,49.236317,-6.7363167,Randolph,Randolph County
5123,50.3,54.433006,-4.133007,St. Francis,St. Francis County
5145,43.0,46.633484,-3.633484,White,White County
5147,43.8,49.0748,-5.2747993,Woodruff,Woodruff County
17001,49.8,56.230804,-6.430805,Adams,Adams County
17005,51.7,53.864094,-2.164093,Bond,Bond County
17007,50.0,58.935524,-8.935524,Boone,Boone County
17009,56.2,55.12388,1.0761223,Brown,Brown County
17011,57.4,61.90377,-4.503769,Bureau,Bureau County
17013,46.9,55.14759,-8.247589,Calhoun,Calhoun County
17015,64.7,62.540276,2.1597214,Carroll,Carroll County
17019,52.8,67.722885,-14.922886,Champaign,Champaign County
17025,40.5,54.88599,-14.38599,Clay,Clay County
17027,51.9,55.72538,-3.8253784,Clinton,Clinton County
17029,63.7,67.481476,-3.781475,Coles,Coles County
17033,49.5,57.777557,-8.277557,Crawford,Crawford County
17035,50.6,60.098118,-9.498119,Cumberland,Cumberland County
17037,55.6,61.2144,-5.614403,DeKalb,DeKalb County
17041,62.4,69.647224,-7.247223,Douglas,Douglas County
17045,59.5,66.28972,-6.7897186,Edgar,Edgar County
17049,51.5,59.975838,-8.475838,Effingham,Effingham County
17051,48.9,56.38201,-7.48201,Fayette,Fayette County
17053,52.6,63.23715,-10.63715,Ford,Ford County
17055,38.9,51.61428,-12.714279,Franklin,Franklin County
17057,53.9,58.346176,-4.4461746,Fulton,Fulton County
17059,47.5,56.482517,-8.982517,Gallatin,Gallatin County
17061,60.7,61.46028,-0.7602806,Greene,Greene County
17063,49.0,59.399055,-10.3990555,Grundy,Grundy County
17069,44.8,47.39917,-2.5991707,Hardin,Hardin County
17073,52.6,59.762367,-7.162369,Henry,Henry County
17075,45.3,60.75579,-15.455791,Iroquois,Iroquois County
17077,39.6,49.52845,-9.928452,Jackson,Jackson County
17079,53.9,58.696915,-4.796913,Jasper,Jasper County
17081,37.4,51.337067,-13.937065,Jefferson,Jefferson County
17083,60.1,56.855297,3.2447014,Jersey,Jersey County
17085,55.6,55.83291,-0.23291016,Jo Daviess,Jo Daviess County
17089,50.3,57.864315,-7.564316,Kane,Kane County
17091,52.3,56.799553,-4.4995537,Kankakee,Kankakee County
17093,57.4,56.543808,0.85619354,Kendall,Kendall County
17095,55.9,61.62701,-5.727009,Knox,Knox County
17097,48.2,48.64356,-0.44355774,Lake,Lake County
17099,55.4,61.687767,-6.2877655,LaSalle,LaSalle County
17101,47.8,54.63331,-6.833309,Lawrence,Lawrence County
17103,59.7,60.756874,-1.0568733,Lee,Lee County
17105,56.9,62.294003,-5.394001,Livingston,Livingston County
17109,60.2,61.98062,-1.7806206,McDonough,McDonough County
17113,61.0,65.76475,-4.7647476,McLean,McLean County
17115,63.8,69.41997,-5.6199684,Macon,Macon County
17117,58.3,60.866352,-2.5663528,Macoupin,Macoupin County
17119,56.6,58.28918,-1.6891823,Madison,Madison County
17121,46.5,55.6042,-9.104198,Marion,Marion County
17123,53.8,62.116085,-8.316086,Marshall,Marshall County
17125,55.4,59.301018,-3.9010162,Mason,Mason County
17127,43.5,53.62474,-10.124741,Massac,Massac County
17129,62.0,63.38796,-1.3879585,Menard,Menard County
17131,51.9,59.216927,-7.316925,Mercer,Mercer County
17133,47.2,53.026703,-5.826702,Monroe,Monroe County
17135,61.5,62.349457,-0.8494568,Montgomery,Montgomery County
17137,64.1,63.06311,1.0368881,Morgan,Morgan County
17139,59.3,68.789345,-9.489346,Moultrie,Moultrie County
17141,59.9,61.531662,-1.6316605,Ogle,Ogle County
17143,55.4,61.948967,-6.5489655,Peoria,Peoria County
17145,35.6,50.95392,-15.35392,Perry,Perry County
17153,43.2,54.025993,-10.825993,Pulaski,Pulaski County
17157,41.6,52.110126,-10.510128,Randolph,Randolph County
17163,53.2,55.82744,-2.6274376,St. Clair,St. Clair County
17167,65.5,67.542114,-2.0421143,Sangamon,Sangamon County
17173,56.2,63.0223,-6.8223,Shelby,Shelby County
17175,58.8,61.71281,-2.9128113,Stark,Stark County
17177,56.4,60.765892,-4.3658905,Stephenson,Stephenson County
17179,63.8,64.29729,-0.49728775,Tazewell,Tazewell County
17181,34.0,49.58992,-15.58992,Union,Union County
17187,58.5,61.58496,-3.084961,Warren,Warren County
17189,43.9,53.544823,-9.644821,Washington,Washington County
17191,43.4,53.931366,-10.531364,Wayne,Wayne County
17193,46.6,55.29393,-8.693932,White,White County
17197,47.8,55.976067,-8.176067,Will,Will County
17201,55.8,56.749176,-0.9491768,Winnebago,Winnebago County
17203,61.4,63.38621,-1.9862099,Woodford,Woodford County
18001,50.8,54.827732,-4.027733,Adams,Adams County
18003,52.3,52.836952,-0.536953,Allen,Allen County
18007,54.5,63.77124,-9.27124,Benton,Benton County
18009,53.8,55.501934,-1.7019348,Blackford,Blackford County
18011,52.4,59.91617,-7.5161667,Boone,Boone County
18015,58.7,60.72186,-2.0218582,Carroll,Carroll County
18019,40.6,53.29698,-12.696983,Clark,Clark County
18021,48.4,55.368397,-6.968395,Clay,Clay County
18025,46.3,43.920673,2.3793259,Crawford,Crawford County
18027,53.5,57.452053,-3.952053,Daviess,Daviess County
18029,30.9,49.862045,-18.962046,Dearborn,Dearborn County
18031,53.9,60.455894,-6.555893,Decatur,Decatur County
18033,52.4,49.873013,2.526989,DeKalb,DeKalb County
