STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD
31,39,31039,Cuming,Cuming County
31,109,31109,Lancaster,Lancaster County
31,129,31129,Nuckolls,Nuckolls County
46,99,46099,Minnehaha,Minnehaha County
39,63,39063,Hancock,Hancock County
39,3,39003,Allen,Allen County
55,111,55111,Sauk,Sauk County
5,137,5137,Stone,Stone County
29,83,29083,Henry,Henry County
39,85,39085,Lake,Lake County
29,11,29011,Barton,Barton County
31,101,31101,Keith,Keith County
31,137,31137,Phelps,Phelps County
26,109,26109,Menominee,Menominee County
18,73,18073,Jasper,Jasper County
18,151,18151,Steuben,Steuben County
39,47,39047,Fayette,Fayette County
20,73,20073,Greenwood,Greenwood County
26,7,26007,Alpena,Alpena County
20,43,20043,Doniphan,Doniphan County
26,35,26035,Clare,Clare County
20,157,20157,Republic,Republic County
31,181,31181,Webster,Webster County
17,67,17067,Hancock,Hancock County
46,67,46067,Hutchinson,Hutchinson County
26,103,26103,Marquette,Marquette County
17,25,17025,Clay,Clay County
29,103,29103,Knox,Knox County
29,117,29117,Livingston,Livingston County
31,43,31043,Dakota,Dakota County
26,89,26089,Leelanau,Leelanau County
39,17,39017,Butler,Butler County
18,115,18115,Ohio,Ohio County
46,101,46101,Moody,Moody County
20,39,20039,Decatur,Decatur County
18,123,18123,Perry,Perry County
31,15,31015,Boyd,Boyd County
27,95,27095,Mille Lacs,Mille Lacs County
38,99,38099,Walsh,Walsh County
39,115,39115,Morgan,Morgan County
39,133,39133,Portage,Portage County
5,113,5113,Polk,Polk County
18,7,18007,Benton,Benton County
46,43,46043,Douglas,Douglas County
17,185,17185,Wabash,Wabash County
18,69,18069,Huntington,Huntington County
19,53,19053,Decatur,Decatur County
18,169,18169,Wabash,Wabash County
18,3,18003,Allen,Allen County
18,99,18099,Marshall,Marshall County
31,171,31171,Thomas,Thomas County
38,85,38085,Sioux,Sioux County
27,45,27045,Fillmore,Fillmore County
27,73,27073,Lac qui Parle,Lac qui Parle County
55,93,55093,Pierce,Pierce County
17,113,17113,McLean,McLean County
20,147,20147,Phillips,Phillips County
31,89,31089,Holt,Holt County
29,101,29101,Johnson,Johnson County
55,63,55063,La Crosse,La Crosse County
17,5,17005,Bond,Bond County
17,9,17009,Brown,Brown County
27,85,27085,McLeod,McLeod County
55,33,55033,Dunn,Dunn County
29,123,29123,Madison,Madison County
55,53,55053,Jackson,Jackson County
19,31,19031,Cedar,Cedar County
18,117,18117,Orange,Orange County
31,17,31017,Brown,Brown County
20,111,20111,Lyon,Lyon County
19,27,19027,Carroll,Carroll County
20,75,20075,Hamilton,Hamilton County
19,151,19151,Pocahontas,Pocahontas County
5,63,5063,Independence,Independence County
5,85,5085,Lonoke,Lonoke County
18,111,18111,Newton,Newton County
5,19,5019,Clark,Clark County
26,153,26153,Schoolcraft,Schoolcraft County
17,83,17083,Jersey,Jersey County
20,199,20199,Wallace,Wallace County
26,3,26003,Alger,Alger County
5,49,5049,Fulton,Fulton County
26,123,26123,Newaygo,Newaygo County
27,153,27153,Todd,Todd County
