FIPS,NAME,STATE_FIPS,NA_L2CODE,NA_L1CODE,DomainID,lat,lon
1001,Autauga,1,8.3,8,8,32.53492186,-86.64274303
1003,Baldwin,1,8.3,8,3,30.72748333,-87.72257024
1005,Barbour,1,8.3,8,3,31.86958282,-85.39320852
1007,Bibb,1,8.4,8,8,32.99862798,-87.12647519
1009,Blount,1,8.4,8,8,33.9808718,-86.56737857
1011,Bullock,1,8.3,8,8,32.10052835,-85.71568177
1013,Butler,1,8.3,8,3,31.75241189,-86.68029813
1015,Calhoun,1,8.4,8,8,33.77143013,-85.82602997
1017,Chambers,1,8.3,8,8,32.91434666,-85.39202904
1019,Cherokee,1,8.4,8,8,34.17591953,-85.60379581
1021,Chilton,1,8.3,8,8,32.84786383,-86.71879894
1023,Choctaw,1,8.3,8,8,32.01977158,-88.26317969
1025,Clarke,1,8.3,8,3,31.67667626,-87.83080883
1027,Clay,1,8.3,8,8,33.26902432,-85.86057847
1029,Cleburne,1,8.3,8,8,33.67451321,-85.51880931
1031,Coffee,1,8.3,8,3,31.40264641,-85.98815462
1033,Colbert,1,8.3,8,8,34.70047019,-87.80492848
1035,Conecuh,1,8.3,8,3,31.42923391,-86.99367354
1037,Coosa,1,8.3,8,8,32.93624332,-86.2476526
1039,Covington,1,8.3,8,3,31.24849284,-86.45127248
1041,Crenshaw,1,8.3,8,3,31.73153161,-86.31357436
1043,Cullman,1,8.4,8,8,34.13194358,-86.86757764
1045,Dale,1,8.3,8,3,31.43180906,-85.6110046
1047,Dallas,1,8.3,8,8,32.32596998,-87.10646717
1049,DeKalb,1,8.4,8,8,34.4597996,-85.80410921
1051,Elmore,1,8.3,8,8,32.59664672,-86.1491593
1053,Escambia,1,8.3,8,3,31.12613597,-87.16157884
1055,Etowah,1,8.4,8,8,34.0452591,-86.03475857
1057,Fayette,1,8.3,8,8,33.72122396,-87.73886123
1059,Franklin,1,8.3,8,8,34.4416923,-87.84373463
1061,Geneva,1,8.3,8,3,31.09505339,-85.83908676
1063,Greene,1,8.3,8,8,32.85315063,-87.95220793
1065,Hale,1,8.3,8,8,32.76266363,-87.62914608
1067,Henry,1,8.3,8,3,31.51470417,-85.24141393
1069,Houston,1,8.3,8,3,31.15319983,-85.30247242
1071,Jackson,1,8.4,8,8,34.77945245,-85.99935476
1073,Jefferson,1,8.4,8,8,33.55431344,-86.8964908
1075,Lamar,1,8.3,8,8,33.77914155,-88.09695397
1077,Lauderdale,1,8.3,8,8,34.90140674,-87.65400978
1079,Lawrence,1,8.3,8,8,34.52167638,-87.31098906
1081,Lee,1,8.3,8,8,32.60114594,-85.35547099
1083,Limestone,1,8.3,8,8,34.81009901,-86.98140111
1085,Lowndes,1,8.3,8,8,32.15474789,-86.65009818
1087,Macon,1,8.3,8,8,32.38595896,-85.69265253
1089,Madison,1,8.4,8,8,34.7630899,-86.55022585
1091,Marengo,1,8.3,8,8,32.24766525,-87.78953798
1093,Marion,1,8.3,8,8,34.13655774,-87.88713334
1095,Marshall,1,8.4,8,8,34.36695607,-86.30663949
1097,Mobile,1,8.3,8,3,30.78720718,-88.20580858
1099,Monroe,1,8.3,8,3,31.57087888,-87.36543059
1101,Montgomery,1,8.3,8,8,32.22026314,-86.20761877
1103,Morgan,1,8.3,8,8,34.4534685,-86.85294249
1105,Perry,1,8.3,8,8,32.63846209,-87.29440689
1107,Pickens,1,8.3,8,8,33.28079464,-88.08875113
1109,Pike,1,8.3,8,3,31.8027272,-85.94093308
1111,Randolph,1,8.3,8,8,33.29378478,-85.45912874
1113,Russell,1,8.3,8,8,32.28839603,-85.18492443
1115,St. Clair,1,8.4,8,8,33.71569291,-86.31470441
1117,Shelby,1,8.4,8,8,33.26427841,-86.66066458
1119,Sumter,1,8.3,8,8,32.59105508,-88.19884608
1121,Talladega,1,8.4,8,8,33.38008106,-86.16588622
1123,Tallapoosa,1,8.3,8,8,32.86237746,-85.79749844
1125,Tuscaloosa,1,8.3,8,8,33.28957202,-87.52511029
1127,Walker,1,8.4,8,8,33.8033104,-87.29732766
1129,Washington,1,8.3,8,3,31.40762883,-88.20785704
1131,Wilcox,1,8.3,8,8,31.98930435,-87.30819504
1133,Winston,1,8.4,8,8,34.14919785,-87.37366414
4001,Apache,4,10.1,10,13,35.39552487,-109.4888226
4003,Cochise,4,12.1,12,14,31.87960842,-109.7511658
4005,Coconino,4,13.1,13,13,35.83874027,-111.7705002
4007,Gila,4,13.1,13,13,33.79974727,-110.8117055
4009,Graham,4,12.1,12,14,32.93269957,-109.887398
4011,Greenlee,4,13.1,13,13,33.21522153,-109.2401331
4012,La Paz,4,10.2,10,14,33.72928181,-113.9812951
4013,Maricopa,4,10.2,10,14,33.34880746,-112.4912953
4015,Mohave,4,10.1,10,14,35.70409778,-113.7579531
4017,Navajo,4,10.1,10,13,35.39965851,-110.3214017
4019,Pima,4,10.2,10,14,32.09742497,-111.7898949
4021,Pinal,4,10.2,10,14,32.90439185,-111.3446708
4023,Santa Cruz,4,12.1,12,14,31.5260263,-110.84659
4025,Yavapai,4,13.1,13,13,34.59989603,-112.5539015
4027,Yuma,4,10.2,10,14,32.76942518,-113.9055857
5001,Arkansas,5,8.5,8,8,34.29080902,-91.37491097
5003,Ashley,5,8.3,8,8,33.19121059,-91.76845679
5005,Baxter,5,8.4,8,8,36.28720814,-92.33694706
5007,Benton,5,8.4,8,8,36.33872368,-94.25619857
5009,Boone,5,8.4,8,8,36.30859027,-93.09153326
5011,Bradley,5,8.3,8,8,33.46641915,-92.16238947
5013,Calhoun,5,8.3,8,8,33.55803069,-92.50304364
5015,Carroll,5,8.4,8,8,36.34101849,-93.53823947
5017,Chicot,5,8.5,8,8,33.26721179,-91.29397797
5019,Clark,5,8.3,8,8,34.05097818,-93.17636627
5021,Clay,5,8.3,8,8,36.36826349,-90.41754948
5023,Cleburne,5,8.4,8,8,35.5381002,-92.02672505
5025,Cleveland,5,8.3,8,8,33.89836746,-92.18518593
5027,Columbia,5,8.3,8,8,33.21428993,-93.22731423
5029,Conway,5,8.4,8,8,35.26224369,-92.70129612
5031,Craighead,5,8.5,8,8,35.83079052,-90.63283338
5033,Crawford,5,8.4,8,8,35.58908496,-94.24282229
5035,Crittenden,5,8.5,8,8,35.20794244,-90.30883796
5037,Cross,5,8.5,8,8,35.29571111,-90.7712149
5039,Dallas,5,8.3,8,8,33.96981105,-92.65444397
5041,Desha,5,8.5,8,8,33.83328448,-91.25398253
5043,Drew,5,8.3,8,8,33.58944445,-91.71999727
5045,Faulkner,5,8.4,8,8,35.14698253,-92.33204335
5047,Franklin,5,8.4,8,8,35.51231939,-93.8906379
5049,Fulton,5,8.4,8,8,36.38166191,-91.81821629
5051,Garland,5,8.4,8,8,34.57666771,-93.15041054
5053,Grant,5,8.3,8,8,34.2899992,-92.42361082
5055,Greene,5,8.3,8,8,36.11756615,-90.55897873
5057,Hempstead,5,8.3,8,8,33.73532347,-93.6684778
5059,Hot Spring,5,8.4,8,8,34.31762915,-92.94594097
5061,Howard,5,8.3,8,8,34.08877035,-93.99348275
5063,Independence,5,8.4,8,8,35.74157262,-91.56970867
5065,Izard,5,8.4,8,8,36.09487572,-91.91341296
5067,Jackson,5,8.5,8,8,35.59927405,-91.21455195
5069,Jefferson,5,8.5,8,8,34.26878309,-91.93151286
5071,Johnson,5,8.4,8,8,35.57006854,-93.45989507
5073,Lafayette,5,8.3,8,8,33.2409454,-93.60705469
5075,Lawrence,5,8.5,8,8,36.04125542,-91.10708691
5077,Lee,5,8.5,8,8,34.78065731,-90.78214312
