FIPS,yield,pred,error,NAME,NAMELSAD
5001,192.3,173.77213,18.527878,Arkansas,Arkansas County
5003,196.2,183.41872,12.7812805,Ashley,Ashley County
5017,182.4,179.01352,3.3864746,Chicot,Chicot County
5021,203.4,180.8224,22.57759,Clay,Clay County
5031,185.4,181.24043,4.159561,Craighead,Craighead County
5035,178.3,175.61128,2.6887207,Crittenden,Crittenden County
5041,193.8,179.22899,14.571014,Desha,Desha County
5043,189.2,175.87558,13.324417,Drew,Drew County
5055,186.3,170.53966,15.760345,Greene,Greene County
5063,160.0,149.08514,10.914856,Independence,Independence County
5067,174.2,163.52359,10.676407,Jackson,Jackson County
5069,187.0,176.98825,10.011749,Jefferson,Jefferson County
5071,151.4,131.45958,19.940414,Johnson,Johnson County
5073,165.9,137.74026,28.159729,Lafayette,Lafayette County
5075,170.0,169.13557,0.86442566,Lawrence,Lawrence County
5077,184.0,170.09366,13.906342,Lee,Lee County
5079,189.5,176.20891,13.291092,Lincoln,Lincoln County
5085,187.6,177.87968,9.720322,Lonoke,Lonoke County
5093,163.6,177.98929,-14.389282,Mississippi,Mississippi County
5095,182.1,172.3046,9.79541,Monroe,Monroe County
5107,172.1,177.16545,-5.065445,Phillips,Phillips County
5111,195.4,177.56525,17.834747,Poinsett,Poinsett County
5121,181.8,158.51033,23.289673,Randolph,Randolph County
5123,183.4,170.25385,13.146149,St. Francis,St. Francis County
5145,203.2,165.70508,37.49492,White,White County
5147,177.4,162.06657,15.33342,Woodruff,Woodruff County
17001,192.2,171.32344,20.876556,Adams,Adams County
17003,159.4,162.10245,-2.7024536,Alexander,Alexander County
17005,170.7,153.138,17.561996,Bond,Bond County
17007,189.9,185.4349,4.465088,Boone,Boone County
17009,188.7,176.97859,11.721405,Brown,Brown County
17011,215.4,195.75757,19.642426,Bureau,Bureau County
17013,156.0,167.16548,-11.165482,Calhoun,Calhoun County
17015,238.0,200.62218,37.377823,Carroll,Carroll County
17017,194.7,187.03221,7.6677856,Cass,Cass County
17019,206.8,194.52509,12.274918,Champaign,Champaign County
17021,220.0,197.18124,22.818756,Christian,Christian County
17023,185.9,167.33458,18.565414,Clark,Clark County
17025,119.6,162.53401,-42.934013,Clay,Clay County
17027,157.5,155.27533,2.2246704,Clinton,Clinton County
17029,208.3,182.81644,25.483566,Coles,Coles County
17033,172.5,163.70758,8.792419,Crawford,Crawford County
17035,181.2,165.71452,15.485474,Cumberland,Cumberland County
17037,204.1,186.74115,17.358856,DeKalb,DeKalb County
17039,201.1,198.40446,2.6955414,De Witt,De Witt County
17041,211.9,194.3417,17.558289,Douglas,Douglas County
17045,206.4,189.02238,17.37761,Edgar,Edgar County
17047,171.4,157.72678,13.673218,Edwards,Edwards County
17049,188.8,164.2629,24.53711,Effingham,Effingham County
17051,170.3,160.24101,10.0589905,Fayette,Fayette County
17053,212.4,179.92429,32.475708,Ford,Ford County
17055,157.0,144.37749,12.622513,Franklin,Franklin County
17057,198.6,182.59743,16.002579,Fulton,Fulton County
17059,190.3,179.26231,11.037689,Gallatin,Gallatin County
17061,200.4,176.57727,23.822723,Greene,Greene County
17063,208.7,184.36024,24.339752,Grundy,Grundy County
17065,174.2,152.42169,21.778305,Hamilton,Hamilton County
17067,222.9,182.25775,40.642242,Hancock,Hancock County
17071,223.9,187.92107,35.978928,Henderson,Henderson County
17073,217.6,192.33351,25.266495,Henry,Henry County
17075,199.0,171.66777,27.33223,Iroquois,Iroquois County
17077,166.7,149.94318,16.75682,Jackson,Jackson County
17079,179.4,162.51218,16.887817,Jasper,Jasper County
17081,127.9,155.272,-27.372002,Jefferson,Jefferson County
17083,172.0,171.73929,0.26071167,Jersey,Jersey County
