FIPS,yield,pred,error,NAME,NAMELSAD
5001,43.2,45.228012,-2.0280113,Arkansas,Arkansas County
5003,43.3,36.223114,7.076885,Ashley,Ashley County
5017,39.9,38.38048,1.5195198,Chicot,Chicot County
5021,37.9,35.021786,2.8782158,Clay,Clay County
5029,26.4,30.643923,-4.243923,Conway,Conway County
5031,38.7,35.647346,3.0526543,Craighead,Craighead County
5033,23.3,26.61117,-3.3111706,Crawford,Crawford County
5035,34.3,35.283016,-0.98301697,Crittenden,Crittenden County
5037,36.5,39.179844,-2.679844,Cross,Cross County
5041,47.6,43.2207,4.379299,Desha,Desha County
5043,44.9,40.784405,4.115597,Drew,Drew County
5055,31.9,34.1147,-2.2147007,Greene,Greene County
5063,29.0,31.671806,-2.6718063,Independence,Independence County
5067,24.9,31.616428,-6.7164288,Jackson,Jackson County
5069,38.8,41.338085,-2.538086,Jefferson,Jefferson County
5075,28.4,33.15634,-4.756342,Lawrence,Lawrence County
5077,26.3,32.87551,-6.575512,Lee,Lee County
5079,45.2,40.851097,4.3489037,Lincoln,Lincoln County
5081,24.9,30.88503,-5.985031,Little River,Little River County
5083,31.2,28.09274,3.1072617,Logan,Logan County
5085,35.8,37.773785,-1.9737854,Lonoke,Lonoke County
5091,16.6,23.578653,-6.978653,Miller,Miller County
5093,34.6,36.318882,-1.7188835,Mississippi,Mississippi County
5095,33.1,35.89631,-2.7963104,Monroe,Monroe County
5105,29.2,30.046797,-0.84679604,Perry,Perry County
5107,36.0,36.483715,-0.48371506,Phillips,Phillips County
5111,35.2,37.952213,-2.7522125,Poinsett,Poinsett County
5115,25.8,30.336235,-4.536236,Pope,Pope County
5117,40.6,39.886143,0.71385574,Prairie,Prairie County
5119,25.1,30.788113,-5.6881123,Pulaski,Pulaski County
5121,34.1,36.230022,-2.130024,Randolph,Randolph County
5123,32.3,33.63774,-1.3377419,St. Francis,St. Francis County
5131,30.1,28.996002,1.1039982,Sebastian,Sebastian County
5145,21.0,27.715239,-6.7152386,White,White County
5147,26.4,32.424927,-6.024927,Woodruff,Woodruff County
17001,48.7,44.694157,4.005844,Adams,Adams County
17003,39.8,39.34835,0.4516487,Alexander,Alexander County
17005,49.9,43.982063,5.917938,Bond,Bond County
17007,58.1,53.972557,4.1274414,Boone,Boone County
17009,48.1,45.562733,2.5372658,Brown,Brown County
17011,55.0,54.01094,0.98905945,Bureau,Bureau County
17013,50.3,48.895374,1.4046249,Calhoun,Calhoun County
17015,58.9,56.364777,2.535225,Carroll,Carroll County
17017,53.3,50.917866,2.3821335,Cass,Cass County
17019,56.2,52.672234,3.5277672,Champaign,Champaign County
17021,60.5,55.86565,4.63435,Christian,Christian County
17023,49.4,46.475372,2.9246292,Clark,Clark County
17025,44.2,43.16488,1.0351219,Clay,Clay County
17027,49.8,45.36721,4.432789,Clinton,Clinton County
17029,58.0,53.77768,4.2223206,Coles,Coles County
17033,45.5,44.73012,0.7698784,Crawford,Crawford County
17035,49.9,47.52993,2.3700714,Cumberland,Cumberland County
17037,57.3,54.473717,2.8262825,DeKalb,DeKalb County
17039,59.7,53.743507,5.9564934,De Witt,De Witt County
17041,57.4,53.547466,3.8525352,Douglas,Douglas County
17045,53.9,52.056744,1.8432579,Edgar,Edgar County
17047,45.2,42.172096,3.0279045,Edwards,Edwards County
17049,49.8,46.797985,3.0020142,Effingham,Effingham County
17051,49.7,45.44303,4.2569695,Fayette,Fayette County
17053,47.0,47.30882,-0.30881882,Ford,Ford County
17055,36.6,40.513714,-3.9137154,Franklin,Franklin County
17057,49.1,48.81919,0.2808075,Fulton,Fulton County
