FIPS,yield,pred,error,NAME,NAMELSAD
5001,190.1,190.13766,-0.03765869,Arkansas,Arkansas County
5003,186.0,183.22798,2.7720184,Ashley,Ashley County
5017,181.9,180.91484,0.9851532,Chicot,Chicot County
5029,161.4,139.1309,22.269089,Conway,Conway County
5035,187.9,187.14363,0.7563629,Crittenden,Crittenden County
5037,194.1,204.10812,-10.008118,Cross,Cross County
5041,186.0,178.53148,7.468521,Desha,Desha County
5043,182.0,172.09453,9.905472,Drew,Drew County
5067,183.7,174.13434,9.565659,Jackson,Jackson County
5069,190.0,185.11803,4.8819733,Jefferson,Jefferson County
5071,141.5,132.11063,9.389374,Johnson,Johnson County
5073,150.9,140.36201,10.537979,Lafayette,Lafayette County
5077,186.4,188.21982,-1.8198242,Lee,Lee County
5079,180.7,176.13054,4.569458,Lincoln,Lincoln County
5083,161.5,141.98788,19.512115,Logan,Logan County
5085,189.8,184.12593,5.6740723,Lonoke,Lonoke County
5095,173.8,179.11464,-5.314636,Monroe,Monroe County
5107,186.5,178.90718,7.592819,Phillips,Phillips County
5111,176.6,191.85403,-15.254028,Poinsett,Poinsett County
5117,189.0,188.69016,0.30984497,Prairie,Prairie County
5123,178.9,194.70633,-15.806335,St. Francis,St. Francis County
5145,185.3,178.51904,6.78096,White,White County
5147,194.0,183.05391,10.946091,Woodruff,Woodruff County
5149,157.2,140.39487,16.80513,Yell,Yell County
17005,206.7,196.1313,10.568695,Bond,Bond County
17007,200.0,201.54985,-1.5498505,Boone,Boone County
17009,179.0,181.69753,-2.697525,Brown,Brown County
17011,203.5,214.46606,-10.966064,Bureau,Bureau County
17013,181.3,183.46748,-2.1674805,Calhoun,Calhoun County
17015,205.0,210.48726,-5.487259,Carroll,Carroll County
17017,211.0,201.68004,9.319962,Cass,Cass County
17019,222.4,213.94775,8.45224,Champaign,Champaign County
17021,218.6,212.89134,5.708664,Christian,Christian County
17023,205.2,202.64015,2.559845,Clark,Clark County
17025,210.0,188.12883,21.87117,Clay,Clay County
17027,208.4,190.54552,17.854477,Clinton,Clinton County
17029,220.0,213.79024,6.2097626,Coles,Coles County
17031,170.3,164.39543,5.9045715,Cook,Cook County
17033,203.0,199.16133,3.8386688,Crawford,Crawford County
17037,202.7,211.18587,-8.48587,DeKalb,DeKalb County
17039,209.2,211.87146,-2.671463,De Witt,De Witt County
17045,207.9,207.22232,0.67767334,Edgar,Edgar County
17047,186.8,183.3743,3.425705,Edwards,Edwards County
17049,212.8,197.61351,15.186493,Effingham,Effingham County
17051,207.2,191.57593,15.624069,Fayette,Fayette County
17053,199.0,207.53203,-8.532028,Ford,Ford County
17055,177.7,165.70079,11.999207,Franklin,Franklin County
17057,193.1,190.17114,2.9288635,Fulton,Fulton County
17059,191.7,202.10396,-10.403961,Gallatin,Gallatin County
17061,196.4,191.96819,4.4318085,Greene,Greene County
17063,201.4,204.28923,-2.8892365,Grundy,Grundy County
17067,200.9,199.50813,1.391861,Hancock,Hancock County
17069,175.9,174.29996,1.6000366,Hardin,Hardin County
17073,202.5,210.93117,-8.431168,Henry,Henry County
17075,194.2,199.31757,-5.117569,Iroquois,Iroquois County
17077,181.2,173.77606,7.423935,Jackson,Jackson County
17081,174.0,171.96582,2.0341797,Jefferson,Jefferson County
17085,199.9,193.57817,6.321823,Jo Daviess,Jo Daviess County
17089,206.5,202.07797,4.4220276,Kane,Kane County
17091,191.0,188.41357,2.5864258,Kankakee,Kankakee County
17093,211.6,197.88557,13.714432,Kendall,Kendall County
17095,198.1,202.85756,-4.757553,Knox,Knox County
17097,164.2,158.4194,5.780594,Lake,Lake County
17101,191.1,189.91913,1.1808777,Lawrence,Lawrence County
17103,198.4,206.73141,-8.331421,Lee,Lee County
17105,208.5,211.35612,-2.8561249,Livingston,Livingston County
17107,209.5,212.87398,-3.3739777,Logan,Logan County
17113,205.7,215.9431,-10.243103,McLean,McLean County
17115,221.1,211.36122,9.738785,Macon,Macon County
17117,197.2,195.9665,1.23349,Macoupin,Macoupin County
17119,207.8,193.65538,14.144623,Madison,Madison County
17121,201.6,192.71085,8.88916,Marion,Marion County
17123,214.5,211.12665,3.373352,Marshall,Marshall County
17125,197.4,191.03981,6.3601837,Mason,Mason County
17129,201.0,209.4248,-8.424805,Menard,Menard County
17133,185.0,178.95413,6.045868,Monroe,Monroe County
17135,212.2,204.96341,7.2365875,Montgomery,Montgomery County
17139,221.8,213.74474,8.055267,Moultrie,Moultrie County
17141,196.2,202.06888,-5.868881,Ogle,Ogle County
17143,215.0,202.79156,12.208435,Peoria,Peoria County
17147,212.8,222.28505,-9.485046,Piatt,Piatt County
17153,188.4,182.23584,6.164154,Pulaski,Pulaski County
17155,200.3,202.0591,-1.7590942,Putnam,Putnam County
17157,185.7,177.657,8.042999,Randolph,Randolph County
17161,206.3,207.4612,-1.1611938,Rock Island,Rock Island County
17163,199.0,189.76506,9.23494,St. Clair,St. Clair County
17165,191.8,185.01405,6.7859497,Saline,Saline County
17167,215.6,207.4994,8.100601,Sangamon,Sangamon County
17169,181.9,189.71191,-7.81192,Schuyler,Schuyler County
17171,189.7,192.29636,-2.5963593,Scott,Scott County
17173,208.0,204.3443,3.6557007,Shelby,Shelby County
17175,217.2,216.09856,1.1014404,Stark,Stark County
17177,202.9,201.82729,1.0727081,Stephenson,Stephenson County
17179,204.8,204.44038,0.35961914,Tazewell,Tazewell County
17181,163.7,169.12395,-5.42395,Union,Union County
17183,196.9,200.13226,-3.2322693,Vermilion,Vermilion County
17185,187.9,190.79555,-2.8955536,Wabash,Wabash County
17189,203.5,186.39073,17.109268,Washington,Washington County
17193,193.2,188.54535,4.654648,White,White County
17195,202.6,202.09694,0.503067,Whiteside,Whiteside County
17197,187.6,179.7111,7.8889008,Will,Will County
17201,195.8,190.23526,5.564743,Winnebago,Winnebago County
17203,220.2,214.96281,5.2371826,Woodford,Woodford County
18003,197.4,192.82762,4.5723724,Allen,Allen County
18005,200.0,178.30408,21.695923,Bartholomew,Bartholomew County
18007,190.0,200.79146,-10.791458,Benton,Benton County
18009,205.9,196.77742,9.122574,Blackford,Blackford County
18011,209.8,201.38205,8.4179535,Boone,Boone County
18013,177.9,148.49448,29.405518,Brown,Brown County
18019,180.8,176.95853,3.8414764,Clark,Clark County
18021,194.7,191.51503,3.184967,Clay,Clay County
18023,210.3,201.04494,9.255066,Clinton,Clinton County
18027,216.4,193.91495,22.485046,Daviess,Daviess County
18029,156.7,156.642,0.057998657,Dearborn,Dearborn County
18031,186.3,187.32497,-1.0249634,Decatur,Decatur County
18033,178.9,177.7293,1.1707001,DeKalb,DeKalb County
18035,200.2,194.15968,6.0403137,Delaware,Delaware County
18037,191.2,184.42905,6.7709503,Dubois,Dubois County
18039,179.0,175.39607,3.6039276,Elkhart,Elkhart County
18041,197.9,186.86098,11.039017,Fayette,Fayette County
18043,176.9,160.33699,16.563004,Floyd,Floyd County
18047,174.4,180.0345,-5.634506,Franklin,Franklin County
18049,185.0,192.86456,-7.864563,Fulton,Fulton County
18053,210.3,201.66481,8.635193,Grant,Grant County
18055,198.8,183.71127,15.08873,Greene,Greene County
18057,216.0,187.79607,28.203934,Hamilton,Hamilton County
18059,190.2,179.81369,10.386307,Hancock,Hancock County
18061,188.4,169.31667,19.083328,Harrison,Harrison County
18063,208.3,194.6233,13.676697,Hendricks,Hendricks County
18065,204.2,194.82335,9.376648,Henry,Henry County
18067,227.0,204.84665,22.15335,Howard,Howard County
18069,205.9,198.71545,7.18454,Huntington,Huntington County
18077,170.6,171.95598,-1.3559723,Jefferson,Jefferson County
18079,171.9,170.72406,1.1759338,Jennings,Jennings County
18081,171.9,181.95743,-10.057434,Johnson,Johnson County
18083,202.9,193.32565,9.574341,Knox,Knox County
18085,188.9,188.2288,0.67118835,Kosciusko,Kosciusko County
18087,161.0,170.86406,-9.864059,LaGrange,LaGrange County
18091,170.0,179.50645,-9.506454,LaPorte,LaPorte County
18093,192.4,177.41089,14.989105,Lawrence,Lawrence County
18095,216.3,197.2643,19.035706,Madison,Madison County
18097,181.9,173.24606,8.653931,Marion,Marion County
18099,185.5,188.03563,-2.5356293,Marshall,Marshall County
18101,208.2,185.46031,22.739685,Martin,Martin County
18105,182.8,157.93951,24.860489,Monroe,Monroe County
18107,217.9,204.28981,13.610184,Montgomery,Montgomery County
18109,195.7,190.32373,5.3762665,Morgan,Morgan County
18111,182.7,197.84589,-15.145889,Newton,Newton County
18113,187.7,182.69206,5.0079346,Noble,Noble County
18115,141.4,162.71376,-21.313766,Ohio,Ohio County
18117,200.3,187.68886,12.611145,Orange,Orange County
18119,184.0,182.13536,1.8646393,Owen,Owen County
18127,178.0,189.40903,-11.409027,Porter,Porter County
18129,220.0,199.46169,20.538315,Posey,Posey County
18133,196.3,195.63893,0.6610718,Putnam,Putnam County
18135,205.0,199.14087,5.859131,Randolph,Randolph County
18137,173.3,174.95706,-1.6570587,Ripley,Ripley County
18139,197.2,197.29985,-0.099853516,Rush,Rush County
18141,163.0,187.31027,-24.310272,St. Joseph,St. Joseph County
18143,170.0,176.70259,-6.702591,Scott,Scott County
18145,189.1,182.77406,6.325943,Shelby,Shelby County
18147,187.9,188.73196,-0.8319702,Spencer,Spencer County
18151,176.0,175.0107,0.9893036,Steuben,Steuben County
18153,193.8,200.61845,-6.818451,Sullivan,Sullivan County
18155,174.0,167.33424,6.665756,Switzerland,Switzerland County
18157,207.2,191.84325,15.3567505,Tippecanoe,Tippecanoe County
18159,224.8,209.70862,15.091385,Tipton,Tipton County
18161,207.8,197.80502,9.99498,Union,Union County
18163,217.2,201.00224,16.197754,Vanderburgh,Vanderburgh County
18165,195.9,196.6199,-0.71990967,Vermillion,Vermillion County
18167,186.7,183.7755,2.9244995,Vigo,Vigo County
18169,189.0,197.78615,-8.786148,Wabash,Wabash County
18171,191.6,200.67444,-9.074432,Warren,Warren County
18177,202.3,189.11754,13.182465,Wayne,Wayne County
18179,218.9,203.36742,15.5325775,Wells,Wells County
18183,200.4,191.3423,9.0576935,Whitley,Whitley County
19005,199.4,196.96228,2.4377136,Allamakee,Allamakee County
19007,172.3,171.961,0.33900452,Appanoose,Appanoose County
19009,216.3,215.41904,0.8809662,Audubon,Audubon County
19011,212.1,205.19717,6.902832,Benton,Benton County
19013,194.5,200.96097,-6.460968,Black Hawk,Black Hawk County
19015,209.4,200.87007,8.5299225,Boone,Boone County
19017,201.1,212.56055,-11.460541,Bremer,Bremer County
19019,210.0,213.54428,-3.544281,Buchanan,Buchanan County
19021,204.7,213.78534,-9.085342,Buena Vista,Buena Vista County
19023,205.6,209.56032,-3.960312,Butler,Butler County
19025,220.0,212.75473,7.24527,Calhoun,Calhoun County
19027,220.5,213.16519,7.3348083,Carroll,Carroll County
19029,213.5,206.55296,6.9470367,Cass,Cass County
19031,207.5,205.73894,1.7610626,Cedar,Cedar County
19033,200.9,206.97118,-6.0711823,Cerro Gordo,Cerro Gordo County
19037,209.1,209.48488,-0.38487244,Chickasaw,Chickasaw County
19041,204.2,205.74583,-1.5458374,Clay,Clay County
19043,196.5,202.28056,-5.7805634,Clayton,Clayton County
19045,206.8,203.92474,2.8752594,Clinton,Clinton County
19047,220.1,214.99982,5.100189,Crawford,Crawford County
19049,210.8,201.44884,9.351166,Dallas,Dallas County
19051,152.9,166.10692,-13.206924,Davis,Davis County
19055,219.0,216.19179,2.8082123,Delaware,Delaware County
19059,178.5,187.1789,-8.678894,Dickinson,Dickinson County
19061,218.2,206.74632,11.453674,Dubuque,Dubuque County
19063,183.3,194.836,-11.5359955,Emmet,Emmet County
19065,206.5,206.56168,-0.061676025,Fayette,Fayette County
19067,206.1,209.56859,-3.4685822,Floyd,Floyd County
19069,199.8,204.23228,-4.4322815,Franklin,Franklin County
19071,207.8,208.68031,-0.88031006,Fremont,Fremont County
19073,221.7,212.00104,9.698959,Greene,Greene County
19075,210.5,215.20055,-4.7005463,Grundy,Grundy County
19077,221.4,207.66692,13.733078,Guthrie,Guthrie County
19081,210.9,212.66182,-1.7618256,Hancock,Hancock County
19083,193.9,205.30019,-11.400192,Hardin,Hardin County
19087,168.4,175.75034,-7.350342,Henry,Henry County
19089,208.2,205.12955,3.0704498,Howard,Howard County
19091,206.3,206.04234,0.2576599,Humboldt,Humboldt County
19093,229.1,220.00018,9.099823,Ida,Ida County
19097,191.5,193.99232,-2.4923248,Jackson,Jackson County
19099,223.1,206.42241,16.677597,Jasper,Jasper County
19101,164.0,172.17047,-8.170471,Jefferson,Jefferson County
19107,177.2,188.45134,-11.251343,Keokuk,Keokuk County
19109,192.6,206.90341,-14.303406,Kossuth,Kossuth County
19111,160.8,177.6553,-16.8553,Lee,Lee County
19115,190.4,190.41124,-0.011245728,Louisa,Louisa County
19117,166.9,164.83945,2.0605469,Lucas,Lucas County
19119,217.4,210.23468,7.1653137,Lyon,Lyon County
19121,196.7,187.8137,8.8862915,Madison,Madison County
19123,201.4,199.01062,2.3893738,Mahaska,Mahaska County
19125,200.0,191.54811,8.451889,Marion,Marion County
19127,212.8,210.3604,2.4396057,Marshall,Marshall County
19129,210.8,204.20978,6.590225,Mills,Mills County
19131,204.1,211.56567,-7.4656677,Mitchell,Mitchell County
19133,199.6,207.2532,-7.6531982,Monona,Monona County
19135,166.3,172.76369,-6.463684,Monroe,Monroe County
19137,206.1,201.4916,4.6084137,Montgomery,Montgomery County
19139,204.9,197.22409,7.6759033,Muscatine,Muscatine County
19141,214.3,218.94308,-4.6430817,O'Brien,O'Brien County
19143,209.0,212.80699,-3.8069916,Osceola,Osceola County
19145,208.1,199.78859,8.311417,Page,Page County
19147,191.1,203.76384,-12.663834,Palo Alto,Palo Alto County
19149,191.7,204.99872,-13.298721,Plymouth,Plymouth County
19151,214.9,214.23337,0.666626,Pocahontas,Pocahontas County
19153,218.6,194.38048,24.219528,Polk,Polk County
19155,217.4,213.86809,3.5319061,Pottawattamie,Pottawattamie County
19157,201.9,199.6849,2.215088,Poweshiek,Poweshiek County
19159,176.6,172.70847,3.8915405,Ringgold,Ringgold County
19161,231.5,216.80063,14.699371,Sac,Sac County
19163,207.1,205.19014,1.9098663,Scott,Scott County
19167,221.7,219.52904,2.1709595,Sioux,Sioux County
19169,202.1,200.79701,1.3029938,Story,Story County
19171,215.1,209.9341,5.165909,Tama,Tama County
19173,192.8,183.60652,9.193481,Taylor,Taylor County
19175,186.0,188.10463,-2.1046295,Union,Union County
19177,162.9,158.24034,4.6596527,Van Buren,Van Buren County
