FIPS,yield,pred,error,NAME,NAMELSAD
5001,59.2,60.753246,-1.5532455,Arkansas,Arkansas County
5003,55.4,54.706005,0.6939964,Ashley,Ashley County
5017,53.9,56.79768,-2.8976784,Chicot,Chicot County
5021,53.3,49.564785,3.7352142,Clay,Clay County
5029,33.2,33.91188,-0.71187973,Conway,Conway County
5031,48.7,45.944443,2.755558,Craighead,Craighead County
5035,50.4,51.174477,-0.7744751,Crittenden,Crittenden County
5037,50.4,51.9124,-1.5123978,Cross,Cross County
5041,57.3,60.368717,-3.068718,Desha,Desha County
5043,56.7,55.484993,1.2150078,Drew,Drew County
5045,33.6,31.68299,1.9170094,Faulkner,Faulkner County
5047,37.3,33.68769,3.6123085,Franklin,Franklin County
5055,46.9,42.614925,4.285076,Greene,Greene County
5063,43.1,39.86923,3.23077,Independence,Independence County
5067,40.6,40.78129,-0.18128967,Jackson,Jackson County
5069,55.8,57.240128,-1.4401283,Jefferson,Jefferson County
5071,34.7,31.712473,2.9875278,Johnson,Johnson County
5073,53.1,44.04226,9.057739,Lafayette,Lafayette County
5075,42.9,38.601494,4.2985077,Lawrence,Lawrence County
5077,55.6,51.444378,4.1556206,Lee,Lee County
5079,54.6,57.29548,-2.6954803,Lincoln,Lincoln County
5083,37.5,39.080513,-1.580513,Logan,Logan County
5085,47.6,48.433838,-0.8338394,Lonoke,Lonoke County
5093,53.4,49.062283,4.337719,Mississippi,Mississippi County
5095,50.9,49.993633,0.90636826,Monroe,Monroe County
5107,55.5,55.997707,-0.49770737,Phillips,Phillips County
5111,51.9,51.681335,0.21866608,Poinsett,Poinsett County
5117,50.0,51.53054,-1.5305405,Prairie,Prairie County
5119,35.9,38.342518,-2.4425163,Pulaski,Pulaski County
5121,45.3,42.696278,2.6037216,Randolph,Randolph County
5123,50.2,51.31253,-1.1125298,St. Francis,St. Francis County
5131,33.3,36.602932,-3.3029327,Sebastian,Sebastian County
5145,47.9,36.08979,11.810211,White,White County
5147,50.8,43.368046,7.4319534,Woodruff,Woodruff County
5149,42.5,36.833977,5.6660233,Yell,Yell County
17001,54.8,55.303516,-0.50351715,Adams,Adams County
17003,48.7,44.82447,3.8755302,Alexander,Alexander County
17005,59.0,56.260273,2.739727,Bond,Bond County
17007,53.0,56.942665,-3.942665,Boone,Boone County
17009,61.4,55.265083,6.134918,Brown,Brown County
17011,64.8,63.535015,1.264988,Bureau,Bureau County
17013,54.1,53.6115,0.4884987,Calhoun,Calhoun County
17015,68.1,62.25402,5.845978,Carroll,Carroll County
17017,63.0,62.22314,0.7768593,Cass,Cass County
17019,66.1,64.34396,1.7560349,Champaign,Champaign County
17021,65.9,65.66047,0.23953247,Christian,Christian County
17023,58.4,59.647697,-1.2476959,Clark,Clark County
