,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17001,15.453066,0.0,229.61465,0.0,0.36838284,229.61465
1,17003,13.241785,0.0,196.75758,0.0,0.6376707,196.75758
2,17005,13.732109,0.0,204.04323,0.0,0.4846956,204.04323
3,17007,15.552445,0.0,231.09131,0.0,0.354178,231.09131
4,17009,15.267841,0.0,226.86243,0.0,0.3905114,226.86243
5,17011,16.35597,0.0,243.03076,0.0,0.33839902,243.03076
6,17013,14.671618,0.0,218.00325,0.0,0.35892838,218.00325
7,17015,16.728605,0.0,248.56769,0.0,0.3310069,248.56769
8,17017,15.5501175,0.0,231.05673,0.0,0.3935927,231.05673
9,17019,15.006879,0.0,222.98483,0.0,0.4125865,222.98483
10,17021,15.963413,0.0,237.19781,0.0,0.34228462,237.19781
11,17023,13.7940035,0.0,204.9629,0.0,0.48286492,204.9629
12,17025,12.647921,0.0,187.93344,0.0,0.51081717,187.93344
13,17027,13.203515,0.0,196.18893,0.0,0.5131944,196.18893
14,17029,15.33109,0.0,227.80223,0.0,0.3781355,227.80223
15,17031,11.970071,0.0,177.86137,0.0,1.0774028,177.86137
16,17033,13.193291,0.0,196.03702,0.0,0.5228473,196.03702
17,17035,14.376757,0.0,213.62195,0.0,0.42950535,213.62195
18,17037,15.368002,0.0,228.3507,0.0,0.36222884,228.3507
19,17039,15.344065,0.0,227.99503,0.0,0.39757714,227.99503
20,17041,15.201174,0.0,225.87183,0.0,0.39680615,225.87183
21,17043,13.424594,0.0,199.4739,0.0,0.83870864,199.4739
22,17045,15.4811325,0.0,230.0317,0.0,0.38333717,230.0317
23,17047,12.407281,0.0,184.35782,0.0,0.6218363,184.35782
24,17049,14.204032,0.0,211.05545,0.0,0.43817008,211.05545
25,17051,13.813285,0.0,205.2494,0.0,0.43914258,205.2494
26,17053,14.158046,0.0,210.37215,0.0,0.4359668,210.37215
27,17055,11.591241,0.0,172.2324,0.0,0.80561954,172.2324
28,17057,15.381493,0.0,228.55116,0.0,0.41043338,228.55116
29,17059,13.633845,0.0,202.58315,0.0,0.54522586,202.58315
30,17061,15.418199,0.0,229.09656,0.0,0.3364904,229.09656
31,17063,14.773101,0.0,219.51115,0.0,0.4368021,219.51115
32,17065,12.390957,0.0,184.11526,0.0,0.6803113,184.11526
33,17067,16.245058,0.0,241.38274,0.0,0.3487281,241.38274
34,17069,12.721719,0.0,189.03,0.0,0.7089442,189.03
35,17071,16.35963,0.0,243.08516,0.0,0.35063952,243.08516
36,17073,16.11453,0.0,239.44325,0.0,0.3315118,239.44325
37,17075,14.332881,0.0,212.97,0.0,0.42253995,212.97
38,17077,11.936772,0.0,177.36661,0.0,0.6872393,177.36661
39,17079,13.21585,0.0,196.37221,0.0,0.47231367,196.37221
40,17081,11.801969,0.0,175.36357,0.0,0.68032587,175.36357
41,17083,14.960971,0.0,222.30269,0.0,0.33202985,222.30269
42,17085,15.751338,0.0,234.04663,0.0,0.39312646,234.04663
43,17087,12.210752,0.0,181.43762,0.0,0.74350286,181.43762
44,17089,15.039252,0.0,223.46587,0.0,0.41295606,223.46587
45,17091,14.370896,0.0,213.53487,0.0,0.48116028,213.53487
46,17093,14.797605,0.0,219.87526,0.0,0.43385956,219.87526
47,17095,16.18068,0.0,240.42615,0.0,0.3424062,240.42615
48,17097,13.489541,0.0,200.43895,0.0,0.6313261,200.43895
49,17099,15.348226,0.0,228.05684,0.0,0.36474305,228.05684
50,17101,12.92159,0.0,191.99985,0.0,0.57463604,191.99985
51,17103,15.984498,0.0,237.51112,0.0,0.34202322,237.51112
52,17105,14.935258,0.0,221.92062,0.0,0.40671024,221.92062
53,17107,15.909173,0.0,236.39188,0.0,0.37455618,236.39188
54,17109,16.447924,0.0,244.39708,0.0,0.3440232,244.39708
55,17111,14.652895,0.0,217.72504,0.0,0.4188642,217.72504
56,17113,15.260088,0.0,226.74722,0.0,0.39579526,226.74722
57,17115,15.4956455,0.0,230.24733,0.0,0.3626587,230.24733
58,17117,15.022941,0.0,223.2235,0.0,0.37216404,223.2235
59,17119,14.334781,0.0,212.99823,0.0,0.4423055,212.99823
60,17121,12.428863,0.0,184.6785,0.0,0.53724694,184.6785
61,17123,15.912694,0.0,236.4442,0.0,0.34737554,236.4442
62,17125,15.225381,0.0,226.23152,0.0,0.44615495,226.23152
63,17127,12.428765,0.0,184.67705,0.0,0.7041882,184.67705
64,17129,16.129156,0.0,239.66057,0.0,0.37618494,239.66057
65,17131,16.655468,0.0,247.48096,0.0,0.31299838,247.48096
66,17133,12.667661,0.0,188.22676,0.0,0.49005735,188.22676
67,17135,14.859355,0.0,220.7928,0.0,0.37705484,220.7928
68,17137,15.847342,0.0,235.47313,0.0,0.35706815,235.47313
69,17139,15.232457,0.0,226.33665,0.0,0.37303168,226.33665
70,17141,15.9488125,0.0,236.98087,0.0,0.3426883,236.98087
71,17143,15.621948,0.0,232.12405,0.0,0.4125667,232.12405
72,17145,11.647118,0.0,173.06267,0.0,0.63702524,173.06267
73,17147,15.521544,0.0,230.63216,0.0,0.3913153,230.63216
74,17149,15.457284,0.0,229.67732,0.0,0.36214703,229.67732
75,17151,11.933475,0.0,177.3176,0.0,0.806425,177.3176
76,17153,13.1087675,0.0,194.7811,0.0,0.6211227,194.7811
77,17155,15.418166,0.0,229.09608,0.0,0.37366876,229.09608
78,17157,12.339241,0.0,183.34682,0.0,0.5448396,183.34682
79,17159,12.682983,0.0,188.45444,0.0,0.508166,188.45444
80,17161,15.936517,0.0,236.79817,0.0,0.35245475,236.79817
81,17163,13.145478,0.0,195.32657,0.0,0.480522,195.32657
82,17165,12.504253,0.0,185.79872,0.0,0.6151733,185.79872
83,17167,16.083511,0.0,238.98235,0.0,0.35708869,238.98235
84,17169,15.534835,0.0,230.82965,0.0,0.39679092,230.82965
85,17171,15.14182,0.0,224.9899,0.0,0.3864855,224.9899
86,17173,14.659576,0.0,217.82431,0.0,0.38979307,217.82431
87,17175,16.945978,0.0,251.79759,0.0,0.31745085,251.79759
88,17177,15.859618,0.0,235.65555,0.0,0.37309957,235.65555
89,17179,15.3848,0.0,228.6003,0.0,0.4352648,228.6003
90,17181,12.630525,0.0,187.67496,0.0,0.70591336,187.67496
91,17183,14.696713,0.0,218.37613,0.0,0.41777566,218.37613
92,17185,13.431317,0.0,199.5738,0.0,0.5345452,199.5738
93,17187,16.416317,0.0,243.92744,0.0,0.32272166,243.92744
94,17189,12.617913,0.0,187.48756,0.0,0.5697686,187.48756
95,17191,12.279729,0.0,182.46254,0.0,0.62918967,182.46254
96,17193,12.536382,0.0,186.27611,0.0,0.61595684,186.27611
97,17195,16.137882,0.0,239.79022,0.0,0.3504945,239.79022
98,17197,13.4888935,0.0,200.42932,0.0,0.5852158,200.42932
99,17199,11.131318,0.0,165.39848,0.0,0.77577573,165.39848
100,17201,15.244933,0.0,226.52203,0.0,0.38197252,226.52203
101,17203,15.539033,0.0,230.89203,0.0,0.38130274,230.89203
102,18001,11.704533,0.0,173.91579,0.0,0.62184477,173.91579
103,18003,11.327165,0.0,168.30855,0.0,0.68494785,168.30855
104,18005,13.621821,0.0,202.40448,0.0,0.50314176,202.40448
105,18007,15.533954,0.0,230.81654,0.0,0.37944335,230.81654
106,18009,11.566851,0.0,171.87,0.0,0.5868565,171.87
107,18011,13.990674,0.0,207.88521,0.0,0.45094168,207.88521
108,18013,11.562255,0.0,171.80171,0.0,0.871747,171.80171
109,18015,15.211211,0.0,226.02097,0.0,0.4314917,226.02097
110,18017,14.447756,0.0,214.67691,0.0,0.47389507,214.67691
111,18019,12.818968,0.0,190.475,0.0,0.6504501,190.475
112,18021,13.416912,0.0,199.35977,0.0,0.51090825,199.35977
113,18023,14.002896,0.0,208.06682,0.0,0.43611854,208.06682
114,18025,11.50578,0.0,170.96255,0.0,0.84534264,170.96255
115,18027,14.534333,0.0,215.96335,0.0,0.4988868,215.96335
116,18029,11.722724,0.0,174.1861,0.0,0.73844975,174.1861
117,18031,14.023572,0.0,208.37402,0.0,0.48048243,208.37402
118,18033,11.053024,0.0,164.23514,0.0,0.64757955,164.23514
119,18035,12.532028,0.0,186.21141,0.0,0.53154826,186.21141
120,18037,13.999883,0.0,208.02203,0.0,0.56896806,208.02203
121,18039,13.585254,0.0,201.86113,0.0,0.62581235,201.86113
122,18041,13.487473,0.0,200.40822,0.0,0.5209408,200.40822
123,18043,12.696506,0.0,188.65536,0.0,0.6989256,188.65536
124,18045,14.988273,0.0,222.70836,0.0,0.41126573,222.70836
125,18047,12.801288,0.0,190.2123,0.0,0.5789108,190.2123
126,18049,14.16492,0.0,210.47429,0.0,0.53409624,210.47429
127,18051,14.3087225,0.0,212.61104,0.0,0.5432701,212.61104
128,18053,13.365804,0.0,198.60036,0.0,0.46771967,198.60036
129,18055,13.172547,0.0,195.72879,0.0,0.5533021,195.72879
130,18057,13.055453,0.0,193.9889,0.0,0.54136276,193.9889
131,18059,13.032878,0.0,193.65346,0.0,0.5441846,193.65346
132,18061,12.780863,0.0,189.90881,0.0,0.6652614,189.90881
133,18063,14.074849,0.0,209.13594,0.0,0.47357616,209.13594
134,18065,13.256759,0.0,196.98007,0.0,0.51732475,196.98007
135,18067,13.915786,0.0,206.77245,0.0,0.46377084,206.77245
136,18069,12.736364,0.0,189.24762,0.0,0.56481385,189.24762
137,18071,13.292096,0.0,197.50514,0.0,0.5653961,197.50514
138,18073,13.942738,0.0,207.17293,0.0,0.56996465,207.17293
139,18075,11.753474,0.0,174.643,0.0,0.63587064,174.643
140,18077,11.957808,0.0,177.67917,0.0,0.68880254,177.67917
141,18079,12.310977,0.0,182.92685,0.0,0.5840018,182.92685
142,18081,12.421754,0.0,184.57286,0.0,0.641861,184.57286
143,18083,14.153842,0.0,210.3097,0.0,0.50615686,210.3097
144,18085,13.828211,0.0,205.47119,0.0,0.53433233,205.47119
145,18087,12.722694,0.0,189.0445,0.0,0.63858366,189.0445
146,18089,14.008156,0.0,208.14496,0.0,0.59780073,208.14496
147,18091,13.664563,0.0,203.03958,0.0,0.55998874,203.03958
148,18093,12.985649,0.0,192.95169,0.0,0.5996144,192.95169
149,18095,13.605268,0.0,202.15851,0.0,0.47330004,202.15851
150,18097,12.65744,0.0,188.07489,0.0,0.8438313,188.07489
151,18099,14.172912,0.0,210.59305,0.0,0.55205303,210.59305
152,18101,13.840596,0.0,205.65523,0.0,0.5702592,205.65523
153,18103,13.397639,0.0,199.0734,0.0,0.49547535,199.0734
154,18105,11.708109,0.0,173.96893,0.0,0.7201425,173.96893
155,18107,15.174745,0.0,225.47913,0.0,0.38218406,225.47913
156,18109,13.865903,0.0,206.03125,0.0,0.48652196,206.03125
157,18111,14.247088,0.0,211.69522,0.0,0.51395947,211.69522
158,18113,12.7904215,0.0,190.05084,0.0,0.5649821,190.05084
159,18115,11.871385,0.0,176.39502,0.0,0.7175378,176.39502
160,18117,13.810865,0.0,205.21346,0.0,0.5672717,205.21346
161,18119,12.558914,0.0,186.61092,0.0,0.60480666,186.61092
162,18121,14.571546,0.0,216.51628,0.0,0.44037578,216.51628
163,18123,12.62548,0.0,187.59999,0.0,0.71299094,187.59999
164,18125,13.566973,0.0,201.5895,0.0,0.5809647,201.5895
165,18127,13.655895,0.0,202.91078,0.0,0.53441465,202.91078
166,18129,14.305785,0.0,212.56738,0.0,0.55991864,212.56738
167,18131,13.754926,0.0,204.38226,0.0,0.6524155,204.38226
168,18133,14.091386,0.0,209.38167,0.0,0.44733125,209.38167
169,18135,12.7945175,0.0,190.11171,0.0,0.52496886,190.11171
170,18137,11.39284,0.0,169.28441,0.0,0.6782881,169.28441
171,18139,13.890755,0.0,206.40051,0.0,0.4706938,206.40051
172,18141,13.916414,0.0,206.78178,0.0,0.559946,206.78178
173,18143,12.506303,0.0,185.82916,0.0,0.6040745,185.82916
174,18145,12.98091,0.0,192.88129,0.0,0.51637,192.88129
175,18147,13.816754,0.0,205.30096,0.0,0.561723,205.30096
176,18149,13.267159,0.0,197.13461,0.0,0.6748967,197.13461
177,18151,11.921202,0.0,177.13524,0.0,0.61173135,177.13524
178,18153,13.531543,0.0,201.06305,0.0,0.5129645,201.06305
179,18155,12.707843,0.0,188.82382,0.0,0.67085385,188.82382
180,18157,15.136048,0.0,224.90414,0.0,0.4116903,224.90414
181,18159,13.692421,0.0,203.4535,0.0,0.4585479,203.4535
182,18161,13.736771,0.0,204.11249,0.0,0.51004225,204.11249
183,18163,13.4694195,0.0,200.13997,0.0,0.6526272,200.13997
184,18165,14.913588,0.0,221.59863,0.0,0.4576854,221.59863
185,18167,13.139029,0.0,195.23074,0.0,0.54045016,195.23074
186,18169,13.156642,0.0,195.49245,0.0,0.5031786,195.49245
187,18171,15.363239,0.0,228.27994,0.0,0.41350564,228.27994
188,18173,13.105033,0.0,194.7256,0.0,0.59381276,194.7256
189,18175,12.948376,0.0,192.39786,0.0,0.5921191,192.39786
190,18177,12.787459,0.0,190.00682,0.0,0.55753535,190.00682
191,18179,12.754851,0.0,189.52231,0.0,0.562403,189.52231
192,18181,14.508834,0.0,215.58446,0.0,0.48519444,215.58446
193,18183,12.232666,0.0,181.76324,0.0,0.59590036,181.76324
194,19001,15.147077,0.0,225.06801,0.0,0.36229447,225.06801
195,19003,14.519774,0.0,215.74702,0.0,0.40491956,215.74702
196,19005,14.832557,0.0,220.3946,0.0,0.36817953,220.3946
197,19007,14.41721,0.0,214.22302,0.0,0.42352036,214.22302
198,19009,15.510945,0.0,230.47467,0.0,0.32760897,230.47467
199,19011,16.004744,0.0,237.81194,0.0,0.32039285,237.81194
200,19013,15.020849,0.0,223.19241,0.0,0.33579704,223.19241
201,19015,15.550666,0.0,231.06488,0.0,0.33832225,231.06488
202,19017,15.209292,0.0,225.99246,0.0,0.32703614,225.99246
203,19019,15.450594,0.0,229.57793,0.0,0.32243383,229.57793
204,19021,14.427239,0.0,214.37206,0.0,0.34555802,214.37206
205,19023,15.14853,0.0,225.0896,0.0,0.3494562,225.0896
206,19025,14.936318,0.0,221.93639,0.0,0.3233032,221.93639
207,19027,15.842976,0.0,235.40826,0.0,0.32967216,235.40826
208,19029,15.4276495,0.0,229.237,0.0,0.34929296,229.237
209,19031,16.07812,0.0,238.90222,0.0,0.31073612,238.90222
210,19033,14.199757,0.0,210.99193,0.0,0.34768763,210.99193
211,19035,14.705285,0.0,218.5035,0.0,0.36050022,218.5035
212,19037,14.855353,0.0,220.73334,0.0,0.34240526,220.73334
213,19039,14.245924,0.0,211.67792,0.0,0.43715525,211.67792
