,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17007,13.693859,14.32144,203.47488,212.8,0.50353104,-9.325119,"Boone County, IL"
1,17009,13.784563,11.94575,204.82263,177.5,0.5173854,27.322632,"Brown County, IL"
2,17011,15.349631,16.20584,228.07773,240.79999,0.4692391,-12.7222595,"Bureau County, IL"
3,17015,15.067853,16.09816,223.89084,239.2,0.5059677,-15.309158,"Carroll County, IL"
4,17023,14.333368,13.9984,212.97725,208.0,0.49370575,4.977249,"Clark County, IL"
5,17025,12.000862,11.6429,178.31891,173.00002,0.6465391,5.3188934,"Clay County, IL"
6,17027,12.166334,13.29848,180.77763,197.6,0.59815633,-16.822372,"Clinton County, IL"
7,17029,14.801796,15.31748,219.93753,227.6,0.43389446,-7.6624756,"Coles County, IL"
8,17033,13.376037,13.33886,198.75241,198.2,0.55869323,0.55241394,"Crawford County, IL"
9,17035,13.998304,15.22999,207.99858,226.3,0.4566756,-18.301422,"Cumberland County, IL"
10,17041,14.480576,15.16269,215.16457,225.3,0.42130023,-10.135437,"Douglas County, IL"
11,17045,14.761169,14.98098,219.33388,222.6,0.4243331,-3.2661285,"Edgar County, IL"
12,17047,12.703581,12.47742,188.76048,185.4,0.6983692,3.360489,"Edwards County, IL"
13,17049,13.606655,14.63775,202.17912,217.5,0.4682725,-15.320877,"Effingham County, IL"
14,17055,11.947136,11.48138,177.5206,170.6,0.70909107,6.9205933,"Franklin County, IL"
15,17057,14.181752,14.02532,210.72441,208.40001,0.48897517,2.3244019,"Fulton County, IL"
16,17061,13.965143,15.41843,207.50584,229.1,0.51992744,-21.594162,"Greene County, IL"
17,17067,15.1861725,15.35786,225.64893,228.2,0.47836393,-2.5510712,"Hancock County, IL"
18,17075,13.836545,14.38874,205.59503,213.8,0.44135654,-8.204971,"Iroquois County, IL"
19,17077,11.609521,13.06966,172.50403,194.20001,0.71257275,-21.695984,"Jackson County, IL"
20,17081,11.656069,10.54591,173.19568,156.7,0.7309197,16.495682,"Jefferson County, IL"
21,17083,13.832214,13.03601,205.53067,193.7,0.517931,11.830673,"Jersey County, IL"
22,17085,13.598658,14.28106,202.06029,212.20001,0.52300996,-10.139725,"Jo Daviess County, IL"
23,17089,14.0838785,15.72801,209.27011,233.70001,0.5920217,-24.429901,"Kane County, IL"
24,17095,15.101406,16.03086,224.38939,238.20001,0.4647644,-13.810623,"Knox County, IL"
25,17097,11.004686,11.08431,163.51689,164.7,1.0617692,-1.1831055,"Lake County, IL"
26,17099,14.608702,15.1425,217.06837,225.0,0.43990132,-7.9316254,"LaSalle County, IL"
27,17101,13.056791,13.08985,194.00879,194.50002,0.6210798,-0.4912262,"Lawrence County, IL"
28,17105,14.419999,15.57322,214.26448,231.40001,0.43156052,-17.135529,"Livingston County, IL"
29,17107,15.352914,15.78185,228.12651,234.5,0.4185688,-6.3734894,"Logan County, IL"
30,17113,14.802872,16.60291,219.95352,246.69998,0.4194605,-26.74646,"McLean County, IL"
31,17115,14.84244,16.40774,220.54146,243.8,0.43009126,-23.258545,"Macon County, IL"
32,17117,14.057959,13.89072,208.88498,206.40001,0.4646869,2.48497,"Macoupin County, IL"
33,17119,12.852085,13.45327,190.96709,199.9,0.61382496,-8.932907,"Madison County, IL"
34,17121,12.017612,12.32263,178.5678,183.1,0.6440579,-4.5322113,"Marion County, IL"
35,17129,15.427673,16.26641,229.23735,241.70001,0.44976842,-12.462662,"Menard County, IL"
36,17133,11.937033,12.28225,177.37047,182.50002,0.70821005,-5.129547,"Monroe County, IL"
37,17135,14.30056,13.7965,212.48975,205.0,0.43590274,7.489746,"Montgomery County, IL"
38,17137,15.113328,15.37805,224.56654,228.5,0.50333965,-3.9334564,"Morgan County, IL"
39,17141,14.477982,15.82223,215.12602,235.1,0.48530072,-19.973984,"Ogle County, IL"
40,17143,14.695291,14.69832,218.355,218.40001,0.49523765,-0.045013428,"Peoria County, IL"
41,17147,14.987322,16.22603,222.69423,241.1,0.40645778,-18.405777,"Piatt County, IL"
42,17149,14.047996,13.47346,208.73694,200.20001,0.559277,8.536926,"Pike County, IL"
43,17151,12.356656,10.57283,183.60559,157.1,0.85097826,26.505585,"Pope County, IL"
44,17153,12.204311,12.1813,181.34192,181.0,0.7344377,0.34191895,"Pulaski County, IL"
45,17157,11.702501,11.62944,173.8856,172.8,0.67597425,1.0856018,"Randolph County, IL"
46,17159,12.715935,12.07362,188.94406,179.4,0.5769154,9.544067,"Richland County, IL"
47,17163,12.653219,12.6524,188.01218,188.0,0.65138745,0.012176514,"St. Clair County, IL"
48,17167,15.2987385,16.70386,227.32152,248.2,0.4739076,-20.878479,"Sangamon County, IL"
49,17171,14.26933,13.50711,212.02571,200.7,0.5480017,11.325714,"Scott County, IL"
50,17175,15.496275,15.16269,230.25668,225.3,0.44807807,4.9566803,"Stark County, IL"
51,17177,14.24881,14.83292,211.7208,220.40001,0.49397025,-8.6792145,"Stephenson County, IL"
52,17179,14.689064,15.83569,218.26247,235.3,0.47464123,-17.037537,"Tazewell County, IL"
53,17183,14.163215,14.6714,210.44896,218.0,0.4238286,-7.5510406,"Vermilion County, IL"
54,17185,13.449923,12.32936,199.85027,183.2,0.64253736,16.650269,"Wabash County, IL"
55,17189,12.508348,12.86776,185.85956,191.2,0.5983871,-5.340439,"Washington County, IL"
56,17191,12.493518,12.24187,185.63919,181.9,0.7128427,3.7391968,"Wayne County, IL"
57,17193,13.1060095,11.82461,194.74011,175.7,0.69668055,19.040115,"White County, IL"
58,17195,14.806564,15.49246,220.00839,230.20001,0.52075976,-10.19162,"Whiteside County, IL"
59,17197,12.310356,13.06966,182.91763,194.20001,0.72908753,-11.282379,"Will County, IL"
60,17199,11.240124,9.75177,167.01521,144.90001,0.8379202,22.115204,"Williamson County, IL"
61,17201,13.446869,14.19357,199.80489,210.90001,0.5902859,-11.095123,"Winnebago County, IL"
62,18001,13.000666,13.24464,193.17482,196.8,0.5409591,-3.625183,"Adams County, IN"
63,18003,12.890106,13.0562,191.53204,194.0,0.5749871,-2.4679565,"Allen County, IN"
64,18005,13.378538,13.37251,198.78957,198.7,0.6347636,0.08956909,"Bartholomew County, IN"
65,18007,14.634643,15.45881,217.45383,229.7,0.41769058,-12.24617,"Benton County, IN"
66,18011,14.1485615,14.12627,210.23123,209.90001,0.5205099,0.33122253,"Boone County, IN"
67,18015,14.797592,14.57718,219.87508,216.6,0.47402582,3.2750702,"Carroll County, IN"
68,18017,13.834069,13.55422,205.55824,201.40001,0.5328394,4.1582336,"Cass County, IN"
69,18019,12.227225,11.63617,181.6824,172.90001,0.87049216,8.782394,"Clark County, IN"
