,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17001,3.926343,3.68804,58.340908,54.8,0.17767076,3.5409088,"Adams County, IL"
1,17003,3.404567,3.27751,50.58792,48.7,0.22005376,1.8879204,"Alexander County, IL"
2,17005,3.9997902,3.9707,59.432247,59.0,0.16819245,0.43224716,"Bond County, IL"
3,17007,3.9704309,3.5669,58.996002,53.0,0.16806291,5.996002,"Boone County, IL"
4,17009,3.9197254,4.13222,58.242577,61.399998,0.1858065,-3.157421,"Brown County, IL"
5,17011,4.3498473,4.36104,64.63369,64.8,0.17431562,-0.16631317,"Bureau County, IL"
6,17013,3.9330368,3.64093,58.44037,54.1,0.18385004,4.34037,"Calhoun County, IL"
7,17015,4.2005367,4.58313,62.415108,68.1,0.18938603,-5.6848907,"Carroll County, IL"
8,17017,4.261257,4.2399,63.317345,63.000004,0.18886329,0.31734085,"Cass County, IL"
9,17019,4.3425136,4.44853,64.52472,66.100006,0.15988365,-1.5752869,"Champaign County, IL"
10,17021,4.4206653,4.43507,65.68597,65.9,0.16125812,-0.21403503,"Christian County, IL"
11,17023,4.1280603,3.93032,61.338192,58.4,0.16080976,2.9381905,"Clark County, IL"
12,17025,3.7370958,3.52652,55.52891,52.4,0.18731666,3.12891,"Clay County, IL"
13,17027,3.845478,3.53325,57.139347,52.500004,0.1769262,4.6393433,"Clinton County, IL"
14,17029,4.4018936,4.48218,65.407036,66.600006,0.16012412,-1.1929703,"Coles County, IL"
15,17033,4.085421,3.78899,60.704624,56.3,0.16365393,4.404625,"Crawford County, IL"
16,17035,3.9832783,3.80245,59.1869,56.5,0.16774811,2.686901,"Cumberland County, IL"
17,17037,3.9982233,3.9707,59.408966,59.0,0.14434405,0.40896606,"DeKalb County, IL"
18,17039,4.3549423,4.46872,64.7094,66.4,0.16195959,-1.6906052,"De Witt County, IL"
19,17041,4.3222723,4.51583,64.22396,67.1,0.15156807,-2.8760376,"Douglas County, IL"
20,17045,4.3523836,4.1053,64.67138,61.0,0.15320785,3.671379,"Edgar County, IL"
21,17047,3.862986,3.68131,57.399498,54.7,0.18135408,2.6994972,"Edwards County, IL"
22,17049,4.050829,3.89667,60.190624,57.9,0.17364274,2.2906227,"Effingham County, IL"
23,17051,3.8460207,3.66112,57.14741,54.4,0.1738828,2.7474098,"Fayette County, IL"
24,17053,4.218096,3.78899,62.676014,56.3,0.15505917,6.3760147,"Ford County, IL"
25,17055,3.4259715,3.44576,50.905968,51.2,0.20149449,-0.29403305,"Franklin County, IL"
26,17057,4.025586,3.93032,59.815544,58.4,0.18992038,1.4155426,"Fulton County, IL"
27,17059,4.032194,3.87648,59.91373,57.600002,0.18272819,2.3137283,"Gallatin County, IL"
28,17061,4.2008133,4.38796,62.419216,65.2,0.16898796,-2.7807808,"Greene County, IL"
29,17063,3.9684143,3.78226,58.966038,56.2,0.15661602,2.766037,"Grundy County, IL"
30,17065,3.7381477,3.48614,55.544544,51.8,0.18841062,3.744545,"Hamilton County, IL"
31,17067,4.221943,4.48218,62.733177,66.600006,0.21267632,-3.866829,"Hancock County, IL"
32,17069,3.3714767,3.41884,50.096237,50.8,0.25849885,-0.70376205,"Hardin County, IL"
33,17071,4.159607,4.17933,61.80694,62.1,0.2147353,-0.2930603,"Henderson County, IL"
34,17073,4.2500544,4.19279,63.150883,62.3,0.1808408,0.8508835,"Henry County, IL"
35,17075,4.1626587,4.038,61.852283,60.000004,0.1519513,1.8522797,"Iroquois County, IL"
36,17077,3.5664096,3.51306,52.992714,52.2,0.20852025,0.79271317,"Jackson County, IL"
37,17079,3.9550633,3.66785,58.76766,54.5,0.16272534,4.267658,"Jasper County, IL"
38,17081,3.2244449,3.20348,47.911514,47.600002,0.21214797,0.311512,"Jefferson County, IL"
39,17083,4.181751,4.39469,62.13597,65.3,0.16701984,-3.164032,"Jersey County, IL"
40,17085,3.9515939,3.97743,58.716106,59.100002,0.18047732,-0.38389587,"Jo Daviess County, IL"
41,17087,3.38009,3.08234,50.22422,45.8,0.28081077,4.424221,"Johnson County, IL"
42,17089,3.7620249,3.7688,55.89933,56.0,0.15469775,-0.10066986,"Kane County, IL"
43,17091,3.927844,3.68804,58.363213,54.8,0.16162068,3.5632133,"Kankakee County, IL"
44,17093,3.8504653,3.86975,57.21345,57.5,0.1500958,-0.2865486,"Kendall County, IL"
45,17095,4.2038894,4.30047,62.464924,63.899998,0.1951941,-1.4350739,"Knox County, IL"
46,17097,3.0622425,3.48614,45.501373,51.8,0.22258937,-6.298626,"Lake County, IL"
47,17099,4.158927,3.99089,61.796837,59.3,0.14977992,2.4968376,"LaSalle County, IL"
48,17101,4.0012217,3.89667,59.453518,57.9,0.1703346,1.5535164,"Lawrence County, IL"
49,17103,4.1018195,4.35431,60.948284,64.700005,0.15966299,-3.7517204,"Lee County, IL"
50,17105,4.1131077,3.7688,61.116013,56.0,0.16080451,5.1160126,"Livingston County, IL"
51,17107,4.402334,4.62351,65.41358,68.7,0.17687069,-3.286415,"Logan County, IL"
52,17109,4.257474,4.38123,63.261127,65.1,0.19264415,-1.838871,"McDonough County, IL"
53,17111,3.8277407,3.53325,56.87579,52.500004,0.1681854,4.375786,"McHenry County, IL"
54,17113,4.2830753,4.30047,63.641537,63.899998,0.15667813,-0.258461,"McLean County, IL"
55,17115,4.36225,4.45526,64.81798,66.2,0.16201411,-1.382019,"Macon County, IL"
56,17117,4.298446,4.53602,63.86993,67.4,0.16236521,-3.5300713,"Macoupin County, IL"
57,17119,3.9257364,3.93705,58.331894,58.500004,0.17966452,-0.1681099,"Madison County, IL"
58,17121,3.8168793,3.69477,56.7144,54.9,0.18407585,1.8143997,"Marion County, IL"
59,17123,4.2089267,4.24663,62.539772,63.100002,0.15874147,-0.56023026,"Marshall County, IL"
60,17125,3.9758482,4.11876,59.076496,61.2,0.23993886,-2.1235046,"Mason County, IL"
61,17127,3.7193332,3.47268,55.26498,51.600002,0.2078743,3.664978,"Massac County, IL"
62,17129,4.3270617,4.52929,64.29512,67.3,0.1853238,-3.0048828,"Menard County, IL"
63,17131,4.2303343,3.99762,62.857864,59.4,0.2135464,3.4578629,"Mercer County, IL"
64,17133,3.5235944,3.74861,52.35653,55.7,0.20736104,-3.3434715,"Monroe County, IL"
65,17135,4.2888794,4.25336,63.72778,63.199997,0.16380808,0.52778244,"Montgomery County, IL"
66,17137,4.374028,4.23317,64.99299,62.9,0.16920936,2.092987,"Morgan County, IL"
67,17139,4.331418,4.3745,64.359856,65.0,0.1585788,-0.64014435,"Moultrie County, IL"
68,17141,4.087773,4.16587,60.739567,61.900005,0.16684566,-1.1604385,"Ogle County, IL"
69,17143,4.107636,4.38796,61.03471,65.2,0.18446305,-4.165287,"Peoria County, IL"
70,17145,3.3828921,3.24386,50.265858,48.2,0.19714338,2.065857,"Perry County, IL"
71,17147,4.54565,4.82541,67.54309,71.7,0.16083637,-4.156906,"Piatt County, IL"
72,17149,4.0792446,4.17933,60.612846,62.1,0.17838413,-1.4871521,"Pike County, IL"
73,17151,3.5754533,3.57363,53.127094,53.100002,0.25452968,0.02709198,"Pope County, IL"
74,17153,3.6921477,3.68804,54.86104,54.8,0.19504331,0.06103897,"Pulaski County, IL"
75,17155,4.143109,4.15914,61.5618,61.800003,0.15957844,-0.23820496,"Putnam County, IL"
76,17157,3.420137,3.59382,50.81927,53.4,0.18801853,-2.5807304,"Randolph County, IL"
77,17159,3.8724432,3.6342,57.54002,54.000004,0.17345592,3.5400162,"Richland County, IL"
78,17161,4.1056,4.12549,61.004456,61.300003,0.19767766,-0.2955475,"Rock Island County, IL"
79,17163,3.8270178,3.54671,56.86505,52.7,0.18242192,4.1650505,"St. Clair County, IL"
80,17165,3.9109821,3.9707,58.112663,59.0,0.21822226,-0.88733673,"Saline County, IL"
81,17167,4.386874,4.63024,65.18387,68.8,0.17033137,-3.6161346,"Sangamon County, IL"
82,17169,3.9706879,3.91013,58.99982,58.100002,0.18578331,0.8998184,"Schuyler County, IL"
83,17171,4.0295315,4.38123,59.87417,65.1,0.17594762,-5.22583,"Scott County, IL"
84,17173,4.1892695,4.06492,62.247692,60.4,0.16880177,1.8476906,"Shelby County, IL"
85,17175,4.3282676,4.2399,64.31304,63.000004,0.17668729,1.3130379,"Stark County, IL"
86,17177,4.1653395,4.31393,61.892117,64.1,0.1660427,-2.207882,"Stephenson County, IL"
87,17179,4.168807,4.29374,61.94364,63.8,0.17334966,-1.8563576,"Tazewell County, IL"
88,17181,3.527782,3.37846,52.41875,50.2,0.23347716,2.21875,"Union County, IL"
89,17183,4.345847,4.15914,64.57425,61.800003,0.15819871,2.7742462,"Vermilion County, IL"
90,17185,4.1603055,3.66785,61.817318,54.5,0.17845954,7.317318,"Wabash County, IL"
91,17187,4.3088484,4.48218,64.02449,66.600006,0.184012,-2.5755157,"Warren County, IL"
92,17189,3.6704912,3.48614,54.539246,51.8,0.18210821,2.7392464,"Washington County, IL"
93,17191,3.6719246,3.4996,54.560543,52.0,0.19111703,2.560543,"Wayne County, IL"
94,17193,3.9073439,3.7015,58.0586,55.0,0.17835978,3.0586014,"White County, IL"
95,17197,3.703268,3.66785,55.02627,54.5,0.17890395,0.5262718,"Will County, IL"
96,17199,3.3748314,3.55344,50.146084,52.800003,0.23463957,-2.6539192,"Williamson County, IL"
97,17201,3.9006796,3.81591,57.95958,56.7,0.17625338,1.2595787,"Winnebago County, IL"
98,17203,4.022027,4.26009,59.76266,63.3,0.14662984,-3.5373383,"Woodford County, IL"
99,18001,4.0198092,3.87648,59.729706,57.600002,0.15542477,2.1297035,"Adams County, IN"
100,18003,3.876011,3.62074,57.59303,53.8,0.16683628,3.7930298,"Allen County, IN"
101,18005,4.067411,4.03127,60.43701,59.9,0.16447328,0.5370102,"Bartholomew County, IN"
102,18007,4.4042554,4.31393,65.44213,64.1,0.16262327,1.3421326,"Benton County, IN"
103,18011,4.327455,4.3745,64.300964,65.0,0.16194223,-0.69903564,"Boone County, IN"
104,18015,4.408371,4.56967,65.50328,67.9,0.16393417,-2.396721,"Carroll County, IN"
105,18017,4.097766,3.99762,60.888054,59.4,0.16774502,1.4880524,"Cass County, IN"
106,18019,3.8015895,3.66112,56.487213,54.4,0.25720626,2.0872116,"Clark County, IN"
107,18021,3.9633503,3.79572,58.890793,56.4,0.17067707,2.4907913,"Clay County, IN"
108,18023,4.419463,4.53602,65.6681,67.4,0.1533904,-1.7319031,"Clinton County, IN"
109,18025,3.7335005,3.59382,55.47549,53.4,0.33519906,2.075489,"Crawford County, IN"
110,18027,4.079878,4.09857,60.622257,60.899998,0.19030593,-0.27774048,"Daviess County, IN"
111,18029,3.7999153,3.45922,56.462337,51.399998,0.24722363,5.06234,"Dearborn County, IN"
112,18031,4.402301,4.60332,65.413086,68.4,0.16294993,-2.9869156,"Decatur County, IN"
113,18033,3.393134,3.06888,50.41804,45.600002,0.1770911,4.818039,"DeKalb County, IN"
114,18035,4.203692,3.99089,62.46199,59.3,0.15554717,3.1619911,"Delaware County, IN"
115,18037,4.112852,4.15241,61.112217,61.7,0.21176152,-0.5877838,"Dubois County, IN"
116,18039,3.8241973,3.74861,56.82314,55.7,0.16589335,1.1231384,"Elkhart County, IN"
117,18041,4.2419424,4.07838,63.03035,60.600002,0.1762623,2.4303474,"Fayette County, IN"
118,18043,3.5901418,3.68804,53.345345,54.8,0.30401477,-1.4546547,"Floyd County, IN"
119,18045,4.2189665,4.33412,62.688953,64.399994,0.16635916,-1.7110405,"Fountain County, IN"
120,18047,4.1398635,3.80245,61.513573,56.5,0.18025889,5.0135727,"Franklin County, IN"
121,18049,3.8959131,3.65439,57.888756,54.300003,0.15146585,3.5887527,"Fulton County, IN"
122,18051,4.2554617,4.17933,63.231228,62.1,0.17903896,1.1312294,"Gibson County, IN"
123,18053,4.1080437,4.03127,61.040768,59.9,0.16503954,1.1407661,"Grant County, IN"
124,18055,3.8073192,3.71496,56.57235,55.2,0.18352522,1.3723488,"Greene County, IN"
125,18057,4.1638803,4.38796,61.870438,65.2,0.1811834,-3.3295593,"Hamilton County, IN"
126,18059,4.0056686,3.99089,59.519592,59.3,0.17054312,0.21959305,"Hancock County, IN"
127,18061,3.7859106,3.99089,56.254246,59.3,0.25837806,-3.0457535,"Harrison County, IN"
128,18063,4.11667,4.33412,61.16895,64.399994,0.16709897,-3.2310448,"Hendricks County, IN"
129,18065,4.200738,4.13895,62.4181,61.5,0.1645224,0.91809845,"Henry County, IN"
130,18067,4.382242,4.4418,65.11504,66.0,0.16732089,-0.88495636,"Howard County, IN"
131,18069,4.0115604,3.89667,59.60714,57.9,0.15733247,1.7071381,"Huntington County, IN"
132,18071,3.9222765,3.96397,58.280483,58.9,0.18898414,-0.6195183,"Jackson County, IN"
133,18073,3.9508033,3.70823,58.704357,55.100002,0.16422634,3.6043549,"Jasper County, IN"
134,18075,4.0681148,3.74861,60.44747,55.7,0.15847589,4.747471,"Jay County, IN"
135,18077,3.673572,3.38519,54.585022,50.3,0.24112798,4.2850227,"Jefferson County, IN"
136,18079,3.900279,3.88321,57.95363,57.7,0.19316444,0.25362778,"Jennings County, IN"
137,18081,4.110919,4.09857,61.083492,60.899998,0.17628388,0.18349457,"Johnson County, IN"
138,18083,4.0712533,4.20625,60.494106,62.500004,0.17739572,-2.0058975,"Knox County, IN"
139,18085,3.9016643,3.50633,57.97421,52.100002,0.16113462,5.8742065,"Kosciusko County, IN"
140,18087,3.7940578,3.54671,56.3753,52.7,0.16181442,3.6753006,"LaGrange County, IN"
141,18089,3.7799654,3.4996,56.165905,52.0,0.1779508,4.165905,"Lake County, IN"
142,18091,3.731184,3.34481,55.44107,49.7,0.16918305,5.74107,"LaPorte County, IN"
143,18093,3.798852,3.68131,56.446537,54.7,0.252191,1.7465363,"Lawrence County, IN"
144,18095,4.2153845,4.34085,62.635727,64.5,0.16387478,-1.8642731,"Madison County, IN"
145,18099,3.8635168,3.365,57.407383,50.0,0.15267405,7.407383,"Marshall County, IN"
146,18101,3.9812326,4.07838,59.1565,60.600002,0.24937956,-1.4435005,"Martin County, IN"
