,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17003,3.7173877,3.93705,55.236073,58.500004,0.17870247,-3.2639313
1,17005,4.1967773,4.3745,62.35925,65.0,0.15743354,-2.640751
2,17007,4.014106,4.65716,59.644962,69.2,0.12976836,-9.555035
3,17009,3.830031,3.99762,56.90982,59.4,0.17335352,-2.490181
4,17011,4.4513416,4.46872,66.14178,66.4,0.14089888,-0.2582245
5,17015,4.3111653,4.61678,64.05892,68.6,0.13094379,-4.5410767
6,17017,4.4085016,4.60332,65.505226,68.4,0.17684765,-2.8947754
7,17019,4.7175827,5.06769,70.09781,75.299995,0.17580199,-5.2021866
8,17021,4.5841327,4.79176,68.1149,71.2,0.17062472,-3.0850983
9,17023,4.216836,4.40815,62.657295,65.5,0.19232509,-2.8427048
10,17025,3.9566867,3.98416,58.79178,59.2,0.17615066,-0.4082222
11,17027,4.109523,4.28028,61.062748,63.600002,0.15974504,-2.5372543
12,17031,3.0572977,3.08234,45.427902,45.8,0.18440278,-0.37209702
13,17033,4.180543,4.3745,62.118023,65.0,0.20313852,-2.881977
14,17037,4.2282567,4.30047,62.826996,63.899998,0.12543662,-1.0730019
15,17039,4.626399,4.75811,68.74293,70.700005,0.16511853,-1.957077
16,17045,4.4975677,4.76484,66.82864,70.8,0.19664234,-3.9713593
17,17047,3.898375,4.24663,57.925335,63.100002,0.18229795,-5.1746674
18,17049,4.1730113,4.35431,62.00611,64.700005,0.17710005,-2.6938934
19,17051,4.035,4.27355,59.95542,63.5,0.17573977,-3.5445786
20,17053,4.396113,4.48891,65.321144,66.700005,0.1631729,-1.3788605
21,17055,3.4907646,3.58709,51.868717,53.3,0.17018288,-1.431282
22,17057,4.2166967,4.40815,62.655228,65.5,0.14772956,-2.8447723
23,17059,4.05945,4.20625,60.318726,62.500004,0.22177404,-2.1812782
24,17063,4.2270145,4.00435,62.808537,59.500004,0.16577841,3.3085327
25,17067,4.3176937,4.52929,64.15592,67.3,0.154195,-3.144081
26,17069,3.4255717,3.40538,50.900024,50.600002,0.21361181,0.30002213
27,17071,4.2857814,4.48218,63.681744,66.600006,0.1421387,-2.9182625
28,17073,4.343817,4.58313,64.54409,68.1,0.12418217,-3.5559082
29,17075,4.216167,3.89667,62.647354,57.9,0.15709789,4.7473526
30,17077,3.6560745,3.35827,54.32503,49.899998,0.16382931,4.4250336
31,17081,3.53975,3.21021,52.596584,47.7,0.1785545,4.8965836
32,17085,3.8058178,3.95051,56.55004,58.7,0.14191857,-2.1499596
33,17087,3.3023653,2.94774,49.06932,43.800003,0.22351103,5.2693176
34,17089,4.1132665,4.55621,61.118374,67.700005,0.14788829,-6.5816307
35,17091,4.103596,4.15241,60.974686,61.7,0.165477,-0.7253151
36,17093,4.1189966,4.46199,61.203518,66.299995,0.15001513,-5.0964775
37,17095,4.345557,4.60332,64.56995,68.4,0.12933539,-3.8300552
38,17097,3.1340294,3.38519,46.568047,50.3,0.19581018,-3.7319527
39,17101,4.0569053,4.06492,60.28091,60.4,0.19408385,-0.119091034
40,17103,4.217903,4.54948,62.673153,67.6,0.13900037,-4.9268456
41,17105,4.503503,4.4418,66.91683,66.0,0.17874402,0.916832
42,17113,4.5995216,4.53602,68.34356,67.4,0.16151176,0.94355774
43,17115,4.587854,5.00712,68.17019,74.4,0.17269221,-6.2298126
44,17117,4.236848,4.76484,62.95465,70.8,0.14533125,-7.845352
45,17119,4.042873,4.1053,60.072407,61.0,0.16092646,-0.92759323
46,17121,4.01539,4.04473,59.66404,60.100002,0.17349151,-0.43596268
47,17125,4.294347,4.35431,63.809017,64.700005,0.18190707,-0.8909874
48,17127,3.5050569,3.53325,52.08108,52.500004,0.16947101,-0.41892242
49,17129,4.4663215,4.46872,66.364365,66.4,0.1607736,-0.0356369
50,17133,3.6994338,3.78899,54.9693,56.3,0.16050684,-1.3306999
51,17139,4.6140223,4.87252,68.55902,72.4,0.17217103,-3.8409805
52,17141,4.0658736,4.15914,60.41417,61.800003,0.123537,-1.3858337
53,17143,4.3228884,4.69081,64.23311,69.700005,0.14260715,-5.466896
