FIPS,yield,pred,error,NAME,NAMELSAD
5001,192.3,181.25089,11.049118,Arkansas,Arkansas County
5003,196.2,193.66597,2.534027,Ashley,Ashley County
5017,182.4,180.39438,2.0056152,Chicot,Chicot County
5021,203.4,183.34422,20.05577,Clay,Clay County
5031,185.4,179.10567,6.294327,Craighead,Craighead County
5035,178.3,178.07143,0.22857666,Crittenden,Crittenden County
5041,193.8,185.60147,8.198532,Desha,Desha County
5043,189.2,181.87152,7.328476,Drew,Drew County
5055,186.3,172.64706,13.652939,Greene,Greene County
5063,160.0,153.80922,6.1907806,Independence,Independence County
5067,174.2,165.70853,8.49147,Jackson,Jackson County
5069,187.0,184.2177,2.7823029,Jefferson,Jefferson County
5071,151.4,140.89029,10.509705,Johnson,Johnson County
5073,165.9,156.02028,9.879715,Lafayette,Lafayette County
5075,170.0,166.49446,3.505539,Lawrence,Lawrence County
5077,184.0,174.23477,9.765228,Lee,Lee County
5079,189.5,180.12119,9.378815,Lincoln,Lincoln County
5085,187.6,183.80843,3.7915802,Lonoke,Lonoke County
5093,163.6,174.04407,-10.444061,Mississippi,Mississippi County
5095,182.1,176.92982,5.1701813,Monroe,Monroe County
5107,172.1,183.09818,-10.998169,Phillips,Phillips County
5111,195.4,175.4392,19.9608,Poinsett,Poinsett County
5121,181.8,160.62881,21.171188,Randolph,Randolph County
5123,183.4,173.59837,9.8016205,St. Francis,St. Francis County
5145,203.2,171.02744,32.17256,White,White County
5147,177.4,163.2775,14.122498,Woodruff,Woodruff County
17001,192.2,174.68962,17.510376,Adams,Adams County
17003,159.4,163.64941,-4.24942,Alexander,Alexander County
17005,170.7,170.84967,-0.14967346,Bond,Bond County
17007,189.9,180.58159,9.318405,Boone,Boone County
17009,188.7,178.83678,9.86322,Brown,Brown County
17011,215.4,199.09935,16.300644,Bureau,Bureau County
17013,156.0,172.6825,-16.682495,Calhoun,Calhoun County
17015,238.0,204.52885,33.471146,Carroll,Carroll County
17017,194.7,186.10927,8.590729,Cass,Cass County
17019,206.8,193.75327,13.046738,Champaign,Champaign County
17021,220.0,199.96611,20.03389,Christian,Christian County
17023,185.9,179.4877,6.4122925,Clark,Clark County
17025,119.6,174.95981,-55.35981,Clay,Clay County
17027,157.5,173.88388,-16.38388,Clinton,Clinton County
17029,208.3,193.211,15.0890045,Coles,Coles County
17033,172.5,176.3492,-3.8491974,Crawford,Crawford County
17035,181.2,181.84552,-0.6455231,Cumberland,Cumberland County
17037,204.1,195.2991,8.800903,DeKalb,DeKalb County
17039,201.1,198.25064,2.8493652,De Witt,De Witt County
17041,211.9,199.5152,12.384796,Douglas,Douglas County
17045,206.4,198.66382,7.7361755,Edgar,Edgar County
17047,171.4,167.30637,4.093628,Edwards,Edwards County
17049,188.8,181.81247,6.9875336,Effingham,Effingham County
17051,170.3,176.96059,-6.6605835,Fayette,Fayette County
17053,212.4,181.85632,30.54367,Ford,Ford County
17055,157.0,158.16008,-1.16008,Franklin,Franklin County
17057,198.6,181.31972,17.280289,Fulton,Fulton County
17059,190.3,182.64548,7.6545258,Gallatin,Gallatin County
17061,200.4,183.14967,17.25032,Greene,Greene County
17063,208.7,186.82646,21.873535,Grundy,Grundy County
17065,174.2,164.50096,9.699036,Hamilton,Hamilton County
17067,222.9,188.70416,34.19583,Hancock,Hancock County
17071,223.9,193.90732,29.992676,Henderson,Henderson County
17073,217.6,193.52202,24.077988,Henry,Henry County
17075,199.0,173.09651,25.903488,Iroquois,Iroquois County
17077,166.7,161.57982,5.120178,Jackson,Jackson County
17079,179.4,177.31828,2.0817108,Jasper,Jasper County
17081,127.9,167.45865,-39.558647,Jefferson,Jefferson County
17083,172.0,180.66786,-8.667862,Jersey,Jersey County
17085,191.3,184.51958,6.780426,Jo Daviess,Jo Daviess County
17087,151.9,156.1237,-4.223709,Johnson,Johnson County
17089,176.4,184.49147,-8.091476,Kane,Kane County
17091,195.9,178.25224,17.64775,Kankakee,Kankakee County
17093,209.5,175.95682,33.543182,Kendall,Kendall County
17095,229.5,198.12772,31.372284,Knox,Knox County
17097,144.6,162.12059,-17.520584,Lake,Lake County
17099,210.1,190.0738,20.0262,LaSalle,LaSalle County
17101,165.1,184.3643,-19.264297,Lawrence,Lawrence County
17103,209.0,192.63693,16.363068,Lee,Lee County
17105,209.9,188.299,21.600998,Livingston,Livingston County
