,FIPS,y_test_pred,y_test
0,17001,143.26357,185.7
1,17005,138.68303,194.5
2,17007,137.14616,212.7
3,17009,146.46007,192.4
4,17011,164.0879,223.5
5,17013,152.53104,197.4
6,17015,155.83038,229.5
7,17017,161.70383,215.8
8,17019,156.1515,218.2
9,17021,173.07475,216.8
10,17023,161.39775,204.6
11,17025,132.59271,178.3
12,17027,128.73416,156.6
13,17029,167.58406,221.3
14,17033,148.58429,194.3
15,17035,161.75722,206.6
16,17037,148.51837,222.8
17,17041,163.14964,211.6
18,17045,166.21275,208.5
19,17047,133.56247,184.8
20,17049,150.11363,186.0
21,17051,136.01212,172.2
22,17053,150.58192,223.3
23,17055,122.66189,173.7
24,17057,145.7684,201.2
25,17061,166.01085,203.6
26,17067,154.11304,204.2
27,17071,161.46075,229.7
28,17073,154.88783,223.5
29,17075,148.7929,216.5
30,17077,123.67925,165.2
31,17079,153.03183,191.8
32,17081,116.375404,155.7
33,17083,162.65495,201.9
34,17085,144.91908,211.2
35,17087,129.31606,159.6
36,17089,139.64357,209.1
37,17091,149.37315,207.5
38,17093,149.17308,206.2
39,17095,154.15138,219.0
40,17097,112.50591,192.9
41,17099,157.82875,199.7
42,17101,146.89049,186.3
43,17103,157.2635,207.7
44,17105,155.51671,220.1
45,17107,158.4882,211.1
46,17109,157.20543,224.2
47,17113,157.85527,223.3
48,17115,166.37779,225.3
49,17117,164.82469,199.3
50,17119,149.94807,189.3
51,17121,133.86404,157.8
52,17125,152.33424,208.1
53,17127,132.18181,174.9
54,17129,155.62532,214.4
55,17131,163.45656,226.6
56,17133,118.950386,154.0
57,17135,160.92772,202.6
58,17137,163.12224,200.2
59,17139,171.91104,220.5
60,17141,151.5663,216.8
61,17143,151.80702,220.0
62,17145,110.78493,165.2
63,17147,173.21614,223.2
64,17149,154.8051,189.8
65,17151,139.61221,161.3
66,17153,138.13313,161.7
67,17155,157.61763,213.7
68,17157,119.86837,161.7
69,17159,143.81306,192.5
70,17161,156.68419,218.9
71,17163,133.27737,174.0
72,17165,136.03104,170.3
73,17167,164.2823,221.1
74,17169,144.95,188.8
75,17171,153.55736,196.3
76,17173,157.9606,196.6
77,17175,163.73506,234.1
78,17177,147.89314,217.0
79,17179,151.84393,222.0
80,17181,128.40187,142.3
81,17183,151.10994,204.2
82,17185,146.85446,184.1
83,17189,122.173805,178.6
84,17191,134.46574,185.1
85,17193,136.88643,171.0
86,17195,155.69447,201.3
87,17197,134.23177,195.2
88,17199,127.0522,170.3
89,17201,137.46922,190.4
90,17203,152.14308,223.2
91,18001,132.22794,202.8
92,18003,129.1281,190.4
93,18005,135.2083,195.0
94,18007,149.85265,222.2
95,18009,137.50407,200.3
96,18011,148.84071,207.2
97,18013,136.3488,183.5
98,18019,140.53485,188.9
99,18021,149.41624,194.3
100,18023,159.49883,234.4
101,18027,149.65753,213.9
102,18029,116.956245,189.1
103,18031,142.44386,221.9
104,18035,134.23955,191.4
105,18039,137.28476,181.7
106,18041,140.59003,208.0
107,18047,129.59782,198.4
108,18051,146.08665,202.5
109,18053,149.89493,219.2
110,18055,133.69197,189.6
111,18057,131.86324,205.8
112,18059,132.3276,206.9
113,18061,126.726875,188.3
114,18063,145.97548,222.0
115,18065,141.108,197.4
116,18067,155.80504,215.6
117,18069,140.7068,211.7
118,18073,143.30693,200.1
119,18075,136.94861,198.7
120,18077,133.00275,182.9
121,18079,136.7857,191.9
122,18081,138.84845,224.4
123,18083,144.69838,202.0
124,18085,145.8354,198.0
125,18087,126.21638,182.4
126,18089,146.08614,207.5
127,18091,140.782,177.4
128,18095,140.56535,207.6
129,18097,128.8781,185.9
130,18099,150.31825,196.9
131,18103,142.74991,202.0
132,18105,124.033,182.6
133,18107,155.58403,228.0
134,18109,147.94958,200.0
135,18111,147.85094,219.3
136,18113,135.25858,195.3
137,18115,120.21332,165.2
138,18119,135.14378,191.8
139,18125,140.56273,199.1
140,18127,147.54733,201.7
141,18129,148.40285,198.8
142,18131,147.6473,197.1
143,18133,149.68184,202.3
144,18135,137.94652,193.2
145,18137,127.88567,180.9
146,18139,145.70177,221.5
147,18141,144.63747,184.1
148,18143,143.31444,192.6
149,18145,139.3343,200.6
150,18149,143.76347,189.0
151,18151,130.4753,182.8
152,18153,148.6206,199.2
153,18155,121.1361,181.0
154,18157,152.20891,222.4
155,18159,153.22557,208.8
156,18161,147.57082,221.8
157,18163,137.43639,186.4
158,18167,143.75133,198.8
159,18169,142.92293,206.8
160,18173,134.23975,194.8
161,18177,142.34837,194.2
162,18179,145.99065,205.6
163,18181,146.08473,197.7
164,18183,131.83476,181.9
165,19005,136.99391,183.9
166,19007,129.20349,172.8
167,19009,152.00385,197.6
168,19011,148.24821,199.7
169,19015,171.46451,226.5
170,19017,155.77797,199.9
171,19019,151.68044,190.7
172,19021,155.18456,212.0
173,19023,153.33885,183.1
174,19025,161.4773,201.6
175,19027,160.13675,196.7
176,19031,149.533,205.7
177,19035,155.35742,211.7
178,19037,150.61024,198.9
179,19041,153.0106,203.9
180,19043,144.22932,201.1
181,19045,147.58177,198.0
182,19047,152.37105,187.9
183,19049,156.61726,210.9
184,19051,121.08946,179.8
185,19053,136.098,205.3
186,19055,151.0768,198.9
187,19057,151.33525,207.9
188,19059,145.43639,201.3
189,19061,142.85066,199.5
190,19065,146.75958,205.9
191,19067,150.91731,191.8
192,19069,166.3171,210.5
193,19071,173.71663,211.0
194,19073,168.98378,208.0
195,19075,161.6299,212.9
196,19079,164.92696,215.5
197,19081,164.96019,204.9
198,19083,164.5408,213.3
199,19085,150.648,190.3
200,19087,143.29169,195.1
201,19089,149.05977,183.9
202,19091,154.5735,205.8
203,19093,152.64584,198.0
204,19095,149.57014,213.5
205,19097,134.14868,189.6
206,19099,167.59528,218.0
207,19101,137.86542,195.1
208,19103,138.21083,203.1
209,19105,139.69841,190.7
210,19107,152.36674,211.6
211,19111,143.097,203.7
212,19113,134.57309,179.5
213,19117,128.5355,173.9
214,19119,155.90944,200.2
215,19121,142.31044,202.0
216,19123,162.57512,214.9
217,19125,151.94444,203.7
218,19127,167.11345,216.3
219,19129,165.32951,204.3
220,19131,145.16081,171.8
221,19133,155.33855,165.4
222,19135,137.52937,181.1
223,19137,156.07512,206.2
224,19139,148.22665,211.9
225,19141,164.342,212.7
226,19143,155.22969,203.7
227,19145,163.07748,206.6
228,19147,156.7103,211.7
229,19149,161.43819,205.7
230,19151,162.84267,218.1
231,19153,148.59917,206.4
232,19155,158.44914,198.5
233,19157,158.14973,204.9
234,19161,156.48825,199.1
235,19163,150.48993,210.1
236,19165,158.45107,196.0
237,19167,165.03752,211.4
238,19169,160.98056,211.4
239,19171,154.44054,197.4
240,19173,146.71164,192.9
241,19175,146.08679,217.0
242,19177,130.60802,189.3
243,19179,142.60974,202.9
244,19181,141.69844,199.2
245,19183,146.01984,188.3
246,19187,164.70326,212.8
247,19189,165.31017,211.3
248,19191,145.14189,195.3
249,19193,149.64496,168.3
250,19195,149.07942,187.6
251,19197,161.57965,202.5
252,20001,88.57093,96.7
253,20005,141.93768,183.2
254,20009,95.39837,125.8
255,20011,94.71412,116.0
256,20013,157.15096,188.6
257,20015,70.5538,97.0
258,20017,72.517715,110.1
259,20019,63.20602,92.2
260,20021,74.52628,118.5
261,20023,55.839825,112.7
262,20029,91.380714,69.5
263,20031,81.19984,91.8
264,20035,82.23168,110.9
265,20037,81.004326,112.7
266,20039,59.24462,103.5
267,20041,70.87937,104.9
268,20045,110.94027,131.8
269,20047,113.70113,157.3
270,20049,56.641857,98.9
271,20053,66.15058,97.3
272,20059,93.98836,117.2
273,20061,105.434074,124.4
274,20063,55.21239,57.6
275,20065,55.21831,63.5
276,20067,88.81326,150.4
277,20069,114.120094,203.7
278,20073,57.818848,66.3
279,20077,85.38409,101.6
280,20081,109.10877,184.5
281,20085,122.14713,170.7
282,20087,137.30736,185.3
283,20091,102.33155,135.6
284,20095,108.18095,136.0
285,20097,123.509026,139.8
286,20099,71.37899,94.8
287,20101,48.952637,65.9
288,20103,127.476616,161.4
289,20105,46.425373,68.0
290,20109,42.32204,84.6
291,20111,83.00462,93.7
292,20113,80.79576,93.7
