FIPS,yield,pred,error,NAME,NAMELSAD
5001,53.7,56.10424,-2.4042397,Arkansas,Arkansas County
5003,56.8,56.38627,0.41373062,Ashley,Ashley County
5017,51.2,55.088882,-3.8888817,Chicot,Chicot County
5021,54.8,51.018074,3.7819252,Clay,Clay County
5029,39.4,36.368656,3.0313454,Conway,Conway County
5031,53.1,51.24419,1.8558083,Craighead,Craighead County
5035,52.7,50.621918,2.078083,Crittenden,Crittenden County
5037,51.1,50.587753,0.5122452,Cross,Cross County
5041,56.7,58.914413,-2.2144127,Desha,Desha County
5043,54.5,56.48933,-1.9893303,Drew,Drew County
5045,42.0,33.287598,8.712402,Faulkner,Faulkner County
5047,35.5,38.960796,-3.4607964,Franklin,Franklin County
5055,51.0,48.32923,2.6707687,Greene,Greene County
5063,43.4,42.433193,0.9668083,Independence,Independence County
5067,42.2,43.165672,-0.96567154,Jackson,Jackson County
5069,53.1,53.206924,-0.106925964,Jefferson,Jefferson County
5075,42.0,44.1525,-2.1525002,Lawrence,Lawrence County
5077,48.5,51.552223,-3.0522232,Lee,Lee County
5079,57.8,57.336575,0.46342468,Lincoln,Lincoln County
5085,42.5,48.711708,-6.211708,Lonoke,Lonoke County
5093,56.7,51.51139,5.18861,Mississippi,Mississippi County
5095,47.2,48.058426,-0.85842514,Monroe,Monroe County
5107,52.9,53.947994,-1.0479927,Phillips,Phillips County
5111,55.5,51.512566,3.9874344,Poinsett,Poinsett County
5117,50.9,49.573437,1.3265648,Prairie,Prairie County
5119,46.7,39.4378,7.2621994,Pulaski,Pulaski County
5121,48.2,46.649864,1.5501366,Randolph,Randolph County
5123,49.7,50.114037,-0.4140358,St. Francis,St. Francis County
5145,42.6,39.855465,2.7445335,White,White County
5147,44.6,42.667706,1.9322929,Woodruff,Woodruff County
5149,42.6,37.03709,5.562908,Yell,Yell County
17001,55.9,54.618248,1.2817535,Adams,Adams County
17003,42.3,45.989254,-3.6892548,Alexander,Alexander County
17005,54.5,53.205154,1.2948456,Bond,Bond County
17007,47.4,53.720142,-6.320141,Boone,Boone County
17009,57.1,53.881996,3.2180023,Brown,Brown County
17011,59.1,60.563675,-1.4636765,Bureau,Bureau County
17013,53.6,52.286907,1.3130913,Calhoun,Calhoun County
17015,64.3,63.33178,0.9682236,Carroll,Carroll County
17017,62.9,58.491642,4.4083595,Cass,Cass County
17019,64.3,61.125385,3.1746178,Champaign,Champaign County
17021,65.6,61.791756,3.8082428,Christian,Christian County
17023,56.5,55.997936,0.50206375,Clark,Clark County
17025,44.3,52.128006,-7.8280067,Clay,Clay County
17027,50.8,52.97846,-2.1784592,Clinton,Clinton County
17029,64.3,62.49423,1.8057747,Coles,Coles County
17033,52.7,54.770954,-2.0709534,Crawford,Crawford County
17035,54.1,58.15952,-4.0595207,Cumberland,Cumberland County
17037,53.6,59.604256,-6.004257,DeKalb,DeKalb County
17039,65.9,61.571712,4.328289,De Witt,De Witt County
17041,63.7,62.014343,1.6856575,Douglas,Douglas County
17045,64.7,62.062046,2.637951,Edgar,Edgar County
17047,55.6,52.455143,3.1448555,Edwards,Edwards County
17049,55.3,58.57846,-3.2784615,Effingham,Effingham County
17051,53.5,55.62014,-2.12014,Fayette,Fayette County
17053,62.4,56.39145,6.0085526,Ford,Ford County
17055,46.4,49.056828,-2.656826,Franklin,Franklin County
17057,60.1,54.67339,5.426609,Fulton,Fulton County
17059,54.5,53.327866,1.1721344,Gallatin,Gallatin County
17061,63.9,58.19341,5.7065926,Greene,Greene County
17063,57.3,56.328777,0.9712219,Grundy,Grundy County
17065,51.3,49.858517,1.4414825,Hamilton,Hamilton County
17067,66.1,58.05805,8.04195,Hancock,Hancock County
17071,61.6,57.436405,4.1635933,Henderson,Henderson County
17073,58.9,58.453133,0.4468689,Henry,Henry County
17075,57.1,54.14487,2.9551277,Iroquois,Iroquois County
17077,50.1,48.934734,1.1652641,Jackson,Jackson County
17079,54.6,57.136593,-2.5365944,Jasper,Jasper County
17081,40.9,50.215714,-9.315712,Jefferson,Jefferson County
17083,56.9,56.71199,0.18801117,Jersey,Jersey County
17085,53.4,55.042557,-1.6425552,Jo Daviess,Jo Daviess County
17087,48.0,46.48341,1.5165901,Johnson,Johnson County
17089,53.6,56.184082,-2.5840836,Kane,Kane County
17091,52.2,53.33258,-1.1325798,Kankakee,Kankakee County
17093,58.9,53.39805,5.501953,Kendall,Kendall County
17095,63.7,60.0973,3.6026993,Knox,Knox County
17099,60.8,58.515465,2.2845345,LaSalle,LaSalle County
17101,51.0,53.4099,-2.4099007,Lawrence,Lawrence County
17103,59.4,60.23967,-0.8396683,Lee,Lee County
