,FIPS,pred,yield,uncertainty
0,39071,57.42335,55.7,2.346504
1,55005,41.539253,41.6,3.8692386
2,39037,63.279144,62.3,2.1505451
3,55137,45.439747,42.0,3.0499415
4,31179,51.715733,40.7,2.4541767
5,29051,40.038486,46.0,3.5322328
6,38039,39.45458,33.8,2.7574818
7,17109,65.64957,67.8,2.370819
8,46023,37.06956,35.9,3.289849
9,38005,30.706247,29.3,3.2056088
10,39043,57.24686,52.1,2.2448368
11,39009,51.46964,58.6,4.294529
12,20115,13.098112,11.2,3.7648776
13,29207,52.52583,53.4,3.2506273
15,29113,50.76082,50.3,2.8151724
16,38075,26.955254,31.7,2.96684
17,17145,51.362446,48.3,2.5737894
18,46059,43.220898,43.1,3.089186
19,39079,51.34071,50.4,3.056818
20,55013,37.02509,35.0,4.584326
21,20151,32.309856,35.0,4.23172
23,18181,60.94973,60.0,2.2070858
24,46135,46.791042,45.3,2.6915424
25,19027,57.835674,56.8,2.3359225
26,39115,49.48248,47.6,3.9624434
28,19089,55.138885,51.0,1.8726423
29,27027,43.053146,40.2,2.702782
30,38083,32.23162,33.1,2.9048629
31,39151,52.836475,57.1,2.6190777
32,55059,50.961224,55.3,2.5438547
33,18057,57.51006,60.1,2.4857855
34,27149,46.866016,48.2,2.5125036
36,18031,64.00697,64.4,2.1350212
37,31067,45.671146,45.4,2.8264537
38,19125,58.26177,56.0,2.6943247
39,29157,51.751183,47.2,3.0509326
40,27063,53.594757,54.1,2.1235695
41,17163,55.491726,51.0,2.6152086
42,26117,50.733547,44.8,2.7246473
43,55095,41.3533,40.8,4.1427994
44,18093,57.36059,59.2,3.1940365
45,31129,26.998428,43.7,3.3988457
47,19161,58.660355,58.1,2.2219448
48,27099,50.24677,45.4,2.0403738
49,17199,52.366474,49.9,3.3967605
50,55131,49.611042,52.1,3.1355357
51,18129,62.081135,61.9,2.8091884
52,26067,55.69559,45.7,2.401179
53,19197,60.04157,60.8,2.0116837
54,46009,43.87026,41.8,2.4597945
55,17005,61.580574,57.3,2.4386914
56,39003,58.894093,59.8,2.158689
57,20011,31.623226,23.1,3.4466958
58,31137,65.25862,66.6,2.4939315
60,19169,61.479393,64.1,2.0540576
61,29009,38.269924,39.6,4.4151897
62,17075,62.567806,65.6,2.1538665
63,46045,42.091427,46.8,2.620414
64,27107,41.493046,38.4,3.1407716
65,39065,59.833496,62.1,2.038938
66,39039,55.32758,47.2,2.3018603
67,55139,49.194183,55.7,2.9992714
68,29079,52.3532,44.4,2.639386
69,29045,55.393177,52.5,2.8192177
70,39011,60.25896,58.0,2.0707755
71,29201,50.970333,56.3,3.5231004
73,29115,44.30216,44.9,2.7444572
74,38069,25.909277,26.5,3.3799257
75,17147,71.88855,74.2,2.4479396
76,55015,51.824043,52.5,3.0166829
78,18183,58.55186,53.3,2.3280323
79,29151,44.923595,41.5,3.8001041
80,19021,59.725204,61.1,2.0108266
81,38105,19.289112,26.1,3.6147535
82,39109,62.938496,60.6,2.3684278
84,31025,61.606224,58.6,2.6673393
85,19091,57.2251,56.9,1.9809499
86,19057,62.575977,65.6,2.4866004
87,39145,55.69366,54.6,2.9246852
88,55053,43.65597,43.1,3.54558
89,18059,58.1265,61.2,2.247101
90,27151,45.200638,47.4,2.9008582
92,31061,53.472145,51.6,2.5833364
93,19127,62.982044,61.7,2.183073
94,29159,44.262066,38.4,2.4964507
95,27057,31.446873,34.3,4.2715673
96,17157,52.033268,50.8,2.6208138
97,26119,39.558853,32.0,3.8994071
98,55089,50.201237,55.7,3.1227753
99,18095,62.224697,64.1,2.1519392
101,31097,49.999447,48.8,3.043251
102,26025,49.08852,42.2,2.5137906
103,19163,61.151146,66.3,2.2958624
104,27093,50.370884,51.7,2.6813698
105,17193,57.17531,60.1,2.6358762
106,26155,51.78748,42.6,2.243344
107,18131,58.8959,53.2,2.2444763
108,31167,50.068813,41.0,2.5747583
109,17033,63.5294,60.8,2.659823
110,46011,43.767643,44.4,3.0199285
111,27129,50.49484,53.3,2.4017584
112,17007,58.992584,59.6,2.1544168
113,20005,50.837986,51.1,2.963991
114,18167,57.686607,60.7,2.7211046
115,31139,53.300144,49.3,2.4868405
116,19171,57.870785,56.1,2.2833567
117,29011,36.912746,45.6,3.1326811
118,55001,44.354404,44.2,3.2390387
119,39033,61.275642,63.1,2.063445
120,20041,15.337341,14.9,3.433051
121,31175,52.819206,52.0,2.810312
122,29073,41.97802,34.8,4.436335
123,29047,48.015972,48.2,3.2819939
124,38035,36.74115,33.2,2.8911095
125,17105,64.546104,67.7,2.2082503
126,38001,20.090643,33.7,3.244025
127,39103,52.434475,50.6,2.635129
128,20111,20.76587,24.0,3.2814069
129,20077,20.05264,22.2,4.4784303
131,29109,40.32619,41.9,3.415928
132,38071,28.54691,23.9,3.0813494
133,17141,60.541622,61.8,2.139104
134,39075,51.88723,49.0,2.5039332
135,55009,50.41474,51.5,3.403644
137,18177,62.101833,61.1,2.3083797
138,29145,33.8259,46.2,3.8916295
139,19023,54.16393,50.9,2.2741559
140,20183,23.97322,25.2,3.7045193
142,31027,59.358963,57.3,2.4638884
143,19085,54.000286,55.4,2.7664173
144,19059,55.533993,56.8,2.0065444
145,27023,47.88504,49.1,2.8256474
146,39147,59.2942,57.6,2.1795852
147,26141,35.827812,30.4,4.4740267
148,55055,53.0232,53.5,2.7431226
149,18053,63.894436,64.9,2.2086084
150,18027,61.947086,62.9,3.1290028
151,31063,43.143856,54.7,3.5239718
152,19121,56.38506,61.3,2.530676
153,27059,36.36863,44.8,4.1387568
154,17159,61.647324,58.7,2.7012818
155,55091,51.24539,54.3,3.4047441
156,18089,56.30674,54.2,2.629028
157,31099,60.64085,59.5,2.4337988
158,26027,54.10191,50.5,2.6693404
159,19157,60.733032,59.5,2.4395995
160,27095,37.525307,33.6,4.3988347
161,17195,60.794468,61.4,2.4241223
162,26149,53.87579,43.3,2.5910711
163,18125,60.504745,62.1,2.9763145
165,26063,55.885586,48.5,2.3524768
