,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,17001,182.93303,193.1,9.626729
1,17003,146.77223,131.5,14.781424
2,17007,197.16383,197.5,6.9076395
3,17009,180.12123,182.3,9.736563
4,17011,204.51518,203.9,6.623263
5,17015,208.96376,231.9,6.877144
6,17017,186.78732,202.3,8.795938
7,17019,204.57487,210.2,6.5285926
8,17021,202.38814,203.2,7.2926726
9,17025,172.28148,154.2,10.526192
10,17027,158.96333,154.9,12.696274
11,17031,139.49663,170.0,13.11827
12,17035,190.73439,178.4,8.523201
13,17037,201.4102,215.6,6.142697
14,17039,202.59816,214.5,6.8239417
15,17041,202.34366,208.6,6.6982265
16,17045,201.76994,193.4,6.557606
17,17047,157.20474,141.6,12.398046
18,17049,183.02647,162.2,9.201029
19,17051,176.27505,163.0,10.055023
20,17053,196.7819,204.0,6.6671376
21,17055,142.41692,115.6,14.453291
22,17057,188.11327,195.1,8.79146
23,17059,166.39049,159.4,11.140641
24,17061,188.99052,186.9,9.493422
25,17063,196.10188,212.4,6.891058
26,17065,149.14189,123.5,12.518426
27,17067,195.17418,207.6,8.2725935
28,17071,197.00536,207.0,7.804407
29,17073,201.11961,207.9,6.7954984
30,17075,193.28883,193.6,7.030984
31,17077,137.91856,136.7,14.790869
32,17079,182.04118,165.3,9.175193
33,17081,145.43279,121.8,14.106622
34,17083,187.36766,175.6,10.105973
35,17085,195.5579,204.9,7.781555
36,17087,141.01448,93.9,16.286003
37,17089,186.98518,210.8,7.501339
38,17091,193.55699,195.5,7.205621
39,17093,195.6596,206.8,6.905868
40,17095,201.5099,223.3,7.183428
41,17097,137.86542,154.8,12.623103
42,17099,200.8045,205.6,6.616585
43,17103,198.58,200.9,6.4358954
44,17105,194.72498,214.7,6.9040504
45,17107,200.3556,219.4,7.3318458
46,17109,197.5473,212.2,7.539941
47,17111,180.54652,199.8,7.9564877
48,17113,204.00287,218.1,6.60002
49,17115,199.107,214.9,7.109432
50,17117,192.09343,199.2,8.733829
51,17119,172.97453,172.0,11.502566
52,17121,163.8431,144.8,11.590905
53,17123,207.83467,215.6,6.829548
54,17125,184.28023,198.6,8.5692625
55,17127,146.32436,138.7,14.969938
56,17129,196.52522,209.3,7.890363
57,17131,199.38158,213.5,7.480221
58,17133,153.09846,149.2,14.088796
59,17135,189.42116,196.9,8.534086
60,17137,195.15535,205.6,8.221284
61,17139,198.05182,207.9,7.0853157
62,17141,204.80452,225.9,6.606903
63,17143,193.96394,214.6,7.77613
64,17145,137.12994,112.6,14.595119
65,17147,206.46735,218.7,6.5001297
66,17149,181.52275,181.7,10.177719
67,17151,136.68935,127.3,16.040918
68,17153,151.2396,141.5,13.908614
69,17155,203.02022,218.1,7.315713
70,17157,143.92393,135.1,15.046185
71,17159,169.90627,147.0,10.265914
72,17161,194.23656,210.8,8.167848
73,17163,164.32176,159.2,12.876556
74,17165,153.83144,136.6,12.164754
75,17167,198.56148,222.1,7.8787956
76,17169,182.57521,186.5,9.716809
77,17171,183.93526,193.3,9.508827
78,17173,188.85072,185.7,8.192913
79,17175,206.05351,225.7,6.5345063
80,17177,201.48134,211.2,6.7794776
81,17179,192.32137,236.0,8.049323
82,17181,139.1696,115.8,15.855535
83,17183,199.39812,203.9,6.6595306
84,17185,169.79143,156.4,10.789648
85,17187,204.42656,229.2,7.0179358
86,17189,154.40741,140.3,12.7582
87,17193,158.79207,135.2,11.879519
88,17195,192.48244,199.0,7.314253
89,17199,136.25955,107.8,15.502896
90,17201,191.5402,193.9,7.518217
91,17203,205.33727,232.8,7.0866065
92,18001,168.37396,159.5,9.62461
93,18003,156.6917,157.9,10.820119
94,18005,176.29716,171.2,10.246579
95,18007,199.15309,199.2,6.6458426
96,18009,171.97983,173.9,9.448276
97,18011,187.13866,180.1,7.462418
98,18015,200.19885,197.8,7.3890095
99,18017,186.54332,189.6,8.245381
100,18019,155.38277,140.5,14.577718
101,18023,195.3874,190.6,7.1888375
102,18027,164.84492,171.9,10.6242285
103,18029,153.65071,162.1,14.257242
104,18031,187.64552,178.9,9.139319
105,18033,149.97691,146.4,12.225918
106,18035,174.99745,165.0,9.49023
107,18037,155.4205,143.3,13.2486725
108,18039,163.98985,158.7,10.782527
109,18041,188.33534,173.2,9.086671
110,18043,152.18433,128.6,15.1950245
111,18045,192.81094,191.8,7.6726093
112,18047,181.00203,175.3,10.421882
113,18049,189.98036,176.7,8.121484
114,18051,165.06004,161.7,11.301896
115,18055,161.69185,156.0,10.756071
116,18057,173.2369,179.5,9.1566105
117,18059,174.65681,172.4,9.013976
118,18061,152.67265,149.8,14.198941
119,18063,177.23653,178.8,8.892624
