,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,17001,177.04005,193.1,8.287214
1,17003,142.63797,131.5,12.881534
2,17007,192.24913,197.5,6.1877494
3,17009,174.15846,182.3,8.325747
4,17011,198.2682,203.9,5.8888965
5,17015,203.10869,231.9,6.1649666
6,17017,180.23695,202.3,7.625693
7,17019,198.4277,210.2,5.777109
8,17021,196.08943,203.2,6.4105344
9,17025,168.86154,154.2,8.6939945
10,17027,155.90598,154.9,10.515623
11,17031,135.85594,170.0,11.805706
12,17035,186.52318,178.4,7.2355266
13,17037,196.15512,215.6,5.453691
14,17039,196.58081,214.5,6.0483913
15,17041,196.42754,208.6,5.916454
16,17045,196.10515,193.4,5.7320514
17,17047,154.56734,141.6,10.262947
18,17049,179.11626,162.2,7.599994
19,17051,172.8795,163.0,8.252194
20,17053,190.87675,204.0,5.9374394
21,17055,140.37813,115.6,12.19193
22,17057,182.73035,195.1,7.533153
23,17059,160.79855,159.4,9.525066
24,17061,183.08987,186.9,8.086258
25,17063,189.84122,212.4,6.1667376
26,17065,145.7972,123.5,10.605436
27,17067,189.13881,207.6,7.2679806
28,17071,190.90852,207.0,6.852326
29,17073,194.81522,207.9,6.037408
30,17075,187.40956,193.6,6.2583694
31,17077,136.04045,136.7,12.534485
32,17079,178.13835,165.3,7.6094236
33,17081,142.78627,121.8,11.871475
34,17083,182.0577,175.6,8.478064
35,17085,190.77696,204.9,6.8952208
36,17087,139.213,93.9,13.951498
37,17089,182.3606,210.8,6.6530657
38,17091,187.99721,195.5,6.403037
39,17093,189.94077,206.8,6.1819167
40,17095,195.20863,223.3,6.354524
41,17097,135.8641,154.8,11.041293
42,17099,194.46933,205.6,5.9127054
43,17103,192.80083,200.9,5.7578588
44,17105,188.7406,214.7,6.146294
45,17107,193.609,219.4,6.469474
46,17109,191.09369,212.2,6.645269
47,17111,176.54602,199.8,7.0010557
48,17113,198.05049,218.1,5.83875
49,17115,192.90042,214.9,6.276795
50,17117,186.5288,199.2,7.484034
51,17119,168.80504,172.0,9.675365
52,17121,160.87737,144.8,9.599534
53,17123,200.94044,215.6,6.1053557
54,17125,177.9864,198.6,7.417295
55,17127,143.4601,138.7,12.793989
56,17129,189.7569,209.3,6.9204087
57,17131,193.08037,213.5,6.6077585
58,17133,149.11244,149.2,12.076267
59,17135,184.26982,196.9,7.280935
60,17137,188.26793,205.6,7.2119575
61,17139,192.64905,207.9,6.210502
62,17141,199.6241,225.9,5.8851957
63,17143,187.86543,214.6,6.841128
64,17145,134.84357,112.6,12.272449
65,17147,200.28255,218.7,5.7531023
66,17149,174.90233,181.7,8.836827
67,17151,134.61382,127.3,13.752858
68,17153,146.91734,141.5,11.952878
69,17155,196.61201,218.1,6.5329003
70,17157,140.90569,135.1,12.812213
71,17159,166.41965,147.0,8.467433
72,17161,188.69574,210.8,7.1671395
73,17163,160.55975,159.2,10.826156
74,17165,150.10359,136.6,10.34068
75,17167,191.69006,222.1,6.909625
76,17169,177.09975,186.5,8.318028
77,17171,177.54207,193.3,8.214963
78,17173,184.10786,185.7,7.041003
79,17175,199.09431,225.7,5.7994094
80,17177,195.94054,211.2,6.050782
81,17179,185.96968,236.0,7.065349
82,17181,137.2257,115.8,13.496239
83,17183,193.78929,203.9,5.876512
84,17185,165.40544,156.4,9.021559
85,17187,197.6977,229.2,6.191901
86,17189,151.09633,140.3,10.638564
87,17193,154.8474,135.2,9.933565
88,17195,186.82497,199.0,6.499935
89,17199,134.78494,107.8,13.143465
90,17201,186.58656,193.9,6.711352
91,17203,198.57262,232.8,6.326606
92,18001,164.10686,159.5,8.261558
93,18003,152.5147,157.9,9.532111
94,18005,172.63974,171.2,8.511109
95,18007,193.26787,199.2,5.884008
96,18009,167.23027,173.9,8.148085
97,18011,182.14812,180.1,6.497994
98,18015,194.39404,197.8,6.5693684
99,18017,181.76505,189.6,7.189286
100,18019,151.76389,140.5,12.5176325
101,18023,190.02986,190.6,6.33909
102,18027,160.3756,171.9,8.952624
103,18029,150.95412,162.1,12.25441
104,18031,183.43095,178.9,7.7140517
105,18033,146.46782,146.4,10.810665
106,18035,170.18733,165.0,8.1744
107,18037,152.72954,143.3,11.153815
108,18039,161.34282,158.7,9.255424
109,18041,184.11006,173.2,7.7138104
110,18043,149.03362,128.6,12.990011
111,18045,187.87358,191.8,6.6661196
112,18047,177.20152,175.3,8.753481
113,18049,185.1208,176.7,7.078085
114,18051,160.50063,161.7,9.535231
115,18055,159.0019,156.0,8.935019
116,18057,168.29143,179.5,7.8027816
117,18059,169.99677,172.4,7.661563
118,18061,149.07954,149.8,12.119533
119,18063,173.30754,178.8,7.468171
120,18065,179.36732,177.6,7.2431426
121,18067,188.72781,192.7,6.8353376
122,18071,159.35878,161.1,9.704813
123,18073,183.01292,180.1,6.924377
124,18075,167.8025,167.3,8.041775
125,18077,148.73744,148.8,11.490202
126,18079,166.95964,156.6,9.920226
127,18081,171.52745,160.9,8.198176
128,18083,159.33049,169.7,9.15022
129,18085,167.48994,164.8,8.076964
130,18087,154.15016,134.1,9.724921
131,18089,181.8286,177.4,7.540409
132,18091,169.73865,147.9,7.2218323
133,18093,150.42218,144.6,11.766122
134,18095,180.25658,181.1,7.2530813
135,18099,176.42915,169.0,7.744867
136,18101,154.50545,160.7,11.031821
137,18103,171.67018,167.2,7.995606
138,18105,152.78023,160.7,11.922793
139,18107,185.66675,200.0,6.1674023
140,18109,168.68488,166.0,8.154288
141,18111,192.04105,204.7,6.612697
142,18113,156.46846,157.1,9.496215
143,18115,148.14601,150.0,11.719318
144,18117,163.10396,162.3,10.155478
145,18119,164.17024,160.5,9.5937195
146,18121,183.45421,182.8,7.5119395
147,18125,156.11942,146.5,10.340804
148,18127,175.00807,173.3,7.1046076
149,18129,161.30177,144.0,9.789163
150,18131,174.63823,158.8,7.3754373
151,18135,170.90984,165.8,7.1714787
152,18137,165.57112,157.9,9.762566
153,18139,190.10037,188.8,6.693828
154,18141,166.8491,149.2,8.328872
155,18143,156.32257,142.2,11.495205
156,18145,176.67192,165.0,7.445085
157,18147,156.76418,149.1,11.033597
158,18149,159.76967,142.7,9.047007
159,18151,150.80759,147.6,9.451582
160,18153,174.39207,164.1,8.154757
161,18155,150.95837,158.2,11.570599
162,18159,192.01393,198.5,6.31343
163,18161,186.43785,177.1,7.1078563
164,18163,162.5626,154.0,9.926459
165,18165,183.79646,197.5,7.296632
166,18169,179.90611,177.3,7.549832
167,18171,189.9716,212.3,6.418926
168,18173,144.97563,134.6,11.4054
169,18175,158.70667,147.8,10.711236
170,18177,170.36606,167.2,8.087127
171,18181,192.20238,189.2,6.454757
172,18183,157.60457,161.2,8.916902
173,19001,162.1964,190.3,7.9829655
174,19003,156.82773,187.4,8.620172
175,19005,175.97594,205.1,7.3040514
176,19007,156.73592,186.3,9.965332
177,19009,177.47084,206.1,6.5825768
178,19011,191.05013,199.9,5.98042
179,19013,182.57927,206.4,6.0494924
180,19015,181.34245,208.4,6.24554
181,19017,186.96889,210.6,6.0107126
182,19019,187.27026,205.6,5.827444
183,19021,183.37688,201.1,6.037349
184,19023,187.45593,207.3,5.8735037
185,19025,185.82108,207.3,5.602332
186,19027,185.19466,203.1,5.9500003
187,19029,171.59538,195.9,7.1635995
188,19031,192.8934,215.3,5.934634
189,19033,178.72554,193.6,5.745573
190,19035,182.0463,219.7,6.7110353
191,19037,184.94258,206.6,5.913311
192,19039,146.69977,163.9,10.985125
193,19041,176.04393,202.0,6.386122
194,19043,187.98509,210.3,6.6736145
195,19045,195.18748,213.8,6.138808
196,19047,184.4477,213.5,6.350766
197,19049,173.48201,204.0,6.785317
198,19051,159.97563,188.7,9.572597
199,19053,152.1743,181.1,10.206776
200,19055,191.47581,202.3,5.8402205
201,19057,178.25475,210.0,7.158918
202,19059,172.3476,188.0,6.5279107
203,19061,188.62016,211.5,6.4014225
204,19063,181.89647,198.5,5.5514703
205,19065,183.76181,202.5,5.9427977
206,19067,177.18472,196.3,5.790392
207,19069,189.37663,204.8,5.612513
208,19071,167.28258,180.8,8.609217
209,19073,185.81017,205.5,6.050359
210,19075,187.38408,198.5,5.564813
211,19077,168.26575,198.2,7.404807
212,19079,183.61952,209.0,5.9656525
213,19081,185.46454,200.3,5.4597025
214,19083,190.28679,208.0,5.89776
215,19085,177.32289,204.6,7.397802
216,19087,175.9745,199.0,7.347658
217,19089,180.2129,202.2,5.8179307
218,19091,183.92955,206.1,5.7619586
219,19093,186.81795,216.0,6.595955
220,19095,187.13884,210.6,6.7779074
221,19097,185.84764,202.1,7.042744
222,19099,188.43135,214.7,6.7272253
223,19101,168.99251,197.0,7.756893
224,19103,179.33916,189.0,6.938746
225,19105,190.77806,201.3,6.036667
226,19107,179.83165,208.6,7.0684495
227,19109,184.87578,204.7,5.6792226
