,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,14.740547,13.51384,219.02745,200.8,0.41018382,18.227448
1,17003,13.244464,10.91606,196.79738,162.20001,0.78399575,34.597366
2,17005,15.166313,13.31194,225.35384,197.8,0.47813958,27.553833
3,17007,14.918768,14.07916,221.6756,209.2,0.4059378,12.475601
4,17009,14.7944355,13.56095,219.82817,201.5,0.44290128,18.32817
5,17011,16.393131,15.14923,243.58293,225.1,0.32221827,18.482925
6,17013,14.41979,12.50434,214.26137,185.8,0.53136384,28.461365
7,17015,16.127993,15.35786,239.64328,228.2,0.3811013,11.443283
8,17017,16.005266,14.46277,237.8197,214.90001,0.43512455,22.919693
9,17019,16.037645,14.74543,238.30083,219.1,0.36002213,19.20082
10,17021,16.981543,15.20307,252.32605,225.9,0.3744844,26.426056
11,17023,15.3448715,13.93783,228.007,207.1,0.49532005,20.906998
12,17025,13.7461605,13.70901,204.25201,203.7,0.6849782,0.5520172
13,17027,14.324643,13.22445,212.8476,196.5,0.57474524,16.347595
14,17033,14.911991,14.30798,221.5749,212.59999,0.56085044,8.974915
15,17035,15.320882,14.96752,227.65054,222.4,0.5052267,5.2505493
16,17037,15.377546,15.08193,228.49252,224.1,0.3342869,4.392517
17,17039,16.512167,15.67417,245.35167,232.9,0.32385504,12.451675
18,17041,16.078604,14.133,238.90942,210.00002,0.39805874,28.909409
19,17043,12.661137,12.43031,188.12982,184.70001,0.8405944,3.4298096
20,17045,16.296774,14.26087,242.15117,211.90001,0.40857106,30.25116
21,17047,14.0309925,12.08035,208.48428,179.5,0.6651833,28.984283
22,17049,15.04873,14.86657,223.60669,220.90001,0.56545675,2.7066803
23,17053,15.979593,14.97425,237.43823,222.5,0.36594892,14.938232
24,17055,12.987101,11.85153,192.97327,176.1,0.7062857,16.87326
25,17057,15.660583,14.30125,232.6981,212.50002,0.43553555,20.19809
26,17059,14.642789,12.29571,217.57487,182.7,0.6957956,34.874878
27,17061,15.2829485,13.95802,227.0869,207.40001,0.43189844,19.68689
28,17063,15.961908,14.49642,237.17546,215.4,0.33504698,21.775467
29,17065,13.995842,11.52176,207.96199,171.2,0.6573034,36.761993
30,17067,15.513584,14.41566,230.51389,214.2,0.3791094,16.313889
31,17071,16.172937,14.81946,240.31111,220.2,0.35396555,20.111115
32,17073,16.133162,15.60687,239.72008,231.9,0.33413768,7.8200836
33,17075,15.999596,14.29452,237.73544,212.40001,0.36017123,25.335434
34,17077,12.657978,11.77077,188.08289,174.90001,0.67696303,13.182877
35,17079,14.953114,13.70228,222.18594,203.6,0.56223387,18.585938
36,17081,13.001283,10.92952,193.18399,162.4,0.6891945,30.783997
37,17083,14.903844,13.87053,221.45384,206.1,0.47790036,15.353836
38,17085,15.045634,14.18684,223.56068,210.8,0.4261497,12.760681
39,17087,13.040934,11.3064,193.77316,168.0,0.8296833,25.773163
40,17089,14.740845,14.4695,219.03188,215.0,0.43836725,4.0318756
41,17091,15.265912,14.09935,226.83376,209.5,0.40469956,17.333755
42,17093,15.219221,14.89349,226.13998,221.3,0.36593252,4.839981
43,17095,16.257624,15.4117,241.56944,229.0,0.35594648,12.569443
44,17097,11.931553,12.72643,177.28905,189.1,0.7663082,-11.810959
45,17099,16.01687,14.806,237.99214,220.0,0.31738102,17.992142
46,17101,13.947021,12.92833,207.23656,192.1,0.6596218,15.136551
47,17103,15.696433,15.10212,233.2308,224.40001,0.3475982,8.830795
48,17105,16.343792,14.36182,242.84981,213.40001,0.34672567,29.449799
49,17107,17.120382,15.41843,254.38904,229.1,0.34220913,25.289032
50,17109,16.23876,14.63775,241.28915,217.5,0.35544673,23.789154
51,17113,16.496735,15.63379,245.12236,232.3,0.34049004,12.822357
52,17115,16.803905,15.64725,249.68657,232.5,0.35330606,17.18657
53,17117,15.469392,14.07916,229.85724,209.2,0.43455327,20.657242
54,17119,15.198315,13.51384,225.82935,200.8,0.5520087,25.029343
55,17121,14.175214,13.07639,210.62724,194.3,0.61036664,16.32724
56,17123,16.621271,14.92041,246.97282,221.70001,0.31633183,25.272812
57,17125,15.233129,14.79927,226.34663,219.9,0.5010087,6.44664
58,17127,13.509352,11.49484,200.7333,170.8,0.6920361,29.933304
59,17129,17.060501,15.43189,253.49928,229.3,0.36283192,24.19928
60,17131,16.667475,15.25018,247.65936,226.6,0.34036857,21.059357
61,17133,13.142788,11.5083,195.2866,171.0,0.639171,24.286606
62,17135,16.0899,14.38874,239.07726,213.8,0.4285692,25.277252
63,17137,16.43999,14.67813,244.27919,218.1,0.37946814,26.179184
64,17139,16.224676,14.16665,241.07988,210.5,0.4289446,30.57988
65,17141,15.662428,15.79531,232.72552,234.7,0.38021985,-1.974472
66,17143,16.407633,15.10885,243.79842,224.5,0.40409508,19.298416
67,17145,11.687502,10.86222,173.66273,161.4,0.7243158,12.262741
68,17147,16.414927,14.81273,243.90678,220.1,0.34937325,23.806778
69,17153,13.522629,11.83134,200.93059,175.8,0.67897445,25.130585
70,17155,16.359934,14.55026,243.08966,216.2,0.34857354,26.889664
71,17157,12.714485,11.54868,188.92252,171.6,0.62713015,17.32251
72,17161,16.019766,15.08866,238.03516,224.20001,0.37808257,13.835144
73,17163,14.400029,12.47069,213.96774,185.3,0.5952298,28.66774
74,17165,14.130598,12.16111,209.96431,180.7,0.69970256,29.264313
75,17167,17.014772,15.56649,252.8198,231.3,0.39008695,21.51979
76,17169,14.882193,13.27829,221.13214,197.3,0.4583581,23.832138
77,17171,14.960619,13.97821,222.29745,207.70001,0.440426,14.597443
78,17173,15.880749,14.43585,235.96953,214.5,0.49180472,21.469528
79,17175,16.964262,16.19238,252.06927,240.60002,0.32529104,11.469254
80,17177,15.32151,14.11281,227.65988,209.7,0.41579056,17.959885
81,17179,16.241817,15.47227,241.33458,229.90001,0.40568268,11.43457
82,17181,12.886496,11.21218,191.4784,166.6,0.7478517,24.878387
83,17183,15.884617,14.69832,236.027,218.40001,0.37687695,17.626984
84,17185,14.7650175,12.23514,219.39105,181.8,0.61988485,37.59105
85,17187,16.823706,14.22722,249.98077,211.4,0.30342144,38.58078
86,17189,13.832638,12.43704,205.53697,184.8,0.57393205,20.736969
87,17191,14.0467415,12.7197,208.7183,189.0,0.6425065,19.718307
88,17193,14.318662,12.80046,212.75871,190.2,0.6847111,22.558716
89,17195,15.545891,14.79254,230.99393,219.8,0.39067608,11.193924
90,17197,14.568832,13.98494,216.47597,207.8,0.47113642,8.675964
91,17199,12.605477,11.66309,187.30278,173.3,0.8159835,14.002777
92,17201,14.932489,13.89745,221.87949,206.50002,0.4519034,15.379471
93,17203,16.89261,15.86261,251.00462,235.7,0.33253092,15.304626
94,18001,13.239,12.55818,196.7162,186.6,0.5273598,10.116196
95,18003,13.483431,12.43031,200.34816,184.70001,0.55026084,15.648148
96,18005,14.20459,12.46396,211.06375,185.2,0.5511892,25.863754
97,18007,16.118937,14.32817,239.50871,212.9,0.37478754,26.608719
98,18009,13.934187,12.32263,207.04587,183.1,0.4834779,23.945862
99,18011,14.860376,13.13696,220.80797,195.2,0.4756073,25.607971
100,18015,15.824158,13.70228,235.12865,203.6,0.41345847,31.52864
101,18017,14.904568,13.07639,221.4646,194.3,0.4467568,27.164597
102,18019,14.579077,12.38993,216.62819,184.1,0.62598944,32.528183
103,18021,14.67355,13.00909,218.03194,193.3,0.49257278,24.731934
104,18023,14.711043,13.48019,218.58905,200.3,0.4407648,18.289047
105,18027,14.170502,13.29848,210.55724,197.6,0.6680896,12.95723
106,18029,12.4148035,10.80838,184.46959,160.6,0.66691977,23.869583
107,18031,14.985392,14.02532,222.66556,208.40001,0.4529851,14.265549
108,18033,12.940391,12.55818,192.2792,186.6,0.52458054,5.679199
109,18035,13.801945,12.41012,205.0809,184.40001,0.47648445,20.680893
110,18037,13.958958,12.10054,207.41394,179.8,0.7051881,27.613937
111,18039,13.836021,13.48692,205.58725,200.40001,0.5099782,5.1872406
112,18041,14.019526,12.44377,208.3139,184.90001,0.4606164,23.413895
113,18045,15.038385,12.88795,223.45297,191.5,0.46304286,31.952972
114,18047,13.556555,12.49761,201.4347,185.7,0.4859071,15.734695
115,18051,14.664895,13.27156,217.90335,197.2,0.6349036,20.703354
116,18053,14.290715,12.36974,212.34346,183.79999,0.4620462,28.543472
117,18057,13.593643,11.67655,201.98578,173.5,0.61140066,28.485779
118,18059,13.563685,12.52453,201.54065,186.1,0.55285186,15.440643
119,18061,13.253449,12.36301,196.9309,183.70001,0.7111476,13.230881
120,18063,14.401887,13.58114,213.99535,201.8,0.4935167,12.195343
121,18065,13.937389,12.46396,207.09346,185.2,0.49267298,21.893463
122,18067,15.001757,14.24741,222.90872,211.7,0.44701678,11.208725
123,18069,14.286028,12.49088,212.27382,185.6,0.45635447,26.673813
124,18071,14.088699,12.79373,209.34175,190.1,0.5723668,19.241745
125,18073,14.622986,12.36301,217.28062,183.70001,0.49479643,33.580612
126,18075,13.357987,12.4505,198.4842,185.0,0.5182619,13.484207
127,18077,13.361867,12.3832,198.54185,184.0,0.5972652,14.541855
128,18079,13.787831,12.12746,204.8712,180.2,0.54977745,24.671204
129,18081,14.159714,12.24187,210.39694,181.9,0.56263024,28.496948
130,18083,14.248894,13.34559,211.72205,198.3,0.65196484,13.422043
131,18085,14.410841,12.86103,214.1284,191.09999,0.45884338,23.028412
132,18087,12.877979,12.03324,191.35185,178.8,0.5327627,12.551849
133,18089,14.65816,12.38993,217.80327,184.1,0.537095,33.703262
