,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
0,17007,13.7026205,14.32144,203.60506,212.8,0.4775538,-9.194946
1,17009,13.846177,11.94575,205.73814,177.5,0.49808124,28.238144
2,17011,15.413251,16.20584,229.02304,240.79999,0.42564088,-11.776947
3,17015,15.164741,16.09816,225.33047,239.2,0.40923312,-13.869522
4,17023,13.99977,13.9984,208.02036,208.0,0.4410506,0.020355225
5,17025,12.3777685,11.6429,183.9193,173.00002,0.5744909,10.919281
6,17027,12.532324,13.29848,186.2158,197.6,0.53939587,-11.384201
7,17029,15.117137,15.31748,224.62314,227.6,0.37289986,-2.9768677
8,17033,13.389932,13.33886,198.95886,198.2,0.50025076,0.75886536
9,17035,14.169334,15.22999,210.53989,226.3,0.40771505,-15.760117
10,17041,14.707838,15.16269,218.54143,225.3,0.3636782,-6.7585754
11,17045,14.879897,14.98098,221.09802,222.6,0.37210137,-1.5019836
12,17047,12.875047,12.47742,191.30827,185.4,0.58517444,5.9082794
13,17049,13.493868,14.63775,200.50323,217.5,0.43954873,-16.996765
14,17055,12.113376,11.48138,179.99072,170.6,0.59379673,9.390717
15,17057,14.526169,14.02532,215.84204,208.40001,0.4612811,7.442032
16,17061,13.752236,15.41843,204.3423,229.1,0.48697382,-24.757706
17,17067,15.130268,15.35786,224.81825,228.2,0.43951264,-3.3817444
18,17075,14.213528,14.38874,211.19655,213.8,0.41305566,-2.6034546
19,17077,11.918733,13.06966,177.09856,194.20001,0.6697922,-17.101456
20,17081,11.995685,10.54591,178.24197,156.7,0.62599504,21.541977
21,17083,13.325826,13.03601,198.00633,193.7,0.48788047,4.3063354
22,17085,13.490861,14.28106,200.45856,212.20001,0.45590368,-11.741455
23,17089,13.871303,15.72801,206.11148,233.70001,0.5607292,-27.588531
24,17095,15.221448,16.03086,226.17308,238.20001,0.4242073,-12.026932
25,17097,10.409474,11.08431,154.67273,164.7,1.0122871,-10.027267
