,FIPS,y_test_pred,y_test,y_test_pred_uncertainty,y_test_pred_cv,pred_error
0,17007,117.96293,-1.0,13.073402,0.110826366,118.96293
1,17009,123.991,-1.0,13.748756,0.11088512,124.991
2,17011,127.41375,-1.0,12.943283,0.101584665,128.41376
3,17015,130.94218,-1.0,12.483134,0.095333174,131.94218
4,17023,89.25591,-1.0,14.898764,0.16692187,90.25591
5,17025,69.76614,-1.0,16.051626,0.2300776,70.76614
6,17027,72.79776,-1.0,16.078432,0.22086439,73.79776
7,17029,110.5662,-1.0,13.558351,0.12262654,111.5662
8,17033,80.58558,-1.0,15.3024025,0.18989009,81.58558
9,17035,90.690094,-1.0,14.858477,0.16383792,91.690094
10,17041,115.823006,-1.0,13.558565,0.1170628,116.823006
11,17045,119.44134,-1.0,13.137558,0.10999172,120.44134
12,17047,68.38817,-1.0,16.602608,0.24277018,69.38817
13,17049,85.80024,-1.0,15.165663,0.17675549,86.80024
14,17055,72.42923,-1.0,16.091787,0.22217256,73.42923
15,17057,125.02265,-1.0,13.965729,0.11170559,126.02265
16,17061,111.30678,-1.0,14.217529,0.12773283,112.30678
17,17067,130.06613,-1.0,13.400989,0.10303211,131.06613
18,17075,105.39197,-1.0,13.673732,0.12974168,106.39197
19,17077,65.70803,-1.0,15.980788,0.24320906,66.70803
20,17081,70.47016,-1.0,15.9035015,0.2256771,71.47016
21,17083,96.69776,-1.0,14.817245,0.15323254,97.69776
22,17085,125.574875,-1.0,12.845367,0.10229249,126.574875
23,17089,112.64095,-1.0,14.12717,0.12541771,113.64095
24,17095,125.101036,-1.0,13.489352,0.10782766,126.101036
25,17097,102.54591,-1.0,15.344304,0.1496335,103.54591
26,17099,116.69415,-1.0,13.119802,0.11242896,117.69415
27,17101,75.96606,-1.0,15.607446,0.20545289,76.96606
28,17105,115.151344,-1.0,13.560406,0.11776159,116.151344
29,17107,128.48074,-1.0,13.230127,0.10297362,129.48074
30,17113,120.77208,-1.0,13.595841,0.112574376,121.77208
31,17115,119.592026,-1.0,13.576101,0.11352012,120.592026
32,17117,100.73106,-1.0,14.379355,0.14274997,101.73106
33,17119,85.970726,-1.0,15.395796,0.17908184,86.970726
34,17121,71.24744,-1.0,15.851889,0.22249065,72.24744
35,17129,131.28085,-1.0,13.785474,0.1050075,132.28085
36,17133,68.8612,-1.0,15.69976,0.22799139,69.8612
37,17135,97.446396,-1.0,14.218669,0.14591272,98.446396
38,17137,125.896614,-1.0,13.666761,0.108555436,126.896614
39,17141,122.21925,-1.0,12.803546,0.10475883,123.21925
40,17143,125.04504,-1.0,14.019044,0.112111956,126.04504
41,17147,124.294716,-1.0,13.315213,0.10712614,125.294716
42,17149,122.929054,-1.0,13.529729,0.11006128,123.929054
43,17151,77.3778,-1.0,16.013573,0.20695306,78.3778
44,17153,83.15995,-1.0,15.538918,0.18685578,84.15995
45,17157,69.191025,-1.0,15.709025,0.22703849,70.191025
46,17159,69.686066,-1.0,15.576731,0.2235272,70.686066
47,17163,70.89061,-1.0,16.076889,0.22678447,71.89061
48,17167,127.527794,-1.0,13.69551,0.107392356,128.5278
49,17171,119.69253,-1.0,13.968182,0.11670053,120.69253
50,17175,133.91602,-1.0,13.277062,0.0991447,134.91602
51,17177,123.152,-1.0,12.563618,0.102017164,124.152
52,17179,124.416435,-1.0,13.989868,0.112443894,125.416435
53,17183,113.26228,-1.0,13.29428,0.11737605,114.26228
54,17185,79.91674,-1.0,15.214781,0.1903829,80.91674
55,17189,68.59704,-1.0,16.093134,0.23460391,69.59704
56,17191,70.9014,-1.0,16.222286,0.22880065,71.9014
57,17193,74.51692,-1.0,15.990524,0.21458916,75.51692
58,17195,125.89538,-1.0,12.9929085,0.10320401,126.89538
59,17197,96.20312,-1.0,15.410594,0.1601881,97.20312
60,17199,68.29783,-1.0,15.9098425,0.232948,69.29783
61,17201,117.00556,-1.0,13.518479,0.11553707,118.00556
62,18001,80.575874,-1.0,15.253614,0.18930747,81.575874
63,18003,82.45899,-1.0,15.583009,0.1889789,83.45899
64,18005,84.254074,-1.0,15.312404,0.1817408,85.254074
65,18007,120.58751,-1.0,12.699572,0.10531416,121.58751
66,18011,99.43963,-1.0,13.825065,0.13902973,100.43963
67,18015,124.67663,-1.0,13.018314,0.10441664,125.67663
68,18017,119.90867,-1.0,13.11669,0.109389,120.90867
69,18019,77.010765,-1.0,17.131115,0.22245091,78.010765
70,18021,88.78164,-1.0,14.700925,0.16558519,89.78164
71,18023,99.89518,-1.0,13.554636,0.13568859,100.89518
72,18027,96.1628,-1.0,15.3681,0.15981336,97.1628
73,18029,74.97883,-1.0,15.592263,0.20795554,75.97883
74,18031,94.96057,-1.0,14.242141,0.14997952,95.96057
75,18033,79.344,-1.0,15.261057,0.1923404,80.344
76,18035,84.941505,-1.0,14.558866,0.17139873,85.941505
77,18037,88.7956,-1.0,16.934536,0.19071369,89.7956
78,18039,104.88457,-1.0,14.971457,0.14274223,105.88457
79,18041,96.681496,-1.0,13.85545,0.14331025,97.681496
80,18047,83.19921,-1.0,14.815221,0.17806925,84.19921
81,18049,115.56159,-1.0,13.6244335,0.11789759,116.56159
82,18051,94.137856,-1.0,15.784878,0.16767833,95.137856
83,18057,92.13169,-1.0,15.179622,0.16476005,93.13169
84,18059,92.777374,-1.0,15.025521,0.16195244,93.777374
85,18061,77.77381,-1.0,16.739143,0.21522853,78.77381
86,18063,97.32697,-1.0,14.498072,0.14896253,98.32697
87,18067,104.039055,-1.0,13.836353,0.13299191,105.039055
88,18069,93.618195,-1.0,14.327081,0.15303735,94.618195
89,18071,78.30192,-1.0,15.538149,0.19843893,79.30192
90,18075,81.78811,-1.0,15.038248,0.1838684,82.78811
91,18077,70.85105,-1.0,16.533058,0.23334952,71.85105
92,18079,77.358116,-1.0,15.727246,0.20330441,78.358116
93,18081,76.98096,-1.0,15.715307,0.20414539,77.98096
94,18083,87.03445,-1.0,15.409093,0.17704591,88.03445
95,18085,107.30775,-1.0,13.551845,0.12628953,108.30775
96,18087,97.11922,-1.0,14.507871,0.14938208,98.11922
97,18089,104.549355,-1.0,14.855883,0.14209445,105.549355
98,18091,102.99609,-1.0,14.543859,0.14120786,103.99609
99,18095,94.717445,-1.0,14.389445,0.1519197,95.717445
100,18097,93.82414,-1.0,16.770868,0.17874789,94.82414
101,18099,107.599915,-1.0,14.038335,0.1304679,108.599915
102,18103,100.78638,-1.0,13.718704,0.13611665,101.78638
103,18105,72.2179,-1.0,15.699311,0.21738808,73.2179
104,18107,113.62214,-1.0,12.378267,0.10894239,114.62214
105,18109,88.20106,-1.0,14.334041,0.16251552,89.20106
106,18111,110.69366,-1.0,14.64651,0.13231571,111.69366
107,18113,95.04632,-1.0,14.340498,0.15087906,96.04632
108,18115,63.99196,-1.0,15.402949,0.24070133,64.99196
109,18119,79.69003,-1.0,14.949847,0.18759996,80.69003
110,18129,95.437035,-1.0,15.476947,0.16216919,96.437035
111,18131,115.866905,-1.0,14.732422,0.12714952,116.866905
112,18133,97.695724,-1.0,13.918643,0.14246932,98.695724
113,18135,87.12847,-1.0,14.087353,0.16168484,88.12847
114,18137,65.268105,-1.0,15.696403,0.24049117,66.268105
115,18139,97.56881,-1.0,13.525932,0.13862967,98.56881
116,18141,101.282875,-1.0,14.456569,0.14273459,102.282875
117,18143,71.540764,-1.0,16.346676,0.22849457,72.540764
118,18145,85.721054,-1.0,14.726144,0.17179145,86.721054
119,18147,83.93017,-1.0,16.32777,0.19453995,84.93017
120,18149,110.53774,-1.0,15.03106,0.13598125,111.53774
121,18151,89.308754,-1.0,14.43824,0.16166657,90.308754
122,18153,89.43135,-1.0,15.119175,0.16905901,90.43135
123,18157,117.99491,-1.0,12.91455,0.10945006,118.99491
124,18159,94.506935,-1.0,13.897827,0.14705616,95.506935
125,18161,96.725975,-1.0,13.62423,0.1408539,97.725975
126,18163,85.36351,-1.0,16.398148,0.19209786,86.36351
127,18167,91.33093,-1.0,15.219617,0.16664252,92.33093
128,18169,98.57665,-1.0,13.734549,0.13932861,99.57665
129,18175,75.517784,-1.0,16.299229,0.21583298,76.517784
130,18177,90.29452,-1.0,14.550915,0.16114949,91.29452
131,18179,95.781975,-1.0,14.389187,0.15022855,96.781975
132,18183,93.166695,-1.0,14.082736,0.15115634,94.166695
133,19001,104.67498,-1.0,13.289194,0.12695675,105.67498
134,19005,114.37661,-1.0,12.447581,0.10882978,115.37661
135,19009,112.17423,-1.0,13.008892,0.11597041,113.17423
136,19011,116.70079,-1.0,13.045451,0.11178546,117.70079
137,19013,114.5993,-1.0,12.731075,0.11109209,115.5993
138,19015,120.63936,-1.0,13.174373,0.1092046,121.63936
139,19017,115.315834,-1.0,12.296955,0.10663718,116.315834
140,19019,119.998474,-1.0,12.752927,0.106275745,120.998474
141,19023,115.4004,-1.0,12.800495,0.110922456,116.4004
142,19025,113.32326,-1.0,12.918073,0.11399313,114.32326
143,19027,120.269615,-1.0,13.378545,0.11123794,121.269615
144,19029,112.465805,-1.0,12.89498,0.114656895,113.465805
145,19031,114.11476,-1.0,13.004799,0.11396246,115.11476
146,19033,104.88995,-1.0,12.891207,0.12290221,105.88995
147,19035,106.64623,-1.0,12.926928,0.12121317,107.64623
148,19037,110.76338,-1.0,12.4447155,0.112354055,111.76338
149,19039,105.009705,-1.0,13.66693,0.13014922,106.009705
150,19041,104.991844,-1.0,13.041778,0.124217056,105.991844
151,19043,115.747215,-1.0,12.214149,0.105524346,116.747215
152,19045,117.49354,-1.0,13.19494,0.11230353,118.49354
153,19047,116.57536,-1.0,12.9228525,0.11085406,117.57536
154,19051,115.10405,-1.0,13.4528475,0.11687554,116.10405
155,19053,111.03542,-1.0,13.363072,0.12034963,112.03542
156,19055,126.71096,-1.0,12.339357,0.09738193,127.71096
157,19057,122.56517,-1.0,13.569536,0.110712826,123.56517
158,19059,102.86082,-1.0,13.094671,0.12730476,103.86082
159,19061,125.84988,-1.0,12.478414,0.09915317,126.84988
160,19065,110.11866,-1.0,12.151232,0.11034671,111.11866
161,19067,108.473785,-1.0,13.003279,0.11987485,109.473785
162,19069,114.516365,-1.0,12.506362,0.10921026,115.516365
163,19071,124.69757,-1.0,13.32216,0.10683576,125.69757
164,19073,115.07964,-1.0,13.263484,0.11525483,116.07964
165,19079,115.47629,-1.0,12.971039,0.11232643,116.47629
166,19081,103.54308,-1.0,12.712376,0.12277378,104.54308
167,19087,115.7893,-1.0,13.391931,0.115657754,116.7893
168,19089,107.44042,-1.0,12.472849,0.11609084,108.44042
169,19091,110.887474,-1.0,12.921853,0.11653122,111.887474
170,19093,113.799675,-1.0,13.061948,0.11478019,114.799675
171,19095,117.71661,-1.0,13.175835,0.11192842,118.71661
172,19097,121.91129,-1.0,12.978653,0.10645981,122.91129
173,19101,113.72163,-1.0,13.491598,0.11863705,114.72163
174,19103,113.14923,-1.0,13.543318,0.1196943,114.14923
175,19105,117.835495,-1.0,13.084842,0.1110433,118.835495
176,19111,121.03162,-1.0,13.505284,0.11158476,122.03162
177,19113,113.614426,-1.0,13.379477,0.117762126,114.614426
178,19115,120.26452,-1.0,13.796025,0.11471401,121.26452
179,19119,111.062965,-1.0,13.453921,0.12113778,112.062965
180,19123,128.83757,-1.0,12.980761,0.10075291,129.83757
181,19125,120.67496,-1.0,13.267894,0.10994737,121.67496
182,19127,119.62769,-1.0,12.890776,0.10775746,120.62769
183,19129,118.28672,-1.0,13.077559,0.11055814,119.28672
184,19131,106.32057,-1.0,12.636425,0.118852116,107.32057
185,19133,112.481094,-1.0,13.636131,0.12123043,113.481094
186,19135,117.27041,-1.0,13.70035,0.116826996,118.27041
187,19137,115.67458,-1.0,13.281098,0.11481432,116.67458
188,19139,116.512115,-1.0,13.63611,0.117035985,117.512115
189,19141,113.23231,-1.0,13.096252,0.11565827,114.23231
190,19145,116.24852,-1.0,13.158683,0.11319441,117.24852
191,19147,108.44484,-1.0,13.206249,0.121778496,109.44484
192,19149,110.80789,-1.0,13.3020525,0.12004607,111.80789
193,19151,113.63601,-1.0,12.926566,0.11375414,114.63601
194,19153,120.49987,-1.0,13.5035305,0.11206262,121.49987
195,19157,120.49099,-1.0,13.071216,0.10848293,121.49099
196,19161,113.58515,-1.0,13.172217,0.11596777,114.58515
197,19163,120.87925,-1.0,13.033839,0.10782528,121.87925
198,19169,118.37681,-1.0,12.997174,0.10979494,119.37681
199,19173,109.08362,-1.0,12.93978,0.11862258,110.08362
200,19185,112.98426,-1.0,13.496337,0.11945325,113.98426
201,19187,117.73884,-1.0,12.820956,0.10889318,118.73884
202,19189,105.9048,-1.0,12.39658,0.11705399,106.9048
203,19191,114.889725,-1.0,12.02667,0.10468012,115.889725
204,19193,111.15688,-1.0,13.439703,0.12090752,112.15688
205,19195,98.54107,-1.0,12.61801,0.12804823,99.54107
206,20001,69.736855,-1.0,16.542843,0.23721808,70.736855
207,20003,65.958626,-1.0,16.215603,0.24584506,66.958626
208,20005,107.27883,-1.0,14.371694,0.13396579,108.27883
209,20011,73.76694,-1.0,16.656906,0.2258045,74.76694
210,20013,119.26188,-1.0,14.117786,0.11837635,120.26188
211,20015,78.24497,-1.0,16.12939,0.20613964,79.24497
212,20017,82.286736,-1.0,15.485922,0.18819463,83.286736
213,20029,82.16659,-1.0,15.414514,0.18760075,83.16659
214,20031,75.92028,-1.0,16.131073,0.21247384,76.92028
215,20035,73.504295,-1.0,16.33365,0.22221355,74.504295
216,20041,78.749565,-1.0,16.575445,0.210483,79.749565
217,20045,80.99898,-1.0,16.522804,0.2039878,81.99898
218,20047,106.02456,-1.0,16.23188,0.15309547,107.02456
219,20053,79.602715,-1.0,16.466564,0.20685934,80.602715
220,20059,70.874084,-1.0,16.46638,0.23233287,71.874084
221,20061,92.631355,-1.0,16.029175,0.17304264,93.631355
222,20063,75.242035,-1.0,15.381977,0.20443329,76.242035
223,20065,73.0926,-1.0,15.090645,0.20645927,74.0926
224,20067,111.85745,-1.0,17.404165,0.15559237,112.85745
225,20069,107.14188,-1.0,16.601654,0.15495019,108.14188
226,20073,74.09621,-1.0,15.807706,0.21334028,75.09621
227,20075,76.163124,-1.0,16.447588,0.21595211,77.163124
228,20081,110.1587,-1.0,16.379427,0.14868936,111.1587
229,20085,99.62624,-1.0,15.118612,0.1517533,100.62624
230,20095,91.971825,-1.0,17.106764,0.18600005,92.971825
231,20099,62.470722,-1.0,16.912033,0.27071935,63.470722
232,20103,98.04045,-1.0,15.3152275,0.15621336,99.04045
233,20111,70.139206,-1.0,15.728291,0.22424392,71.139206
234,20113,75.400764,-1.0,17.085613,0.22659735,76.400764
235,20115,76.7012,-1.0,16.436817,0.21429673,77.7012
236,20119,117.74344,-1.0,16.75798,0.14232624,118.74344
237,20121,76.97613,-1.0,16.147545,0.2097734,77.97613
238,20123,78.113075,-1.0,15.983697,0.20462255,79.113075
239,20125,71.525536,-1.0,17.190956,0.24034712,72.525536
240,20127,76.03102,-1.0,16.011337,0.21058953,77.03102
241,20131,106.44176,-1.0,14.675102,0.13786979,107.44176
242,20133,66.06733,-1.0,17.009142,0.25745162,67.06733
243,20135,74.987885,-1.0,15.713453,0.20954657,75.987885
244,20143,72.419586,-1.0,16.634611,0.22969769,73.419586
245,20151,105.24383,-1.0,16.743275,0.15909033,106.24383
246,20153,62.936672,-1.0,15.457586,0.2456054,63.936672
247,20155,95.42509,-1.0,17.071161,0.17889595,96.42509
248,20157,101.369446,-1.0,14.492156,0.14296375,102.369446
249,20159,84.38178,-1.0,17.131407,0.20302257,85.38178
250,20161,90.60082,-1.0,15.778386,0.17415279,91.60082
251,20167,74.95284,-1.0,16.320902,0.21774894,75.95284
252,20169,74.65147,-1.0,17.77543,0.23811227,75.65147
253,20171,74.67235,-1.0,15.899304,0.2129209,75.67235
254,20173,83.27908,-1.0,16.592598,0.19924088,84.27908
255,20177,97.18436,-1.0,15.472257,0.15920521,98.18436
256,20181,77.13499,-1.0,15.792844,0.20474294,78.13499
257,20185,106.80493,-1.0,16.750484,0.1568325,107.80493
258,20189,116.493576,-1.0,17.809584,0.15288039,117.493576
259,20191,73.365845,-1.0,16.558712,0.22570056,74.365845
260,20193,73.053116,-1.0,15.465021,0.21169557,74.053116
261,20197,94.160545,-1.0,15.531335,0.16494524,95.160545
262,20203,76.92246,-1.0,15.900464,0.20670769,77.92246
263,20205,68.34939,-1.0,17.523594,0.2563826,69.34939
264,20207,74.111046,-1.0,16.526558,0.22299723,75.111046
321,26005,97.87295,-1.0,14.832534,0.15154886,98.87295
322,26007,73.77468,-1.0,14.593922,0.19781749,74.77468
323,26009,86.85122,-1.0,14.5303545,0.16730167,87.85122
324,26011,97.47468,-1.0,14.661723,0.15041572,98.47468
325,26015,100.07416,-1.0,14.189664,0.1417915,101.07416
326,26017,97.27207,-1.0,14.166989,0.14564292,98.27207
327,26021,94.25436,-1.0,14.736682,0.15635014,95.25436
328,26025,96.232666,-1.0,14.064803,0.14615415,97.232666
329,26027,97.83706,-1.0,14.280734,0.14596446,98.83706
