,FIPS,y_test_pred,y_test,y_test_pred_model_uncertainty,y_test_pred_cv,pred_error
0,17007,46.63781,-1.0,10.018104,0.21480648,47.63781
1,17009,55.389626,-1.0,10.226619,0.18463059,56.389626
2,17011,57.100567,-1.0,9.858641,0.17265399,58.100567
3,17015,57.18122,-1.0,9.787387,0.17116436,58.18122
4,17023,36.46602,-1.0,9.189174,0.2519928,37.46602
5,17025,22.649519,-1.0,9.042932,0.39925492,23.649519
6,17027,25.366291,-1.0,9.21819,0.36340314,26.366291
7,17029,45.821903,-1.0,9.401224,0.20516878,46.821903
8,17033,31.31147,-1.0,9.117902,0.29120004,32.31147
9,17035,34.45375,-1.0,9.202009,0.26708296,35.45375
10,17041,50.00829,-1.0,9.756065,0.19508897,51.00829
11,17045,52.53954,-1.0,9.7225895,0.18505281,53.53954
12,17047,24.530996,-1.0,9.506349,0.38752395,25.530996
13,17049,31.401348,-1.0,9.301148,0.2962022,32.40135
14,17055,28.236492,-1.0,9.210276,0.3261834,29.236492
15,17057,59.328125,-1.0,10.211679,0.17212206,60.328125
16,17061,47.666504,-1.0,9.882708,0.20733024,48.666504
17,17067,61.753567,-1.0,9.966061,0.16138437,62.753567
18,17075,43.535103,-1.0,9.760297,0.22419372,44.535103
19,17077,20.630455,-1.0,9.212169,0.4465325,21.630455
20,17081,26.457502,-1.0,9.213051,0.34822074,27.457502
21,17083,41.95043,-1.0,9.077861,0.21639493,42.95043
22,17085,53.460503,-1.0,10.12262,0.18934764,54.460503
23,17089,48.38246,-1.0,9.992463,0.20653069,49.38246
24,17095,59.000973,-1.0,9.934818,0.16838397,60.000973
25,17097,43.238144,-1.0,10.685526,0.24713193,44.238144
26,17099,50.251312,-1.0,9.702989,0.19308926,51.251312
27,17101,27.238544,-1.0,9.469137,0.34763741,28.238544
28,17105,50.35356,-1.0,10.14045,0.20138495,51.35356
29,17107,59.610134,-1.0,9.830387,0.16491134,60.610134
30,17113,56.400124,-1.0,9.97938,0.17693897,57.400124
31,17115,53.428482,-1.0,9.608441,0.17983744,54.428482
32,17117,41.55458,-1.0,9.494267,0.22847703,42.55458
33,17119,35.605637,-1.0,9.190383,0.25811595,36.605637
34,17121,25.489862,-1.0,9.07114,0.35587248,26.489862
35,17129,62.285763,-1.0,10.322794,0.1657328,63.285763
36,17133,26.843828,-1.0,8.821146,0.32860982,27.843828
37,17135,39.68892,-1.0,9.1728525,0.23111872,40.68892
38,17137,57.363,-1.0,10.110564,0.17625585,58.363
39,17141,51.054543,-1.0,9.844096,0.19281529,52.054543
