,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,12.280293,-1.0,182.47093,-14.858841,0.6871106,197.32977
1,17003,8.379811,-1.0,124.51428,-14.858841,0.9250173,139.37312
2,17005,9.806048,-1.0,145.70651,-14.858841,0.7166635,160.56535
3,17007,11.545976,-1.0,171.55981,-14.858841,0.66551495,186.41866
4,17009,12.200781,-1.0,181.28946,-14.858841,0.772703,196.1483
5,17011,12.938774,-1.0,192.25519,-14.858841,0.5963032,207.11403
6,17013,10.618933,-1.0,157.78503,-14.858841,0.7452187,172.64388
7,17015,13.048091,-1.0,193.87952,-14.858841,0.58055484,208.73836
8,17017,12.686987,-1.0,188.51392,-14.858841,0.74871826,203.37276
9,17019,12.593669,-1.0,187.12732,-14.858841,0.60229284,201.98616
10,17021,13.019906,-1.0,193.46071,-14.858841,0.5901354,208.31955
11,17023,10.438137,-1.0,155.09862,-14.858841,0.6780026,169.95746
12,17025,8.402434,-1.0,124.85044,-14.858841,0.78093857,139.70929
13,17027,8.790876,-1.0,130.62224,-14.858841,0.8630437,145.48108
14,17029,12.205691,-1.0,181.36243,-14.858841,0.59657633,196.22127
15,17031,7.97152,-1.0,118.44755,-14.858841,1.2451121,133.3064
16,17033,9.45141,-1.0,140.43701,-14.858841,0.7489945,155.29585
17,17035,10.869924,-1.0,161.51447,-14.858841,0.64474934,176.3733
18,17037,11.603161,-1.0,172.40953,-14.858841,0.6164339,187.26837
19,17039,12.993451,-1.0,193.06763,-14.858841,0.57650405,207.92647
20,17041,12.367277,-1.0,183.76341,-14.858841,0.6028581,198.62225
21,17043,9.4692545,-1.0,140.70215,-14.858841,0.9139231,155.56099
22,17045,12.611407,-1.0,187.3909,-14.858841,0.58140403,202.24974
23,17047,8.174062,-1.0,121.457085,-14.858841,0.8849462,136.31592
24,17049,10.473531,-1.0,155.62453,-14.858841,0.69436026,170.48337
25,17051,9.947681,-1.0,147.81102,-14.858841,0.69337016,162.66986
26,17053,11.7925415,-1.0,175.2235,-14.858841,0.61449426,190.08234
27,17055,6.668155,-1.0,99.08106,-14.858841,0.95434225,113.9399
28,17057,12.522262,-1.0,186.0663,-14.858841,0.7101982,200.92514
29,17059,9.694193,-1.0,144.04448,-14.858841,0.8292338,158.90332
30,17061,11.82507,-1.0,175.70685,-14.858841,0.67980283,190.56569
31,17063,11.758176,-1.0,174.71286,-14.858841,0.64035547,189.5717
32,17065,8.537444,-1.0,126.85653,-14.858841,0.874738,141.71536
33,17067,13.222974,-1.0,196.47807,-14.858841,0.62830895,211.33691
34,17069,9.098756,-1.0,135.19696,-14.858841,0.97144884,150.0558
35,17071,13.050718,-1.0,193.91855,-14.858841,0.6476161,208.77739
36,17073,12.591694,-1.0,187.09798,-14.858841,0.5651709,201.95682
37,17075,11.709638,-1.0,173.99165,-14.858841,0.61889005,188.8505
38,17077,6.5438466,-1.0,97.23398,-14.858841,0.97519165,112.09282
39,17079,9.523563,-1.0,141.50911,-14.858841,0.6963489,156.36795
40,17081,7.513081,-1.0,111.63568,-14.858841,0.9147685,126.49452
41,17083,10.867384,-1.0,161.47673,-14.858841,0.63352036,176.33557
42,17085,12.173163,-1.0,180.8791,-14.858841,0.72085905,195.73795
43,17087,8.23479,-1.0,122.359436,-14.858841,0.9256254,137.21828
44,17089,11.039521,-1.0,164.03448,-14.858841,0.676707,178.89333
45,17091,11.482405,-1.0,170.61523,-14.858841,0.6964893,185.47408
46,17093,11.131072,-1.0,165.39484,-14.858841,0.64921045,180.25368
47,17095,13.005275,-1.0,193.24332,-14.858841,0.62778986,208.10216
48,17097,9.005313,-1.0,133.80852,-14.858841,0.97846156,148.66736
49,17099,12.196076,-1.0,181.21956,-14.858841,0.5760038,196.0784
50,17101,9.44152,-1.0,140.29004,-14.858841,0.78681374,155.14888
51,17103,12.4835005,-1.0,185.49036,-14.858841,0.6061748,200.3492
52,17105,12.486697,-1.0,185.53786,-14.858841,0.6093684,200.3967
53,17107,13.279265,-1.0,197.3145,-14.858841,0.61121696,212.17334
54,17109,13.727628,-1.0,203.97664,-14.858841,0.62195164,218.83548
55,17111,10.736966,-1.0,159.53888,-14.858841,0.71310836,174.39772
56,17113,12.904905,-1.0,191.75194,-14.858841,0.5806936,206.61078
57,17115,12.733642,-1.0,189.20715,-14.858841,0.57819253,204.066
58,17117,11.462028,-1.0,170.31245,-14.858841,0.63157976,185.1713
59,17119,9.825589,-1.0,145.99687,-14.858841,0.73401886,160.85571
60,17121,8.488835,-1.0,126.134254,-14.858841,0.8002321,140.9931
61,17123,12.867935,-1.0,191.2026,-14.858841,0.5800562,206.06145
62,17125,12.364305,-1.0,183.71924,-14.858841,0.7824782,198.57808
63,17127,7.854589,-1.0,116.71009,-14.858841,0.9436574,131.56894
64,17129,13.273919,-1.0,197.23506,-14.858841,0.6656568,212.0939
65,17131,13.107047,-1.0,194.75552,-14.858841,0.5918174,209.61436
