,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,18149,11.115782,46.9,1.5858151
1,31071,12.6697,57.0,1.6089675
2,46123,10.36933,43.2,1.6318767
3,17187,13.483684,66.6,1.5951921
4,55007,4.37412,29.1,1.9713926
5,19027,13.517101,54.8,1.5627543
6,39131,11.416308,50.7,1.826414
7,18073,11.433684,55.1,1.5640628
8,46013,10.268605,41.2,1.4398003
9,17095,13.296657,63.9,1.5860109
10,27103,12.239993,63.0,1.360821
11,55027,12.368159,59.3,1.5210928
12,19063,12.405319,56.0,1.5355594
13,26117,10.002851,47.1,1.5809143
14,29159,11.068679,54.3,1.6471351
15,39167,10.900334,55.6,1.8329542
16,18109,11.977532,61.3,1.6322128
17,20175,13.724105,60.6,1.5848119
18,20013,12.756261,57.2,1.6727304
19,17147,15.1599245,71.7,1.6357964
20,19051,11.468398,42.0,1.6263812
21,29083,11.124656,46.8,1.669206
23,39059,10.767297,51.0,1.7006466
24,18001,12.131895,57.6,1.6395643
25,38105,7.5600843,17.3,1.416304
26,17055,10.961104,51.2,1.6812558
27,26077,11.406312,49.9,1.6253823
29,39095,11.69694,52.1,1.5753582
30,18037,12.339852,61.7,1.696602
31,31177,12.987402,49.2,1.5350778
32,20103,10.504354,47.3,1.6949947
33,31023,13.122977,57.7,1.5869747
34,17075,12.203015,60.0,1.6268337
35,27019,12.025414,58.4,1.3371994
36,55113,9.757174,45.7,2.0231297
37,29011,10.893008,40.3,1.6893876
39,39083,11.362536,53.9,1.701649
40,18025,10.8294115,53.4,1.7987597
41,20155,9.812335,38.0,1.6341442
42,27055,12.160687,52.2,1.5410666
43,19169,12.294658,52.2,1.5749966
44,29201,11.393913,52.5,1.7238414
45,26005,10.676051,44.4,1.596708
46,29047,11.186908,50.3,1.6501586
47,46019,8.736989,35.8,1.5675755
48,46109,10.634389,43.4,1.4820807
49,17173,13.460021,60.4,1.6278036
50,38069,7.4337225,30.6,1.5843109
51,19077,12.867783,45.5,1.6058052
52,18115,11.066031,52.7,1.7074438
53,39011,12.263764,55.0,1.6784078
54,46055,3.4071712,21.4,1.5321239
55,31141,13.3503275,63.5,1.5253574
56,46129,9.122899,37.3,1.3406101
57,17161,12.468503,61.3,1.5723653
58,38057,7.5919123,33.8,1.5675044
59,17007,12.047341,53.0,1.6226494
60,55077,9.535075,41.8,1.4859568
61,19129,13.121074,49.3,1.5639789
62,29225,10.786324,38.2,1.7576923
63,18151,11.303281,44.7,1.5936538
65,31065,12.516866,47.3,1.6127253
66,17197,11.756009,54.5,1.6058917
67,27173,11.983414,49.4,1.4712023
68,55001,10.8453665,45.1,1.5829359
69,19037,12.142412,55.9,1.5168247
70,29133,11.793834,57.0,1.6253608
71,39109,12.174182,61.3,1.6960821
72,18075,11.846255,55.7,1.6866403
74,46015,10.891608,51.4,1.665259
75,31101,13.0968485,59.4,1.5308603
76,17089,12.22112,56.0,1.5270472
