,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,29175,52.331215,44.5,2.9708648
1,20053,32.398964,14.5,5.844478
2,20151,40.428047,37.8,5.8208494
4,18117,67.134415,63.0,3.491856
5,39065,63.456787,59.4,2.3919206
6,19177,53.47262,43.6,2.8765206
7,17177,65.76268,62.3,2.0840318
8,29075,53.322575,42.0,3.4044683
9,55053,49.167133,47.7,2.667663
10,20081,61.88217,30.5,6.7172837
11,27139,56.47545,54.8,2.2261107
12,39003,65.06954,58.3,2.4512901
14,18145,67.13048,63.6,2.583552
15,39045,62.445175,59.6,2.545527
16,19093,68.98818,63.1,2.3962383
17,17115,75.66927,73.8,2.3363392
18,46025,49.532406,42.1,2.4693718
19,17157,55.73823,50.3,2.8148985
20,26073,53.429024,44.4,2.5806754
21,55081,49.578583,49.0,2.8517206
22,27085,57.90751,54.3,1.8213232
23,38077,46.760353,38.7,1.7143584
24,18061,57.69216,56.1,3.281316
25,19031,69.11989,67.0,2.245469
26,19121,58.371468,55.4,2.9319372
27,17095,72.430626,67.0,2.2633176
28,31019,64.02285,51.5,3.9238632
29,17185,63.352108,58.1,2.985048
30,29049,58.24035,48.5,3.3116274
31,55019,49.817627,53.0,2.7144585
32,26151,54.532967,52.3,2.3751752
33,38015,34.14173,27.7,2.9937854
34,27113,40.25098,34.5,2.3650196
35,39011,64.35194,60.2,2.4291391
36,18089,62.3634,51.8,2.7631152
37,19059,61.720932,58.8,1.9769778
38,17123,73.22755,64.1,2.1166015
39,26081,57.75784,51.8,2.998499
40,20005,53.864033,44.3,3.674871
41,27029,43.033825,36.1,3.3585215
42,18027,59.88236,58.6,2.9436815
43,17039,74.931404,68.0,2.1556723
44,46013,49.270103,43.1,2.3781896
45,20161,44.887856,35.0,4.168704
46,17067,69.84306,67.6,2.4801922
47,31135,50.022774,61.3,6.2497144
48,26025,56.351135,48.9,2.4150386
49,55135,50.67206,49.5,2.7671103
50,29199,51.860096,42.0,3.0912175
51,20205,22.74085,15.8,3.7747579
52,39127,61.83604,52.5,3.040286
54,17013,64.77635,57.8,2.8761778
55,31065,43.840187,37.5,5.856425
56,31163,60.38073,50.9,4.286518
57,29129,51.55242,46.2,3.2148652
58,29227,55.067577,46.3,3.4118383
59,38095,38.955452,34.9,2.1749904
60,20105,36.155327,12.3,6.088868
