,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
0,17007,4.2405033,4.23317,63.008965,62.9,0.19255646,0.10896301
1,17009,4.0329046,4.07838,59.92429,60.600002,0.29642716,-0.6757126
2,17011,4.7586913,4.90617,70.70864,72.9,0.18830411,-2.1913605
3,17015,4.691204,4.73119,69.70586,70.3,0.20310071,-0.5941467
4,17023,4.1112185,4.26009,61.08794,63.3,0.22194016,-2.212059
5,17025,3.3704581,3.6342,50.0811,54.000004,0.21987043,-3.9189034
6,17027,3.557676,3.7688,52.862946,56.0,0.193319,-3.1370544
7,17029,4.5959344,4.79176,68.29026,71.2,0.19769873,-2.9097366
8,17031,3.217965,2.88717,47.815228,42.9,0.27955097,4.915226
9,17033,3.8765657,3.91686,57.601273,58.2,0.22281425,-0.5987282
10,17041,4.655163,4.711,69.17033,70.0,0.1880764,-0.82967377
11,17045,4.5674562,4.79176,67.8671,71.2,0.19745661,-3.3328934
12,17049,3.9573786,3.74861,58.80206,55.7,0.20790836,3.1020584
13,17051,3.7231812,3.62074,55.32216,53.8,0.2247478,1.5221596
14,17055,3.0093253,3.16983,44.715088,47.100002,0.2399251,-2.3849144
15,17057,4.330018,4.19952,64.33905,62.4,0.24222666,1.9390488
16,17061,4.429709,4.74465,65.82034,70.5,0.2628283,-4.679657
17,17067,4.7025356,4.32739,69.87423,64.3,0.2517166,5.5742264
18,17075,4.4270115,4.39469,65.78026,65.3,0.18680856,0.48025513
19,17077,3.2376297,3.4323,48.107426,51.0,0.26554686,-2.8925743
20,17081,3.0351603,3.13618,45.098965,46.6,0.24832153,-1.5010338
21,17083,4.036835,4.28701,59.982693,63.700005,0.29617396,-3.7173119
22,17085,4.161479,3.6342,61.834755,54.000004,0.22611555,7.834751
23,17089,4.301707,4.28701,63.918377,63.700005,0.21010637,0.21837234
24,17095,4.6548142,4.54948,69.165146,67.6,0.21516219,1.5651474
25,17097,3.2374783,3.45249,48.105175,51.300003,0.2940598,-3.194828
