,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17007,4.334266,4.23317,64.402176,62.9,0.1743758,1.5021744
1,17009,4.1893487,4.07838,62.248867,60.600002,0.24558838,1.6488647
2,17011,4.881916,4.90617,72.53961,72.9,0.17532499,-0.3603897
3,17015,4.783396,4.73119,71.07572,70.3,0.18614179,0.7757187
4,17023,4.0973487,4.26009,60.881855,63.3,0.22662795,-2.4181442
5,17025,3.3393133,3.6342,49.618324,54.000004,0.20346461,-4.3816795
6,17027,3.5755305,3.7688,53.12824,56.0,0.21615885,-2.8717613
7,17029,4.5154943,4.79176,67.09502,71.2,0.20520575,-4.1049805
8,17031,3.384116,2.88717,50.284042,42.9,0.28095388,7.384041
9,17033,3.915749,3.91686,58.183495,58.2,0.22296414,-0.016506195
10,17041,4.588462,4.711,68.17923,70.0,0.18993275,-1.8207703
11,17045,4.4959555,4.79176,66.80469,71.2,0.21894556,-4.3953094
12,17049,3.9005995,3.74861,57.95839,55.7,0.21596695,2.2583885
13,17051,3.800785,3.62074,56.47526,53.8,0.21448736,2.6752625
14,17055,3.190243,3.16983,47.403313,47.100002,0.28513107,0.3033104
15,17057,4.3623657,4.19952,64.8197,62.4,0.22698858,2.4197006
16,17061,4.4688425,4.74465,66.40182,70.5,0.24587408,-4.0981827
17,17067,4.771653,4.32739,70.90124,64.3,0.21880355,6.6012344
18,17075,4.3885,4.39469,65.20803,65.3,0.19926351,-0.09197235
19,17077,3.4793828,3.4323,51.699596,51.0,0.27984405,0.6995964
20,17081,3.1270719,3.13618,46.464664,46.6,0.27462742,-0.13533401
21,17083,4.276459,4.28701,63.54323,63.700005,0.28616762,-0.15677643
22,17085,4.1711054,3.6342,61.97779,54.000004,0.18123195,7.977787
23,17089,4.4905043,4.28701,66.72369,63.700005,0.20418757,3.0236816
24,17095,4.769061,4.54948,70.862724,67.6,0.20247307,3.2627258
25,17097,3.3515677,3.45249,49.80041,51.300003,0.25178015,-1.4995918
26,17099,4.6936407,4.5091,69.742065,67.0,0.17644785,2.7420654
27,17101,3.7778645,3.78899,56.13469,56.3,0.24502973,-0.1653099
