,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
0,17007,4.1366262,4.23317,61.465473,62.9,0.11749755,-1.4345284
1,17009,3.9890072,4.07838,59.272026,60.600002,0.17494634,-1.3279762
2,17011,4.7496214,4.90617,70.57387,72.9,0.10768628,-2.3261337
3,17015,4.681224,4.73119,69.55756,70.3,0.120688595,-0.74243927
4,17023,4.0829287,4.26009,60.667587,63.3,0.14856993,-2.632412
5,17025,3.3626,3.6342,49.96434,54.000004,0.13851352,-4.0356636
6,17027,3.6027153,3.7688,53.532173,56.0,0.12237548,-2.4678268
7,17029,4.599126,4.79176,68.33768,71.2,0.1221625,-2.86232
8,17031,2.7147298,2.88717,40.337738,42.9,0.19734904,-2.5622635
9,17033,3.8266943,3.91686,56.86024,58.2,0.14649795,-1.3397598
10,17041,4.649815,4.711,69.090866,70.0,0.11145477,-0.9091339
11,17045,4.5585327,4.79176,67.73451,71.2,0.119297914,-3.4654846
12,17049,3.9840138,3.74861,59.197826,55.7,0.13557419,3.4978256
13,17051,3.7799885,3.62074,56.16625,53.8,0.1390532,2.366249
14,17055,3.0165617,3.16983,44.822613,47.100002,0.15741551,-2.2773895
15,17057,4.3098974,4.19952,64.040085,62.4,0.13919048,1.6400833
16,17061,4.304069,4.74465,63.95348,70.5,0.13921198,-6.54652
17,17067,4.644315,4.32739,69.00913,64.3,0.1472616,4.7091293
18,17075,4.434475,4.39469,65.89116,65.3,0.10413124,0.591156
19,17077,3.4076693,3.4323,50.634018,51.0,0.15893906,-0.36598206
20,17081,3.0231843,3.13618,44.921017,46.6,0.16034855,-1.6789818
21,17083,4.0198708,4.28701,59.73062,63.700005,0.15944804,-3.9693832
22,17085,4.0825715,3.6342,60.66228,54.000004,0.13558237,6.662277
23,17089,4.217968,4.28701,62.674118,63.700005,0.1287283,-1.0258865
24,17095,4.6539803,4.54948,69.152756,67.6,0.12297906,1.5527573
25,17097,3.067431,3.45249,45.57847,51.300003,0.20087087,-5.7215347
26,17099,4.5928946,4.5091,68.245094,67.0,0.09384488,1.2450943
27,17101,3.6508174,3.78899,54.246914,56.3,0.14836359,-2.0530853
28,17105,4.593098,4.66389,68.248116,69.299995,0.10085419,-1.0518799
29,17107,4.869664,4.9802,72.35757,74.0,0.10488582,-1.6424332
30,17113,4.7176504,4.99366,70.098816,74.2,0.11148952,-4.101181
31,17115,4.7932296,5.23594,71.22184,77.8,0.114209026,-6.578163
32,17117,4.1958833,4.38123,62.345963,65.1,0.12796588,-2.754036
33,17119,3.6847599,3.62747,54.751263,53.9,0.13211693,0.85126114
34,17121,3.358793,3.4996,49.907772,52.0,0.1387608,-2.092228
35,17125,4.2727304,4.5091,63.487823,67.0,0.13718684,-3.5121765
36,17127,3.3533127,3.33135,49.82634,49.5,0.1717891,0.32633972
37,17133,3.421039,3.49287,50.832676,51.9,0.15258266,-1.0673256
38,17135,4.2614894,4.28028,63.320793,63.600002,0.11870356,-0.27920914
39,17137,4.670168,4.89944,69.39328,72.799995,0.13643344,-3.4067154
40,17143,4.5871067,4.65716,68.15909,69.2,0.12943126,-1.0409088
41,17145,3.1053865,3.43903,46.142445,51.1,0.14763087,-4.957554
42,17147,4.8370776,5.22248,71.87337,77.6,0.11086485,-5.726631
43,17149,4.1710854,4.29374,61.977493,63.8,0.17225039,-1.822506
44,17151,3.4160063,3.22367,50.757896,47.9,0.21019958,2.857895
45,17157,3.1853173,3.38519,47.330124,50.3,0.1554622,-2.9698753
46,17159,3.5524812,3.72169,52.785755,55.3,0.13280576,-2.514244
47,17163,3.6045358,3.69477,53.559227,54.9,0.13151704,-1.3407745
48,17167,4.7765274,5.20229,70.97366,77.3,0.12478688,-6.3263397
49,17177,4.3459377,4.46199,64.5756,66.299995,0.11735644,-1.7243958
50,17179,4.6682115,5.04077,69.36421,74.9,0.11741707,-5.5357895
51,17183,4.4924784,4.75138,66.75302,70.6,0.11427407,-3.8469772
52,17185,3.8902817,3.58709,57.805077,53.3,0.18276422,4.5050774
53,17189,3.3792048,3.71496,50.211067,55.2,0.12571923,-4.9889336
54,17191,3.484832,3.33808,51.780567,49.6,0.15793905,2.1805687
55,17193,3.6603591,3.69477,54.388695,54.9,0.17585146,-0.51130676
56,17195,4.530729,4.71773,67.32138,70.1,0.1165276,-2.7786179
57,17197,3.89003,3.69477,57.80134,54.9,0.13810024,2.9013367
58,17199,2.9124448,2.8939,43.275555,43.0,0.18443674,0.27555466
59,17201,4.0414495,4.02454,60.051258,59.8,0.13821116,0.25125885
60,17203,4.668701,5.00712,69.37149,74.4,0.10993294,-5.028511
61,18001,3.815657,4.04473,56.69624,60.100002,0.11465057,-3.4037628
62,18003,3.6110952,3.54671,53.65669,52.7,0.12560354,0.9566879
63,18005,3.8605657,4.34758,57.363533,64.6,0.14779691,-7.2364655
64,18007,4.6038766,4.8456,68.40827,72.0,0.11507654,-3.5917282
65,18011,4.0394278,4.38123,60.021217,65.1,0.13471253,-5.078781
66,18015,4.4241467,4.38796,65.73769,65.2,0.11812447,0.53769684
67,18017,4.1093817,3.91013,61.06065,58.100002,0.12026903,2.9606476
68,18019,3.228564,3.21694,47.97272,47.8,0.19369127,0.17272186
69,18021,3.8722394,3.86302,57.53699,57.4,0.15157574,0.1369896
70,18023,4.260326,4.34758,63.303505,64.6,0.109859616,-1.2964935
71,18027,3.6550953,3.76207,54.310482,55.9,0.1677477,-1.5895195
72,18029,3.190263,3.29097,47.40361,48.9,0.1735374,-1.4963913
73,18031,4.204549,4.63697,62.474724,68.9,0.12514623,-6.4252777
74,18035,3.9665968,4.1053,58.939034,61.0,0.12939297,-2.0609665
75,18037,3.6005514,3.85629,53.50002,57.300003,0.18305665,-3.799984
76,18039,3.543061,3.82264,52.645782,56.8,0.13305517,-4.154217
77,18041,4.026478,3.95724,59.828793,58.800003,0.13729882,1.0287895
78,18047,3.6853147,3.99089,54.759506,59.3,0.13892041,-4.540493
79,18049,4.1421413,3.64766,61.54742,54.2,0.11200134,7.3474197
80,18051,3.8388588,4.03127,57.040993,59.9,0.17105527,-2.8590088
81,18053,4.0551176,3.93705,60.25435,58.500004,0.12023057,1.7543449
82,18055,3.5717967,4.05146,53.072758,60.199997,0.17309211,-7.127239
83,18057,3.8351543,4.39469,56.985947,65.3,0.16127962,-8.314056
84,18059,3.8520694,3.87648,57.237286,57.600002,0.15635574,-0.36271667
85,18063,3.9159744,4.19279,58.18684,62.3,0.14652197,-4.113159
86,18067,4.3307323,4.50237,64.34966,66.9,0.118805155,-2.5503387
87,18069,3.7140462,3.4323,55.186424,51.0,0.12189814,4.1864243
88,18071,3.9199533,4.36104,58.245964,64.8,0.15669185,-6.554039
89,18075,3.6655138,3.68804,54.465286,54.8,0.12307427,-0.33471298
90,18079,3.5047922,3.7688,52.077152,56.0,0.14842947,-3.9228477
91,18081,3.8513336,4.30047,57.226353,63.899998,0.18134,-6.673645
92,18083,3.7768738,4.04473,56.11997,60.100002,0.14707676,-3.9800339
93,18085,3.7652638,3.65439,55.947456,54.300003,0.11791066,1.6474533
94,18087,3.5848596,3.61401,53.26686,53.7,0.12662081,-0.4331398
95,18089,3.7223115,3.51306,55.309235,52.2,0.15317897,3.1092339
96,18091,3.6439548,3.6342,54.144943,54.000004,0.120319076,0.14493942
97,18095,4.2198353,4.63024,62.701862,68.8,0.13045241,-6.0981407
98,18097,2.9676967,3.76207,44.096535,55.9,0.21099868,-11.803467
99,18099,3.7491286,3.18329,55.707706,47.3,0.11108478,8.407707
100,18103,3.8799932,3.8361,57.652203,57.000004,0.12036511,0.6521988
101,18105,3.3963823,3.7688,50.466305,56.0,0.22490051,-5.533695
102,18107,4.300438,4.41488,63.899525,65.6,0.12619814,-1.7004738
103,18109,3.9903753,4.32739,59.29235,64.3,0.16154869,-5.0076523
104,18111,4.2655153,3.94378,63.380615,58.6,0.12068295,4.7806168
105,18113,3.5609004,3.39865,52.910854,50.5,0.122482955,2.4108543
106,18115,3.2017405,2.57759,47.574154,38.3,0.19491513,9.274155
107,18119,3.5726779,3.37173,53.085854,50.100002,0.18872578,2.9858513
108,18123,3.4724774,3.45249,51.596992,51.300003,0.2168622,0.29698944
109,18125,3.377714,3.78226,50.188915,56.2,0.1740697,-6.0110855
110,18129,3.857401,4.27355,57.316505,63.5,0.16961887,-6.1834946
111,18131,3.794242,3.91686,56.378036,58.2,0.13190676,-1.8219643
112,18133,3.9468644,4.19279,58.645832,62.3,0.14626066,-3.6541672
113,18135,3.9854877,4.1726,59.21973,61.999996,0.11829164,-2.7802658
114,18137,3.534341,3.47268,52.516212,51.600002,0.14429565,0.9162102
115,18139,4.294181,4.49564,63.806553,66.799995,0.12398195,-2.9934425
116,18141,3.52883,3.19002,52.434326,47.4,0.12617536,5.0343246
117,18143,3.4428957,3.47268,51.15744,51.600002,0.17284465,-0.4425621
118,18145,4.0146084,4.28701,59.652428,63.700005,0.13599928,-4.047577
119,18147,3.5659316,3.64766,52.98561,54.2,0.1592315,-1.2143898
120,18151,3.5746276,3.26405,53.114826,48.5,0.12091885,4.614826
