,FIPS,y_test_pred,y_test,y_test_pred_model_uncertainty,y_test_pred_cv,pred_error
0,17007,41.48455,-1.0,2.9557867,0.071250305,42.48455
1,17009,42.425903,-1.0,3.1676333,0.07466272,43.425903
2,17011,45.615875,-1.0,3.659227,0.08021828,46.615875
3,17015,46.995125,-1.0,3.5101883,0.07469261,47.995125
4,17023,31.936272,-1.0,2.1949823,0.06873007,32.93627
5,17025,25.98826,-1.0,1.976452,0.07605173,26.98826
6,17027,26.200254,-1.0,1.8134636,0.06921549,27.200254
7,17029,39.4598,-1.0,2.3383832,0.059259884,40.4598
8,17031,32.81261,-1.0,3.9272678,0.11968776,33.81261
9,17033,29.438309,-1.0,2.12532,0.07219572,30.438309
10,17041,41.742504,-1.0,2.6258605,0.06290615,42.742504
11,17045,43.255978,-1.0,2.79157,0.06453605,44.255978
12,17049,30.288887,-1.0,2.1423771,0.07073146,31.288887
13,17051,29.016586,-1.0,2.1061833,0.07258549,30.016586
14,17055,24.099108,-1.0,1.87934,0.077983804,25.099108
15,17057,43.74077,-1.0,4.1425138,0.094706014,44.74077
16,17061,41.349022,-1.0,2.625063,0.06348549,42.349022
17,17067,45.371292,-1.0,4.0041323,0.08825255,46.371292
18,17075,40.033737,-1.0,2.867234,0.07162044,41.033737
19,17077,24.027912,-1.0,1.9048117,0.07927496,25.027912
20,17081,23.908812,-1.0,1.9440743,0.08131204,24.908812
21,17083,37.00747,-1.0,2.1394565,0.05781148,38.00747
22,17085,41.807697,-1.0,2.8311286,0.06771788,42.807697
23,17089,40.56763,-1.0,2.7577703,0.067979574,41.56763
24,17095,45.419323,-1.0,3.9972196,0.088007025,46.419323
25,17097,35.647095,-1.0,2.8774436,0.08072028,36.647095
26,17099,43.484417,-1.0,3.406274,0.078333214,44.484417
27,17101,28.20682,-1.0,2.0314815,0.07202093,29.20682
28,17105,43.177727,-1.0,3.5892026,0.083126254,44.177727
29,17107,46.28733,-1.0,3.9378047,0.085073054,47.28733
30,17113,44.558006,-1.0,3.8287926,0.085928276,45.558006
31,17115,43.839714,-1.0,3.1722472,0.07236013,44.839714
32,17117,37.275917,-1.0,2.2800279,0.061166245,38.275917
33,17119,30.94727,-1.0,1.9846783,0.06413096,31.94727
34,17121,25.940575,-1.0,2.0286813,0.078204945,26.940575
35,17125,44.223656,-1.0,4.655277,0.10526667,45.223656
36,17127,26.591722,-1.0,2.077731,0.0781345,27.591722
37,17133,27.596989,-1.0,2.0755215,0.07520826,28.596989
38,17135,35.456078,-1.0,2.1899297,0.06176458,36.456078
39,17137,45.641197,-1.0,3.613738,0.07917711,46.641197
40,17143,45.46084,-1.0,4.3236837,0.095107876,46.46084
41,17145,23.29232,-1.0,1.8519996,0.07951117,24.29232
42,17147,45.526268,-1.0,3.305795,0.07261291,46.526268
43,17149,42.786823,-1.0,3.1056855,0.07258509,43.786823
44,17151,25.638077,-1.0,2.1635294,0.084387355,26.638077
45,17157,25.345953,-1.0,2.0573778,0.08117185,26.345953
46,17159,26.147911,-1.0,1.8989772,0.07262443,27.147911
47,17163,27.195528,-1.0,1.9278023,0.07088674,28.195528
48,17167,46.331432,-1.0,3.6431456,0.078632265,47.331432
49,17177,43.13301,-1.0,3.0045571,0.06965795,44.13301
50,17179,45.627823,-1.0,4.6749625,0.102458596,46.627823
51,17183,41.96379,-1.0,2.9105027,0.06935748,42.96379
52,17185,29.690231,-1.0,2.171785,0.07314814,30.690231
53,17189,24.593786,-1.0,1.8217323,0.07407287,25.593786
54,17191,25.263882,-1.0,1.9431866,0.0769156,26.263882
55,17193,27.586521,-1.0,2.0270166,0.07347851,28.586521
56,17195,43.83207,-1.0,3.4346926,0.07836027,44.83207
57,17197,35.64997,-1.0,2.8381343,0.07961112,36.64997
58,17199,24.76217,-1.0,2.0266743,0.08184558,25.76217
59,17201,40.314247,-1.0,2.9697793,0.07366575,41.314247
60,17203,44.72773,-1.0,3.9334,0.08794097,45.72773
61,18001,30.293446,-1.0,1.9999278,0.0660185,31.293446
62,18003,30.885582,-1.0,2.0989187,0.06795788,31.885582
63,18005,31.339054,-1.0,2.0133371,0.06424371,32.339054
64,18007,44.49938,-1.0,2.9552898,0.066411935,45.49938
65,18011,36.395065,-1.0,2.080845,0.057173826,37.395065
66,18015,44.284782,-1.0,2.7999806,0.0632267,45.284782
67,18017,41.44973,-1.0,2.534856,0.061154947,42.44973
68,18019,27.025816,-1.0,2.1210716,0.078483164,28.025816
69,18021,31.906609,-1.0,2.0875578,0.06542713,32.90661
70,18023,36.39141,-1.0,2.098003,0.057651047,37.39141
71,18027,32.673927,-1.0,2.087601,0.06389195,33.673927
72,18029,26.392847,-1.0,2.059449,0.07803057,27.392847
73,18031,33.753284,-1.0,2.037496,0.06036438,34.753284
74,18035,31.715527,-1.0,2.0466795,0.064532414,32.715527
75,18037,32.096897,-1.0,2.2582514,0.070357315,33.096897
76,18039,35.967487,-1.0,2.2269788,0.06191644,36.967487
77,18041,33.818584,-1.0,2.174447,0.0642974,34.818584
78,18047,30.02583,-1.0,2.0873194,0.069517456,31.02583
79,18049,39.7077,-1.0,2.3652632,0.059566867,40.7077
80,18051,32.237823,-1.0,2.1331785,0.06617005,33.237823
81,18053,35.996758,-1.0,2.1172028,0.058816485,36.996758
82,18055,30.240349,-1.0,2.0797415,0.068773724,31.240349
83,18057,33.48502,-1.0,2.2741554,0.0679156,34.48502
84,18059,33.04341,-1.0,2.0829892,0.06303796,34.04341
85,18063,34.57063,-1.0,2.0364757,0.058907684,35.57063
86,18067,37.944824,-1.0,2.1905084,0.05772878,38.944824
87,18069,34.250496,-1.0,2.1379669,0.062421486,35.250496
88,18071,29.754257,-1.0,2.0870247,0.07014205,30.754257
89,18075,29.119698,-1.0,2.0061383,0.06889283,30.119698
90,18079,28.077297,-1.0,2.0437248,0.07278923,29.077297
91,18081,29.73753,-1.0,2.1122053,0.07102827,30.73753
92,18083,32.605778,-1.0,2.049985,0.06287183,33.605778
93,18085,37.718487,-1.0,2.1112132,0.055972904,38.718487
94,18087,34.932377,-1.0,1.9358884,0.05541817,35.932377
95,18089,36.025307,-1.0,2.5913196,0.071930535,37.025307
96,18091,35.4714,-1.0,2.1736956,0.06128023,36.4714
97,18095,35.293488,-1.0,2.079904,0.058931667,36.293488
98,18097,31.66129,-1.0,2.551842,0.08059817,32.66129
99,18099,37.590717,-1.0,2.1870294,0.058180038,38.590717
100,18103,36.084885,-1.0,2.1658084,0.060019825,37.084885
101,18105,28.649836,-1.0,2.3457952,0.08187813,29.649836
102,18107,40.74947,-1.0,2.1411557,0.05254438,41.74947
103,18109,33.4819,-1.0,2.1367135,0.06381697,34.4819
104,18111,41.023228,-1.0,3.052496,0.07440896,42.023228
105,18113,33.45719,-1.0,1.9133731,0.057188693,34.45719
106,18115,25.746738,-1.0,2.120339,0.08235369,26.746738
107,18119,30.45757,-1.0,2.249394,0.073853366,31.45757
108,18123,26.097229,-1.0,2.2066457,0.08455479,27.097229
109,18125,28.792507,-1.0,2.022538,0.07024529,29.792507
110,18129,32.345642,-1.0,2.1797566,0.0673895,33.345642
111,18131,40.03708,-1.0,3.6737852,0.09175957,41.03708
112,18133,34.837074,-1.0,2.0394511,0.05854255,35.837074
113,18135,32.422134,-1.0,1.9471451,0.060056042,33.422134
114,18137,24.636124,-1.0,1.9501076,0.07915643,25.636124
115,18139,34.531982,-1.0,2.0418203,0.05912838,35.531982
116,18141,35.66478,-1.0,2.150382,0.060294274,36.66478
117,18143,26.225548,-1.0,2.0146232,0.07681911,27.225548
118,18145,31.701744,-1.0,1.9787577,0.062417947,32.701744
119,18147,28.390472,-1.0,1.8950378,0.06674907,29.390472
120,18151,31.87695,-1.0,1.9721175,0.06186657,32.87695
121,18153,31.929419,-1.0,2.145947,0.06720909,32.92942
122,18155,27.913927,-1.0,2.155696,0.077226534,28.913927
123,18157,42.110836,-1.0,2.411536,0.0572664,43.110836
124,18159,36.089424,-1.0,2.0525026,0.05687269,37.089424
125,18161,34.65804,-1.0,2.0726771,0.059803646,35.65804
126,18163,29.193703,-1.0,1.9570935,0.06703821,30.193703
127,18167,30.722939,-1.0,2.16145,0.07035297,31.722939
128,18169,36.10061,-1.0,2.1998036,0.06093536,37.10061
129,18173,27.815962,-1.0,1.925965,0.06923956,28.815962
130,18175,29.402166,-1.0,2.116915,0.0719986,30.402166
131,18177,31.710701,-1.0,2.1045327,0.06636664,32.7107
132,18179,35.601387,-1.0,2.145256,0.060257655,36.601387
133,18183,34.286613,-1.0,2.1212425,0.061867952,35.286613
134,19001,38.852364,-1.0,2.9312363,0.07544551,39.852364
135,19005,38.4775,-1.0,2.8046322,0.072890185,39.4775
136,19009,43.01157,-1.0,4.464969,0.10380856,44.01157
137,19013,42.202927,-1.0,3.0702438,0.07274955,43.202927
138,19015,44.946518,-1.0,3.5845537,0.079751536,45.946518
139,19017,41.887417,-1.0,2.87178,0.06855949,42.887417
140,19019,42.590145,-1.0,2.9864392,0.07012043,43.590145
141,19023,42.71213,-1.0,3.1624303,0.07404056,43.71213
142,19025,43.33991,-1.0,4.0873737,0.0943097,44.33991
143,19027,44.600792,-1.0,4.943795,0.11084546,45.600792
144,19029,41.775192,-1.0,4.140746,0.09911974,42.775192
145,19031,43.65606,-1.0,3.0482326,0.06982382,44.65606
146,19035,42.04374,-1.0,4.5215073,0.10754294,43.04374
147,19037,39.47092,-1.0,2.7219934,0.06896199,40.47092
148,19041,40.897415,-1.0,4.4497075,0.10880168,41.897415
149,19045,43.43991,-1.0,3.1381898,0.07224209,44.43991
150,19047,42.97686,-1.0,4.7072744,0.10953044,43.97686
151,19049,43.534744,-1.0,3.6725357,0.08435873,44.534744
152,19051,39.732285,-1.0,2.9179635,0.07344062,40.732285
153,19053,38.45411,-1.0,3.1505227,0.081929415,39.45411
154,19055,43.83593,-1.0,3.0573542,0.06974539,44.83593
155,19059,39.861237,-1.0,4.664077,0.11700783,40.861237
156,19065,39.605633,-1.0,2.5038965,0.06322072,40.605633
157,19067,39.828545,-1.0,2.8913891,0.0725959,40.828545
158,19069,42.95161,-1.0,2.9816787,0.06941949,43.95161
159,19073,44.065887,-1.0,4.447299,0.10092385,45.065887
160,19079,43.512684,-1.0,3.1288216,0.07190597,44.512684
161,19081,39.93612,-1.0,2.7993531,0.07009577,40.93612
162,19087,42.67366,-1.0,3.1258886,0.07325101,43.67366
163,19089,39.015854,-1.0,2.466261,0.06321176,40.015854
164,19091,42.752724,-1.0,3.7954712,0.088777296,43.752724
165,19093,43.489845,-1.0,4.83107,0.11108501,44.489845
166,19095,43.04634,-1.0,2.8817818,0.06694604,44.04634
167,19097,42.717148,-1.0,2.9173574,0.06829476,43.717148
168,19101,41.21506,-1.0,3.1039338,0.07531067,42.21506
169,19103,41.37442,-1.0,2.6352525,0.06369279,42.37442
170,19105,42.52435,-1.0,2.9937923,0.07040184,43.52435
171,19107,44.2418,-1.0,3.2875636,0.07430899,45.2418
172,19111,41.85443,-1.0,3.1958616,0.07635659,42.85443
173,19115,43.69986,-1.0,3.2715366,0.07486378,44.69986
174,19123,46.49816,-1.0,3.6257799,0.077976845,47.49816
175,19125,43.29464,-1.0,3.396491,0.07845061,44.29464
176,19129,43.312725,-1.0,6.5527287,0.15128876,44.312725
177,19131,39.303234,-1.0,2.686713,0.06835857,40.303234
178,19133,43.47298,-1.0,6.4803023,0.14906506,44.47298
179,19135,40.270622,-1.0,3.2427788,0.080524676,41.270622
180,19137,42.926456,-1.0,5.5759144,0.12989458,43.926456
181,19139,43.30726,-1.0,3.1557212,0.07286818,44.30726
182,19141,42.726875,-1.0,4.646888,0.10875796,43.726875
183,19145,42.827435,-1.0,5.319688,0.12421215,43.827435
184,19147,42.10762,-1.0,4.0841384,0.09699286,43.10762
185,19151,43.30302,-1.0,4.4854913,0.1035838,44.30302
186,19153,42.721672,-1.0,3.5344903,0.08273296,43.721672
187,19155,42.251637,-1.0,5.8585625,0.13865884,43.251637
188,19157,44.948025,-1.0,3.1140175,0.06928041,45.948025
189,19161,42.658955,-1.0,4.250489,0.09963885,43.658955
190,19163,43.688038,-1.0,3.2536528,0.074474685,44.688038
191,19165,42.921967,-1.0,4.728586,0.11016704,43.921967
192,19169,44.14208,-1.0,3.3776658,0.07651805,45.14208
193,19173,41.13082,-1.0,3.9547966,0.09615166,42.13082
194,19177,39.975388,-1.0,2.8685067,0.07175682,40.975388
195,19185,41.445515,-1.0,3.449439,0.08322828,42.445515
196,19187,43.93166,-1.0,3.6284633,0.08259336,44.93166
197,19189,41.07669,-1.0,2.8564436,0.069539286,42.07669
198,19191,39.35592,-1.0,2.7423058,0.069679625,40.35592
199,19193,42.452866,-1.0,5.871283,0.13830122,43.452866
200,19195,38.450653,-1.0,2.6641269,0.069286905,39.450653
201,19197,41.70022,-1.0,2.8415077,0.06814131,42.70022
202,20001,26.894611,-1.0,2.502688,0.09305537,27.894611
203,20003,30.091991,-1.0,2.7608485,0.091746956,31.091991
204,20005,41.007244,-1.0,4.655724,0.11353418,42.007244
205,20009,35.274624,-1.0,7.3750505,0.20907524,36.274624
206,20011,27.170334,-1.0,2.3834608,0.08772291,28.170334
207,20013,45.058792,-1.0,5.8297276,0.12938046,46.058792
208,20015,35.764267,-1.0,5.138299,0.1436713,36.764267
209,20017,34.13171,-1.0,4.2367473,0.124129355,35.13171
210,20027,35.39867,-1.0,5.4467816,0.15386967,36.39867
211,20029,34.773438,-1.0,5.4115524,0.15562317,35.773438
212,20031,31.00619,-1.0,3.0037317,0.09687523,32.006187
213,20035,30.542765,-1.0,3.4271636,0.11220869,31.542765
214,20041,31.077877,-1.0,3.840003,0.12356066,32.077877
215,20045,32.791718,-1.0,3.3277445,0.10148125,33.791718
216,20047,44.30009,-1.0,10.605149,0.2393934,45.30009
217,20049,29.963097,-1.0,2.8629868,0.09555043,30.963097
218,20059,28.797388,-1.0,2.4754395,0.08596056,29.797388
219,20061,38.801105,-1.0,5.6819367,0.1464375,39.801105
220,20073,29.935349,-1.0,2.5056694,0.0837027,30.935349
221,20085,38.37104,-1.0,4.9336243,0.12857677,39.37104
222,20091,30.924274,-1.0,2.6571643,0.08592487,31.924274
223,20095,33.134083,-1.0,6.129301,0.18498479,34.134083
224,20099,24.938177,-1.0,2.2594194,0.090600826,25.938177
225,20103,35.96376,-1.0,3.0261636,0.0841448,36.96376
226,20105,31.487888,-1.0,5.2385993,0.16636871,32.48789
227,20111,31.943104,-1.0,3.5980203,0.11263841,32.943104
228,20113,31.71064,-1.0,4.7569556,0.15001135,32.71064
229,20115,32.216503,-1.0,4.5769773,0.14206934,33.216503
230,20121,29.115555,-1.0,2.225603,0.07644035,30.115555
231,20123,32.36917,-1.0,4.976979,0.15375675,33.36917
232,20125,26.566414,-1.0,2.385156,0.089780875,27.566414
233,20127,32.648884,-1.0,4.015061,0.12297697,33.648884
234,20131,41.522503,-1.0,5.7222247,0.1378102,42.522503
235,20133,26.384678,-1.0,2.2247941,0.08432145,27.384678
236,20139,31.504387,-1.0,3.3878646,0.10753628,32.504387
237,20143,30.69542,-1.0,4.847407,0.15791956,31.69542
238,20151,41.610603,-1.0,10.033002,0.24111648,42.610603
239,20155,34.92144,-1.0,6.684938,0.1914279,35.92144
240,20159,32.728218,-1.0,5.410464,0.16531496,33.728218
241,20161,37.69582,-1.0,5.7220526,0.15179542,38.69582
242,20167,35.035076,-1.0,6.9744987,0.19907188,36.035076
243,20169,29.688564,-1.0,4.3119473,0.14523934,30.688564
244,20175,48.72622,-1.0,12.157385,0.24950397,49.72622
245,20177,37.00888,-1.0,5.183116,0.1400506,38.00888
246,20183,37.871956,-1.0,7.1094685,0.18772383,38.871956
247,20191,28.47181,-1.0,3.567744,0.12530795,29.47181
248,20197,37.72485,-1.0,5.2584977,0.13939083,38.72485
249,20205,26.370022,-1.0,2.315762,0.08781798,27.370022
304,26007,31.11988,-1.0,2.460333,0.07905985,32.11988
305,26011,35.321617,-1.0,3.041074,0.08609668,36.321617
306,26015,34.200134,-1.0,2.4345262,0.071184695,35.200134
307,26017,35.854515,-1.0,2.4882555,0.069398664,36.854515
308,26021,32.872684,-1.0,2.2249014,0.06768238,33.872684
309,26023,33.70472,-1.0,2.14345,0.06359495,34.70472
310,26025,33.73901,-1.0,2.240455,0.066405475,34.73901
311,26027,34.670246,-1.0,2.2894545,0.06603514,35.670246
312,26035,32.481003,-1.0,2.5568542,0.07871845,33.481003
313,26037,33.18114,-1.0,2.359867,0.07112073,34.18114
314,26045,34.536777,-1.0,2.3600168,0.06833344,35.536777
315,26049,32.46596,-1.0,2.456531,0.07566482,33.46596
316,26051,34.19376,-1.0,3.0603592,0.08950052,35.19376
317,26055,30.189762,-1.0,2.559514,0.084780864,31.189762
318,26057,35.006027,-1.0,2.486934,0.07104302,36.006027
319,26059,31.967066,-1.0,2.244236,0.07020463,32.967064
320,26063,34.769844,-1.0,2.3480763,0.06753198,35.769844
321,26065,34.6692,-1.0,2.3907404,0.068958625,35.6692
322,26067,35.538433,-1.0,2.4911206,0.07009652,36.538433
323,26075,33.06027,-1.0,2.3525944,0.07116078,34.06027
324,26087,32.62263,-1.0,2.2268841,0.068261944,33.62263
325,26091,31.518894,-1.0,2.1385334,0.06784925,32.518894
326,26093,34.265743,-1.0,2.3443918,0.068417944,35.265743
327,26099,31.896902,-1.0,2.5357509,0.07949834,32.896904
328,26105,32.506096,-1.0,2.67353,0.08224704,33.506096
329,26111,35.18143,-1.0,2.681341,0.07621466,36.18143
330,26115,30.732344,-1.0,2.2710783,0.073898636,31.732344
331,26117,34.889328,-1.0,2.3278067,0.06671973,35.889328
332,26119,32.29184,-1.0,2.4569578,0.07608603,33.29184
333,26121,31.597866,-1.0,2.5262923,0.07995136,32.597866
334,26123,33.623848,-1.0,2.6493087,0.07879255,34.623848
335,26125,34.613808,-1.0,3.459009,0.09993148,35.613808
336,26127,32.390182,-1.0,2.7905266,0.08615347,33.390182
337,26129,34.285763,-1.0,2.8015335,0.08171128,35.285763
338,26133,33.56228,-1.0,2.6023324,0.07753742,34.56228
339,26139,31.604332,-1.0,2.3428218,0.07412977,32.604332
340,26141,28.646404,-1.0,2.6423836,0.09224137,29.646404
341,26145,35.170097,-1.0,2.630081,0.07478174,36.170097
342,26147,29.616024,-1.0,2.3127992,0.078092836,30.616024
343,26149,34.428455,-1.0,2.2521138,0.06541432,35.428455
344,26151,33.92649,-1.0,2.254907,0.06646449,34.92649
345,26155,32.472023,-1.0,2.3343446,0.07188787,33.472023
346,26157,35.414318,-1.0,2.3953152,0.067636915,36.414318
347,26161,32.09629,-1.0,2.3100061,0.071971126,33.09629
348,26163,33.685513,-1.0,4.2983937,0.12760364,34.685513
