,FIPS,y_test_pred,y_test,y_test_pred_model_uncertainty,y_test_pred_cv,pred_error
0,17007,23.817244,-1.0,1.9353609,0.08125881,24.817244
1,17009,25.664692,-1.0,2.1911879,0.08537752,26.664692
2,17011,28.104733,-1.0,2.161877,0.07692216,29.104733
3,17015,29.547617,-1.0,2.1282187,0.072026744,30.547617
4,17023,16.851854,-1.0,1.6190219,0.096073814,17.851854
5,17025,11.788192,-1.0,1.5356992,0.13027437,12.788192
6,17027,11.128021,-1.0,1.4323469,0.12871534,12.128021
7,17029,23.49911,-1.0,1.721119,0.07324188,24.49911
8,17031,14.2713,-1.0,2.1207318,0.14860116,15.2713
9,17033,14.945613,-1.0,1.5644963,0.1046793,15.945613
10,17041,25.27232,-1.0,1.8237742,0.07216489,26.27232
11,17045,26.237122,-1.0,1.8407135,0.070156835,27.237122
12,17049,15.092525,-1.0,1.5831242,0.104894586,16.092525
13,17051,13.689845,-1.0,1.5405688,0.112533696,14.689845
14,17055,10.654052,-1.0,1.4946434,0.14028874,11.654052
15,17057,27.101204,-1.0,2.3374324,0.086248286,28.101204
16,17061,23.899864,-1.0,1.82258,0.07625901,24.899864
17,17067,28.730042,-1.0,2.296203,0.07992341,29.730042
18,17075,23.046104,-1.0,1.8808439,0.08161223,24.046104
19,17077,10.835968,-1.0,1.4825672,0.13681908,11.835968
20,17081,10.647677,-1.0,1.5431963,0.14493267,11.647677
21,17083,19.279655,-1.0,1.5286369,0.079287566,20.279655
22,17085,23.970757,-1.0,1.9910707,0.08306249,24.970757
23,17089,22.532295,-1.0,1.8804295,0.083454855,23.532295
24,17095,28.495146,-1.0,2.1904004,0.07686925,29.495146
25,17097,17.544092,-1.0,1.9198942,0.10943252,18.544092
26,17099,25.765781,-1.0,2.0460417,0.079409264,26.765781
27,17101,13.982611,-1.0,1.5133176,0.10822854,14.982611
28,17105,26.1618,-1.0,2.1411166,0.081841335,27.1618
29,17107,29.997532,-1.0,2.26133,0.075383864,30.997532
30,17113,28.265379,-1.0,2.207269,0.078090906,29.265379
31,17115,27.225067,-1.0,1.9880615,0.0730232,28.225067
32,17117,20.795097,-1.0,1.6798491,0.08078102,21.795097
33,17119,14.622612,-1.0,1.443271,0.09870131,15.622612
34,17121,11.888804,-1.0,1.565771,0.1317013,12.888804
35,17125,27.472225,-1.0,2.4526668,0.08927805,28.472225
36,17127,13.590154,-1.0,1.5639592,0.11508032,14.590154
37,17133,12.316316,-1.0,1.5598114,0.12664594,13.316316
38,17135,19.356045,-1.0,1.6140966,0.0833898,20.356045
39,17137,28.474005,-1.0,2.1836784,0.07669024,29.474005
40,17143,28.050629,-1.0,2.2410142,0.07989176,29.050629
41,17145,9.804023,-1.0,1.4941579,0.15240254,10.804023
42,17147,28.974838,-1.0,2.008934,0.06933375,29.974838
43,17149,25.587666,-1.0,2.0507457,0.08014587,26.587666
44,17151,12.763408,-1.0,1.6501703,0.12928917,13.763408
45,17157,11.675414,-1.0,1.5878043,0.13599555,12.675414
46,17159,11.866094,-1.0,1.4889019,0.12547532,12.866094
47,17163,11.684972,-1.0,1.4594395,0.12489885,12.684972
48,17167,29.579472,-1.0,2.1732988,0.073473215,30.579472
49,17177,25.694016,-1.0,1.9481305,0.0758204,26.694016
50,17179,28.77313,-1.0,2.4238622,0.084240474,29.77313
51,17183,24.598614,-1.0,1.8666269,0.07588342,25.598614
52,17185,15.613605,-1.0,1.5639719,0.10016725,16.613605
53,17189,10.124664,-1.0,1.4654896,0.14474452,11.124664
54,17191,11.615447,-1.0,1.5354426,0.1321897,12.615447
55,17193,13.961787,-1.0,1.5366449,0.11006076,14.961787
56,17195,26.033966,-1.0,2.1154952,0.08125904,27.033966
57,17197,17.952616,-1.0,1.9269342,0.10733446,18.952616
58,17199,11.69655,-1.0,1.5591116,0.1332967,12.69655
59,17201,22.522022,-1.0,1.9617176,0.0871022,23.522022
60,17203,28.021297,-1.0,2.1722586,0.0775217,29.021297
61,18001,13.813668,-1.0,1.562606,0.11312028,14.813668
62,18003,14.02473,-1.0,1.6414872,0.11704234,15.02473
63,18005,15.752354,-1.0,1.5144575,0.09614166,16.752354
64,18007,27.32956,-1.0,1.8650115,0.06824155,28.32956
65,18011,19.744816,-1.0,1.5984373,0.08095478,20.744816
66,18015,27.539165,-1.0,1.8980719,0.06892264,28.539165
67,18017,24.173656,-1.0,1.8168696,0.07515907,25.173656
68,18019,12.925375,-1.0,1.6400344,0.12688486,13.925375
69,18021,16.670225,-1.0,1.5689251,0.094115414,17.670225
70,18023,20.01638,-1.0,1.6222987,0.081048556,21.01638
71,18027,17.433874,-1.0,1.551316,0.088982865,18.433874
72,18029,12.052421,-1.0,1.6438267,0.13638976,13.052421
73,18031,17.799372,-1.0,1.5481409,0.08697727,18.799372
74,18035,15.472636,-1.0,1.5717802,0.10158451,16.472637
75,18037,17.383474,-1.0,1.6420673,0.0944614,18.383474
76,18039,18.168049,-1.0,1.7360598,0.095555656,19.168049
77,18041,17.728085,-1.0,1.6507208,0.09311332,18.728085
78,18047,14.914309,-1.0,1.5979893,0.10714471,15.914309
79,18049,22.681114,-1.0,1.7274747,0.076163575,23.681114
80,18051,17.729156,-1.0,1.5678176,0.0884316,18.729156
81,18053,18.85141,-1.0,1.6582378,0.087963596,19.85141
82,18055,15.391536,-1.0,1.5572766,0.10117747,16.391537
83,18057,16.929598,-1.0,1.6888108,0.09975493,17.929598
