,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,17001,34.34885,177.5,2.1349883
1,17003,32.599854,181.7,2.5841498
2,17005,33.3664,185.6,2.3653316
3,17007,33.331573,192.2,2.4211545
4,17009,34.340286,181.3,2.2259076
5,17011,34.81205,199.4,2.181771
6,17013,32.295326,176.6,2.1870239
7,17015,37.295254,199.7,2.182676
8,17017,37.16216,204.8,2.1349962
9,17019,35.608585,192.7,2.3259199
10,17021,36.45887,198.1,2.1864247
11,17023,34.585052,199.4,2.1757662
12,17025,30.415096,169.7,2.4799514
13,17027,33.027485,176.0,2.3753133
14,17029,36.083355,202.7,2.3440783
15,17033,32.479546,179.2,2.3606973
16,17035,32.958656,185.8,2.3585129
17,17037,34.007683,190.2,2.2782762
18,17039,36.102787,200.5,2.246696
19,17041,36.86623,205.7,2.3063436
20,17045,35.02956,188.9,2.3010254
21,17047,32.657433,173.3,2.421669
22,17049,33.752438,190.8,2.356224
23,17051,32.177055,181.9,2.3864512
24,17053,33.250526,191.3,2.4100723
25,17055,30.811726,163.7,2.5260406
26,17057,34.859425,183.9,2.1459818
27,17059,33.521927,176.7,2.406103
28,17061,35.128605,190.7,2.1549754
29,17063,34.091316,184.0,2.2862716
30,17065,32.038086,169.5,2.484999
31,17067,36.836456,203.5,2.0939336
32,17071,35.342636,199.4,2.1573422
33,17073,34.900723,207.9,2.160322
34,17075,31.71186,190.2,2.4887352
35,17077,31.487072,176.4,2.584823
36,17079,32.804756,176.8,2.3706706
37,17081,29.756618,152.1,2.532415
38,17083,33.565063,192.2,2.1768453
39,17085,33.603928,193.3,2.425901
40,17087,29.261946,165.1,2.6530333
41,17089,32.77954,175.9,2.3352964
42,17091,31.599472,172.2,2.3942516
43,17093,34.95037,182.1,2.2409136
44,17095,35.874115,203.9,2.1013484
45,17097,26.002787,164.7,2.5934985
46,17099,34.098633,185.3,2.199152
47,17101,32.190674,170.4,2.532063
48,17103,35.103764,194.0,2.2570095
49,17105,34.735744,181.4,2.3250232
50,17107,35.827457,209.6,2.2307665
51,17109,36.258877,198.1,2.0983489
52,17111,33.190323,179.4,2.430959
53,17113,36.21568,200.7,2.1671185
54,17115,36.6568,209.2,2.3285508
55,17117,34.55591,191.9,2.2409532
56,17119,34.74955,185.9,2.1752384
57,17121,31.25991,184.1,2.483059
58,17123,36.032772,206.0,2.0886383
59,17125,36.04495,194.6,2.2926154
60,17127,32.915375,163.3,2.4999192
61,17129,37.191162,215.2,2.1190774
62,17131,36.45086,191.1,2.1038296
63,17133,31.986526,157.0,2.4028583
64,17135,34.987083,190.8,2.1947398
65,17137,36.80978,202.9,2.1171777
66,17139,36.51172,202.9,2.3537793
67,17141,35.17211,190.8,2.3085392
68,17143,35.557373,213.6,2.1397195
69,17145,29.8958,158.8,2.5276542
70,17147,37.295174,210.6,2.274086
71,17149,33.81663,184.5,2.1415873
72,17151,31.730286,186.0,2.5367043
73,17153,33.35839,175.4,2.4892592
74,17155,35.15583,195.3,2.1475875
75,17157,30.814764,167.1,2.4642615
76,17159,30.663635,166.3,2.4738007
77,17161,35.83004,198.3,2.1743872
78,17163,33.61094,162.4,2.257383
79,17165,32.885784,191.0,2.499031
80,17167,37.272755,202.8,2.153359
81,17169,34.430378,182.8,2.2017145
82,17171,34.87594,188.2,2.1805604
83,17173,35.096897,193.9,2.3150012
84,17175,36.39869,211.3,2.0817587
85,17177,34.666195,203.9,2.389164
86,17179,36.996513,195.9,2.1603098
87,17181,29.795053,154.6,2.706463
88,17183,34.7017,190.0,2.3914697
89,17185,32.669533,170.8,2.354695
90,17187,37.017967,210.0,2.0414965
91,17189,31.720222,180.0,2.4578266
92,17191,33.363365,169.7,2.403714
93,17193,33.69742,176.7,2.413102
94,17195,35.979416,185.7,2.2732136
95,17197,33.08709,174.2,2.3976517
96,17199,31.729427,155.5,2.6012824
97,17201,33.12684,192.0,2.4893484
98,17203,36.38403,198.7,2.118327
99,18001,29.99036,179.9,2.5949295
100,18003,30.141863,165.2,2.6124692
101,18005,34.035347,187.5,2.501572
102,18007,35.538162,204.5,2.367538
103,18009,29.743258,187.9,2.7830033
104,18011,33.259026,221.9,2.3992717
105,18015,34.335487,209.6,2.319002
106,18017,32.970203,200.4,2.3824944
107,18019,30.41513,173.4,2.760932
108,18021,34.098156,189.1,2.313689
109,18023,33.91582,207.1,2.3885603
110,18027,34.621178,192.4,2.431771
111,18029,29.677925,173.2,2.7776883
112,18031,34.054287,209.5,2.5159404
113,18033,29.85495,136.6,2.6981108
114,18035,29.465351,192.0,2.713669
115,18037,33.455772,183.9,2.6282423
116,18039,31.822079,174.8,2.5538032
117,18041,32.9888,191.5,2.5298104
118,18043,28.201878,171.2,2.9091034
119,18045,34.48461,186.9,2.3035924
120,18047,31.78941,184.9,2.6577702
121,18049,32.758858,181.0,2.461399
122,18051,34.57068,200.3,2.3979013
123,18053,31.83258,187.8,2.492933
124,18055,31.837418,184.3,2.534882
125,18057,32.273773,188.7,2.4730763
126,18059,31.019188,188.5,2.6754024
127,18061,31.028847,182.0,2.777303
128,18063,33.708344,205.2,2.450159
129,18065,32.253944,196.6,2.6411178
130,18067,34.84736,213.1,2.363509
131,18069,30.338715,186.1,2.6110208
132,18071,31.98906,185.4,2.5895505
133,18073,31.842556,172.3,2.4970822
134,18075,29.242317,179.9,2.8367682
135,18077,31.469276,165.0,2.673398
136,18079,32.13985,177.1,2.5504339
137,18081,31.740189,184.2,2.6141582
138,18083,34.126778,187.0,2.4044418
139,18085,31.756165,172.9,2.533479
140,18087,28.162745,143.5,2.6165054
141,18089,31.939243,171.3,2.4473279
142,18091,31.086658,147.8,2.5329373
143,18093,31.75653,183.4,2.6547518
144,18095,31.801216,204.7,2.5809298
145,18097,29.849436,191.9,2.5613477
146,18099,32.05887,175.5,2.4226341
147,18101,32.796505,190.6,2.585967
148,18103,31.668644,180.8,2.5170805
149,18105,29.739246,168.2,2.7314866
150,18107,35.015053,205.0,2.3262396
151,18109,31.863033,188.0,2.5544038
152,18111,34.493843,192.9,2.3938477
153,18113,30.771759,175.3,2.5935612
154,18115,30.705782,154.3,2.7412422
155,18117,33.244133,205.3,2.667223
156,18119,31.604866,168.5,2.5785336
157,18121,33.95131,196.7,2.2704046
158,18123,33.746628,179.7,2.7932882
159,18125,31.073511,181.4,2.5932784
160,18127,32.959717,182.2,2.462678
161,18129,34.50733,199.0,2.3718781
162,18131,32.35508,172.7,2.3656704
163,18133,32.9016,193.5,2.4285982
164,18135,31.411575,183.9,2.6020055
165,18137,32.60629,178.4,2.5794072
166,18139,33.939896,201.9,2.5046678
167,18141,31.073973,167.7,2.4712532
168,18145,30.556297,191.0,2.8169267
169,18147,32.96032,182.7,2.6537752
170,18149,29.724241,156.8,2.6480734
171,18151,28.45591,145.6,2.7068052
172,18153,33.614456,182.9,2.3623
173,18155,30.986881,182.2,2.7101808
174,18157,34.142372,207.1,2.3668222
175,18159,34.50682,216.7,2.389937
176,18161,33.37783,208.9,2.5176744
177,18163,33.36359,204.7,2.46447
178,18165,34.01272,188.8,2.332899
179,18167,34.057526,176.7,2.290366
180,18169,32.158607,174.2,2.5084555
181,18171,35.777657,206.6,2.3599844
182,18173,31.86404,176.9,2.6799257
183,18175,31.382725,172.9,2.7310386
184,18177,32.691105,186.6,2.6222963
185,18179,30.942936,188.5,2.5781517
186,18181,33.98969,178.5,2.339502
187,18183,30.775263,159.6,2.6455653
188,19001,34.454254,168.7,2.134257
189,19003,34.787914,173.3,2.111776
190,19005,32.75041,196.3,2.337568
191,19007,32.744637,143.6,2.2203035
192,19009,36.11876,170.8,2.0911803
193,19011,35.725346,144.8,2.2624187
194,19013,34.549988,169.8,2.3907366
195,19015,36.535236,160.7,2.0720937
196,19017,35.147423,187.6,2.470553
197,19019,35.644333,188.3,2.3703399
198,19021,35.643356,183.9,2.1309922
199,19023,35.404186,192.8,2.435023
200,19025,36.48299,159.6,2.0263772
201,19027,37.700493,150.6,1.9672862
202,19029,36.01774,177.5,2.0460055
203,19031,35.99139,153.3,2.23868
204,19033,33.71123,182.5,2.360914
205,19035,37.65921,185.7,2.0862515
206,19037,34.07046,185.7,2.4719265
207,19039,32.41365,155.2,2.2799816
208,19041,33.214775,168.1,2.2193708
209,19043,34.07885,191.1,2.3075776
210,19045,36.13912,178.4,2.2312841
211,19047,38.77168,181.2,1.8805696
212,19049,36.278576,139.7,2.1334455
213,19051,30.714216,170.0,2.2252011
214,19053,33.390617,159.3,2.253259
215,19055,36.26425,190.4,2.326725
216,19057,32.944893,190.2,2.2253134
217,19059,32.71119,182.2,2.2066474
218,19061,35.792725,197.1,2.2296567
219,19063,33.744987,186.1,2.140208
220,19065,34.107975,180.1,2.3812823
221,19067,33.80978,187.4,2.444757
222,19069,35.208588,180.1,2.2684615
223,19071,37.42359,194.8,2.0376637
224,19073,36.85043,153.8,2.020567
225,19075,35.314697,182.7,2.3213985
226,19077,36.123104,151.3,2.0918064
227,19079,35.28891,166.2,2.1285162
228,19081,34.3111,200.0,2.232792
229,19083,35.64058,155.7,2.166611
230,19085,36.821983,180.2,1.953552
231,19087,33.875435,172.0,2.1039476
232,19089,34.04908,188.6,2.4341474
233,19091,34.80443,188.4,2.104846
234,19093,38.051544,188.2,1.9799684
235,19095,36.442104,151.1,2.1612446
236,19097,34.33528,185.6,2.2641263
237,19101,32.760666,167.3,2.184388
238,19103,35.415794,161.8,2.2606695
239,19105,35.822456,171.6,2.2232704
240,19107,34.161087,163.5,2.1432338
241,19109,34.764446,190.7,2.093743
242,19111,32.72948,174.3,2.1605394
243,19113,36.405704,164.9,2.3090897
244,19115,34.122627,181.6,2.2496126
245,19117,32.648308,149.2,2.2624335
246,19119,35.760155,197.0,2.1038363
247,19121,34.4135,172.0,2.1710887
248,19123,35.211815,180.8,2.1803746
249,19129,37.263096,182.2,1.9889693
250,19131,34.042763,203.3,2.463249
251,19133,35.73847,178.4,2.1164787
252,19135,33.300182,153.8,2.1977675
253,19137,37.2216,184.6,1.9954246
254,19139,34.505337,172.8,2.2851343
255,19141,36.347237,199.5,2.1582825
256,19143,34.455254,185.3,2.2074049
257,19145,36.216385,181.6,2.0571837
258,19147,34.263813,181.1,2.120698
259,19151,35.188896,186.2,2.120045
260,19153,36.294487,150.2,2.1103892
261,19155,37.597057,176.3,1.9208865
262,19157,35.90497,138.2,2.2160428
263,19159,32.307556,159.1,2.2105658
264,19161,37.496643,161.0,2.0577023
265,19163,34.964493,181.3,2.2299967
266,19165,37.920868,190.5,1.8904811
267,19167,36.90233,201.8,1.9892766
268,19169,35.857582,148.4,2.1025336
269,19171,35.974373,132.7,2.2551131
270,19173,32.793762,166.2,2.1625552
271,19175,33.35473,179.7,2.1390986
272,19177,31.46614,153.5,2.1619737
273,19179,32.93196,170.6,2.1539426
274,19181,34.087975,168.0,2.252192
275,19183,35.595306,185.4,2.1722522
276,19185,32.466698,168.8,2.2618876
277,19187,35.918224,173.1,2.0797532
278,19189,33.868088,207.1,2.2100027
279,19191,33.75763,178.2,2.3286593
280,19193,37.787994,191.0,1.9743963
281,19195,33.225006,205.7,2.3613148
282,19197,34.9666,186.0,2.214254
283,20001,30.072227,108.3,2.7121482
284,20003,28.864613,109.8,2.7972777
285,20005,32.349625,166.2,2.3922467
286,20007,35.269806,124.8,2.275163
287,20009,35.472595,156.2,2.07535
288,20011,28.6001,96.0,2.7779934
289,20013,34.34921,191.9,2.2115304
290,20015,30.962666,124.3,2.4289694
291,20017,18.376999,135.7,2.5999622
292,20019,26.204084,80.5,2.7745442
293,20021,30.317507,80.9,2.6360185
294,20023,35.423958,115.7,1.9032367
295,20027,31.811142,159.0,2.190463
296,20029,34.494473,154.9,2.0938616
297,20031,29.046682,129.7,2.7505617
298,20035,28.448242,108.0,2.5538797
299,20037,28.74719,94.6,2.6716158
300,20039,31.923794,91.0,1.8983625
301,20041,31.136436,142.0,2.3100133
302,20043,36.218002,202.7,2.1951447
303,20045,29.089046,148.4,2.7317607
304,20047,38.58021,180.6,2.0940962
305,20053,28.635742,122.0,2.2118375
306,20055,37.695763,156.3,1.9238273
307,20057,39.498684,202.7,1.9079459
308,20059,28.571377,139.1,2.7559004
309,20061,33.523136,165.1,2.2887986
310,20063,32.601746,101.0,1.9427654
311,20065,22.724657,107.4,2.1967027
312,20067,39.44556,174.7,1.8026811
313,20069,39.207836,189.0,1.9378043
314,20079,30.864159,137.3,2.361371
315,20081,38.450005,185.8,1.8067709
316,20083,39.112858,157.0,1.863973
317,20085,30.926289,151.7,2.4402385
318,20087,31.952766,162.9,2.4649
319,20089,33.020226,153.7,2.0252929
320,20095,36.136417,120.5,2.3371084
321,20097,22.567123,192.3,2.499018
322,20099,26.64121,80.9,2.796468
323,20101,38.89981,121.7,1.7794235
324,20103,28.96964,147.2,2.6101434
325,20107,15.477096,128.3,2.9290264
326,20109,23.55582,84.2,2.1469824
327,20111,27.7526,116.4,2.5510023
328,20113,31.776447,149.5,2.2213
329,20115,28.97025,122.6,2.4740605
330,20119,40.865547,201.5,1.8831378
331,20121,29.358215,136.8,2.8638248
332,20123,32.060307,150.3,2.058149
333,20125,26.799427,105.6,2.8120399
334,20127,27.879833,143.3,2.4919484
335,20129,36.32585,184.7,1.963837
336,20131,30.527601,175.7,2.2762837
337,20133,28.851622,95.5,2.721378
338,20135,31.498909,105.4,2.0029633
339,20137,22.427162,90.1,2.1545837
340,20139,28.514072,132.3,2.8357787
341,20141,31.69968,110.1,2.0709143
342,20143,31.771168,163.0,2.1573164
343,20145,35.53373,163.2,2.0737875
344,20147,33.274815,93.0,1.8934325
345,20149,31.84682,164.7,2.2643404
346,20151,38.29476,175.0,2.1381474
347,20153,33.3648,74.4,1.9452275
348,20155,34.50004,157.9,2.236469
349,20157,34.768116,167.4,2.0259323
350,20159,32.76809,129.0,2.180276
351,20161,33.06295,160.7,2.2451363
352,20163,32.037773,114.8,1.9954932
353,20167,21.631166,128.1,2.3957858
354,20169,29.408525,151.1,2.308646
355,20171,34.709282,95.0,1.8332896
356,20173,32.02842,129.9,2.3580093
357,20175,39.12287,183.9,1.8919749
358,20177,31.103302,154.4,2.4797325
359,20181,35.36373,104.8,1.804538
360,20183,34.96219,124.0,1.9388794
361,20185,35.77462,142.9,2.190646
362,20189,39.5903,170.3,2.002118
363,20191,28.85794,94.9,2.5636768
364,20193,33.54177,114.5,1.8862301
365,20195,22.040241,104.4,2.2561164
366,20197,28.673338,149.0,2.4790006
367,20201,30.469553,156.7,2.2334466
368,20203,35.49243,91.4,1.8200915
369,20205,28.906796,100.8,2.767523
