,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,17001,212.69469,200.8,7.7515125
1,17003,189.35301,162.2,14.279678
2,17005,219.23805,197.8,7.6141505
3,17007,220.84898,209.2,7.3778424
4,17009,215.00594,201.5,7.9929724
5,17011,243.28882,225.1,7.098078
6,17013,206.40033,185.8,8.828914
7,17015,235.93571,228.2,7.3673763
8,17017,231.26552,214.9,7.936421
9,17019,233.5797,219.1,7.276831
10,17021,247.4928,225.9,7.102409
11,17023,225.50153,207.1,8.271899
12,17025,202.3295,203.7,9.497124
13,17027,204.12141,196.5,8.870919
14,17033,219.2601,212.6,8.509344
15,17035,228.23558,222.4,8.138358
16,17037,224.3255,224.1,6.9594836
17,17039,244.09804,232.9,6.9206395
18,17041,229.87263,210.0,7.515576
19,17043,168.78775,184.7,15.230193
20,17045,235.03108,211.9,7.649021
21,17047,202.01631,179.5,9.504563
22,17049,221.84209,220.9,8.596612
23,17053,232.4489,222.5,7.369721
24,17055,188.36159,176.1,10.886039
25,17057,225.08253,212.5,7.3642325
26,17059,204.49632,182.7,11.015861
27,17061,220.02849,207.4,7.657034
28,17063,231.17836,215.4,7.1705384
29,17065,204.36626,171.2,9.356211
30,17067,222.3263,214.2,7.6333413
31,17071,233.64793,220.2,7.285394
32,17073,236.08678,231.9,6.993483
33,17075,231.75809,212.4,7.2864027
34,17077,180.13383,174.9,11.634271
35,17079,218.75664,203.6,8.272555
36,17081,189.72432,162.4,9.908797
37,17083,210.87007,206.1,7.6871495
38,17085,218.87788,210.8,7.6761365
39,17087,189.36852,168.0,13.514216
40,17089,212.18544,215.0,7.9582233
41,17091,218.85544,209.5,7.731194
42,17093,219.46082,221.3,7.3382797
43,17095,238.03957,229.0,6.869691
44,17097,166.63646,189.1,13.5205765
45,17099,234.35957,220.0,6.9042196
46,17101,202.14812,192.1,9.417918
47,17103,229.38155,224.4,7.129935
48,17105,240.80418,213.4,7.263398
49,17107,250.8817,229.1,7.015205
50,17109,233.82979,217.5,6.906055
51,17113,243.3212,232.3,7.0977683
52,17115,245.02226,232.5,7.2513056
53,17117,224.28255,209.2,7.290387
54,17119,214.78682,200.8,8.526637
55,17121,206.17255,194.3,8.9347
56,17123,244.9527,221.7,6.791121
57,17125,221.23401,219.9,8.173435
58,17127,195.0559,170.8,11.836307
59,17129,248.19478,229.3,7.260783
60,17131,242.07649,226.6,7.0384727
61,17133,183.21645,171.0,11.057523
62,17135,232.30371,213.8,7.258221
63,17137,239.74725,218.1,7.518731
64,17139,232.58098,210.5,7.76136
65,17141,228.76582,234.7,7.32696
66,17143,237.61525,224.5,7.327501
67,17145,164.81165,161.4,11.518676
68,17147,238.53964,220.1,7.098199
69,17153,196.32077,175.8,12.231348
70,17155,239.97188,216.2,7.348221
71,17157,182.01837,171.6,10.391959
72,17161,231.74051,224.2,7.4391265
73,17163,203.54027,185.3,9.505204
74,17165,202.21109,180.7,11.269295
75,17167,245.69006,231.3,7.470905
76,17169,213.84734,197.3,8.126
77,17171,215.8809,207.7,7.9315414
78,17173,230.93309,214.5,8.101289
79,17175,249.6249,240.6,6.7796726
80,17177,221.43288,209.7,7.352477
81,17179,235.71951,229.9,7.4361625
82,17181,187.43358,166.6,12.637828
83,17183,229.83876,218.4,7.3958497
84,17185,212.14526,181.8,8.953167
85,17187,244.79906,211.4,6.6999407
86,17189,197.16722,184.8,8.502308
87,17191,205.51933,189.0,8.812522
88,17193,207.51872,190.2,9.783728
89,17195,226.32596,219.8,7.339489
90,17197,204.8018,207.8,8.386412
91,17199,179.51878,173.3,13.2130785
92,17201,217.04845,206.5,7.85759
93,17203,249.50725,235.7,7.1654673
94,18001,193.69948,186.6,9.115534
95,18003,196.66858,184.7,9.382407
96,18005,201.83435,185.2,10.107211
97,18007,232.69414,212.9,7.3340435
98,18009,198.73796,183.1,8.311036
99,18011,210.20058,195.2,8.059121
100,18015,227.20384,203.6,7.7515926
101,18017,216.4116,194.3,7.9845586
102,18019,211.43379,184.1,10.220872
103,18021,213.16101,193.3,8.537211
104,18023,209.36693,200.3,7.8806186
105,18027,199.81906,197.6,11.141981
106,18029,177.10742,160.6,11.287753
107,18031,218.54033,208.4,7.9250374
108,18033,192.47847,186.6,8.510016
109,18035,195.18326,184.4,8.735924
110,18037,198.5934,179.8,11.410918
111,18039,204.10904,200.4,8.606892
112,18041,206.1136,184.9,7.8993845
113,18045,215.60477,191.5,7.909139
114,18047,197.81927,185.7,8.056276
115,18051,212.38539,197.2,9.443371
116,18053,206.4134,183.8,8.325942
117,18057,191.83214,173.5,10.988269
118,18059,191.89105,186.1,9.861889
119,18061,189.24394,183.7,11.553297
120,18063,204.88582,201.8,8.410212
121,18065,198.44624,185.2,8.483498
122,18067,215.75386,211.7,8.19566
123,18069,207.5154,185.6,8.168714
124,18071,202.87437,190.1,9.270653
125,18073,211.96237,183.7,8.357175
126,18075,191.85051,185.0,9.200727
127,18077,195.2077,184.0,9.60611
128,18079,204.69905,180.2,9.053871
129,18081,201.95653,181.9,9.913692
130,18083,203.33434,198.3,9.698985
131,18085,211.00777,191.1,8.028961
132,18087,193.07301,178.8,8.363243
133,18089,204.7398,184.1,9.16645
134,18091,196.67198,171.1,7.9456334
135,18093,189.48795,169.0,11.727371
136,18095,203.23033,192.3,8.757969
137,18099,214.98228,193.6,8.125684
138,18101,197.38612,184.5,12.421205
139,18103,203.61679,190.1,8.129272
140,18105,180.2059,166.9,11.811856
141,18109,213.72636,190.2,8.051192
142,18111,225.94905,204.8,7.9141817
143,18113,199.87776,199.3,8.41014
144,18119,201.64278,176.7,9.103851
145,18121,213.81032,183.4,8.945086
146,18123,194.19127,172.4,12.512806
147,18125,199.31967,166.7,10.698622
148,18127,201.90746,188.2,7.902896
149,18129,212.39876,193.4,9.767957
150,18131,205.94771,177.9,9.053438
151,18133,213.04066,200.9,7.747086
152,18135,199.04239,182.6,7.9278955
153,18137,197.24095,166.9,8.83388
154,18139,217.1764,195.4,7.4513354
155,18141,207.24358,166.6,8.075654
156,18143,201.75752,186.7,10.407764
157,18145,208.24828,196.8,8.259314
158,18149,194.67223,181.0,10.001134
159,18151,197.7451,178.1,8.0216255
160,18153,215.87715,186.0,9.048747
161,18155,187.70883,179.2,11.4773855
162,18157,203.61852,188.6,8.585723
163,18159,214.82393,205.0,7.906822
164,18161,213.56688,195.7,7.182275
165,18163,209.52083,191.0,10.599954
166,18165,218.16908,199.7,8.441722
167,18167,203.45457,186.0,9.916077
168,18169,208.8333,194.7,7.9034176
169,18173,192.0086,179.1,11.761715
170,18175,197.34041,180.0,10.5666065
171,18177,197.15321,181.3,8.319655
172,18179,203.82619,190.4,8.3898115
173,18181,219.45033,181.2,8.278136
174,18183,198.36581,186.7,8.871707
175,19001,166.00754,164.2,11.950532
176,19005,207.1872,215.9,7.3487706
177,19007,164.86115,146.1,11.504925
178,19009,197.6542,197.9,7.5325212
