,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,17071,60.556854,57.8,2.64607
1,39021,52.21832,57.8,2.6967707
2,55049,52.593708,59.9,2.9130242
4,31025,58.72726,57.7,2.9857163
5,18037,48.67669,53.2,2.7923806
6,46039,50.018974,59.4,2.8910584
7,55017,46.02673,49.4,3.4366882
8,55061,45.289516,54.1,3.181124
9,20097,52.572437,57.8,6.16492
10,46067,45.063847,53.9,4.333716
11,19143,53.703712,56.1,2.2757874
12,55029,43.495632,47.2,3.5938423
13,27097,45.076756,50.4,3.208298
14,31131,53.954624,55.1,3.2101667
15,20141,41.760693,50.3,5.8829107
17,29133,46.171215,51.1,2.777373
18,38095,37.19385,33.7,3.022305
19,26065,50.380245,51.8,2.9169514
20,19171,58.87221,63.5,2.5137875
21,39123,44.721645,53.1,2.9872508
22,27109,53.96567,61.4,2.6014874
23,17011,63.72923,64.2,2.3750668
25,31143,60.179096,67.4,3.3637738
26,20041,39.43491,47.7,5.3573155
27,18171,61.72231,64.5,2.421981
28,46011,52.19765,61.5,3.0596366
29,19087,54.767376,57.2,2.7271667
30,39167,40.812542,45.6,5.0151753
31,27009,47.08019,49.4,3.068708
32,31043,59.06466,58.8,3.144856
33,29173,52.720165,49.8,2.9686432
34,18055,49.580128,50.8,2.6933959
35,27139,51.1999,58.7,2.8469903
36,19115,56.95242,56.4,2.7448494
37,17117,58.701244,63.4,2.772103
38,27053,50.14412,55.3,3.2250767
39,17177,61.266888,66.3,2.4629726
41,26139,49.77901,55.6,2.9405842
42,20081,63.27032,64.5,6.944616
43,29073,42.936607,47.0,4.299947
44,46091,49.09421,48.0,3.346378
45,18083,52.263893,56.6,2.4311109
46,38035,39.318974,40.2,3.1447842
47,19127,59.751736,62.6,2.4576347
48,17145,43.785545,48.0,2.7412968
49,39079,47.409718,50.5,4.1001487
50,55107,40.61559,44.2,4.217595
51,17189,49.230453,48.8,2.4636774
53,26151,49.490185,53.6,2.7279038
54,29117,48.673496,47.5,3.012731
55,38079,36.324303,34.1,3.3598094
56,19027,58.919262,58.7,2.35456
57,17029,61.18691,62.6,2.2365842
58,31177,54.96957,58.3,2.926298
59,18027,51.025105,55.4,2.6196256
60,46029,43.455387,44.6,3.3858368
61,19071,55.039417,55.5,2.938745
62,17057,59.053265,56.4,2.8245935
63,39023,53.996418,59.8,2.724194
65,31027,57.36984,58.3,3.3472936
66,18039,52.776505,54.2,2.7848577
67,46057,51.574066,57.1,3.170103
68,55019,45.87091,50.5,3.6277702
69,55063,48.037556,55.4,3.168678
71,19161,58.212833,63.3,2.2064216
72,39113,53.567554,57.1,2.9501603
73,27099,53.841656,58.2,2.2369163
74,17001,55.91534,56.8,2.863821
75,55091,51.477184,56.4,3.2664413
76,31133,44.003098,53.5,3.692489
77,20143,41.46885,45.0,5.4074526
79,29135,44.74886,48.8,3.34213
80,18129,52.03996,53.9,2.5943432
81,38081,47.302048,47.7,3.10811
82,26067,53.60542,54.8,2.8645632
83,19173,49.854984,51.6,2.7111118
84,39125,44.333878,50.7,2.8523412
85,27111,45.655308,47.9,2.52238
87,20043,56.486855,62.3,3.09656
89,29163,50.262703,51.4,3.1340039
90,18173,47.507,50.2,2.7836397
91,26111,47.772614,50.2,3.1657329
92,46013,48.664062,48.5,3.803378
93,19073,57.38503,63.5,2.392207
94,27011,51.327824,51.3,2.9426372
95,20055,62.588757,68.2,7.061333
96,29175,45.554947,54.3,3.0875256
97,18073,58.039875,54.7,2.5379786
98,26011,42.88536,45.4,3.2187188
99,19117,47.20962,54.4,2.8617487
100,17119,53.230568,54.7,2.7325773
101,39069,50.132263,59.4,2.696608
102,27055,50.95492,56.2,2.7193074
103,17179,60.91399,65.0,2.616131
105,31073,57.82757,67.2,4.9446716
106,18085,55.275814,53.3,2.546696
107,27169,54.062077,59.8,2.651885
108,26023,54.459034,47.8,2.7404022
109,19017,55.681362,62.1,2.3206637
110,17147,64.460304,71.3,2.2182622
111,39097,54.34235,58.9,2.4114535
112,55109,47.943127,53.4,3.0856586
113,29205,54.305805,52.6,2.8950777
114,17191,48.757748,48.3,2.4949794
116,29119,39.5048,49.1,4.255583
117,38065,39.910854,43.0,4.9723783
118,19029,55.80344,59.6,2.6311085
119,55137,45.812687,48.5,3.1378918
120,31179,58.997158,62.2,2.953765
121,20189,64.91589,61.3,7.36966
122,31017,57.86424,60.4,4.948377
123,20027,45.838905,48.9,4.696806
124,19057,56.69312,60.4,2.7509086
125,17059,49.337566,48.4,2.675903
126,39009,44.278637,49.7,5.172391
127,55053,47.575493,55.2,3.4443643
129,31029,57.32861,63.7,6.232231
130,29031,42.646152,45.6,3.618977
131,46059,41.31212,40.2,4.7773275
132,38009,39.29395,40.3,3.5589075
133,55021,52.512253,58.0,2.9038289
134,55081,45.990387,53.3,3.253584
135,26057,50.556385,54.1,2.8630888
136,19163,61.554607,64.4,2.5648043
137,19001,52.62617,59.3,2.6976163
138,39115,43.06305,52.3,4.985449
139,27101,53.25438,57.6,2.374819
140,17003,44.118168,38.4,3.2527976
141,55093,52.569157,59.2,3.2402964
143,18131,55.219475,50.1,2.3214312
144,38083,37.61585,36.0,3.8539066
145,19175,50.36057,56.0,2.7173595
146,27129,52.71954,54.8,2.4485505
147,17015,62.217278,69.0,2.574995
149,31163,56.900105,64.8,4.840631
150,20045,37.568874,46.1,3.8823392
151,29165,45.325928,52.0,3.316398
152,18175,49.16759,52.5,3.295713
153,46015,40.01582,51.2,5.652272
154,19075,59.34372,64.8,2.3156464
155,39155,50.224026,56.4,4.128703
156,27013,53.35539,58.8,2.3574615
158,31047,62.591503,70.7,4.730733
159,18075,58.123837,58.9,2.7275968
160,27143,52.43778,57.4,2.3896399
161,19119,57.057682,66.1,2.719282
162,17105,60.45936,60.6,2.307492
163,39071,53.38712,51.1,2.8682368
164,27041,46.268917,52.0,2.7092626
165,29195,54.64053,56.9,3.0920467
166,17181,43.376488,43.8,3.6411972
168,20085,39.208706,47.7,3.9764314
169,29077,39.91665,41.1,4.420164
170,18087,50.338398,54.9,2.8059347
171,27171,48.029495,54.3,2.7107682
172,38039,42.241898,43.2,3.0296962
173,19019,55.96303,60.2,2.3719146
174,17149,55.61666,58.1,3.0745947
175,39099,43.68649,51.3,4.0196414
176,55111,48.877644,57.3,3.055082
177,29207,45.77196,45.1,3.3461437
178,38067,36.52006,37.3,2.8963592
179,19031,61.544544,60.5,2.418402
180,17049,55.351948,58.2,2.4950392
181,55139,48.44031,53.8,3.4094281
182,31181,47.57385,54.5,5.2078667
183,20191,32.402992,39.6,4.8861976
185,31019,59.837376,67.4,4.6490216
186,20029,48.173096,52.5,4.881318
187,29021,47.468803,49.8,3.2336802
