,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,26059,4.331214,41.3,0.8366634
1,17029,7.6514845,63.7,0.76926464
2,18171,7.5185385,60.7,0.77993804
3,26087,4.5745354,33.5,0.8373248
4,17057,6.59979,53.9,0.75919443
5,29001,5.4119167,37.4,0.7033518
6,19025,7.316025,55.1,0.72568417
8,39071,4.685798,49.6,0.7234986
9,17117,6.5134315,58.3,0.71242625
10,55059,6.1934953,43.6,0.8070036
11,39037,6.1915746,47.0,0.81218004
12,55025,7.482456,54.5,0.7635493
13,19021,7.7661,53.5,0.78741324
14,17179,7.770424,63.8,0.7937952
15,27155,5.4260445,38.8,1.2037454
16,39099,3.496214,46.4,0.8969407
17,17145,3.7938995,35.6,0.6843383
18,55055,6.7588086,48.1,0.72888094
19,19083,7.2529383,53.9,0.7000674
20,31059,8.768354,62.5,0.65256184
21,55021,7.074712,48.9,0.7877553
22,19049,6.8793907,54.4,0.6677555
23,27063,6.380964,46.7,0.9176774
25,29151,4.1382627,46.3,0.7398123
26,27151,5.547572,42.8,1.0547293
27,19111,6.505163,54.8,0.73941696
28,31055,6.914752,53.4,0.6157961
29,38045,4.459964,34.7,1.1837949
30,27091,6.919136,53.9,0.88740057
32,39155,3.7109914,47.2,0.9517938
33,19139,7.805435,55.2,0.7014167
34,26129,4.785185,43.4,1.0579984
35,38073,5.2099056,40.3,1.2020429
36,18057,6.3543577,48.8,0.81816095
38,26037,5.187185,38.7,0.7669003
39,39151,3.6073952,48.2,0.7668716
40,55139,6.105316,41.9,0.8797308
41,26125,3.6470718,34.4,0.83261466
42,38101,4.1219654,33.2,1.0086643
43,27115,4.114439,35.4,1.1005906
44,18085,5.6141157,49.0,0.80345327
45,26065,5.1930943,39.3,0.8165016
46,31173,7.7359657,56.0,0.6910451
47,18113,4.9765463,54.3,0.8235257
49,20115,4.37278,35.1,0.6683651
50,20081,9.285786,65.0,0.6444894
51,18173,5.0550065,53.6,0.6811922
52,20111,3.4935293,34.0,0.6668578
53,20077,2.0718775,31.0,0.6576918
54,17059,5.3584223,47.5,0.6831538
55,19027,7.504778,58.8,0.68420166
57,20139,4.1083527,41.0,0.6634303
58,39041,4.788955,42.5,0.7690057
59,17119,5.5083222,56.6,0.66215295
60,29031,3.9797182,43.6,0.69663787
61,55061,5.339795,42.1,0.9521904
